10	20	45 5	1.54E2	9.38E-1	1.08E0	6	2	2	0.766	
30	-1	35 10	1.28E2	9.57E-1	1.07E0	6	2	3	0.796	
10	-1	55 5	1.94E2	9.32E-1	1.17E0	6	2	0	0.537	
10	-1	55 10	1.90E2	9.48E-1	1.16E0	3	2	0	0.562	
10	-1	45 3	1.80E2	9.77E-1	1.17E0	8	2	2	0.682	
30	10	55 10	1.68E2	9.43E-1	1.01E0	3	0	0	1.111	
20	-1	45 5	1.76E2	9.93E-1	1.17E0	6	1	0	0.817	
10	10	35 10	1.21E2	9.25E-1	1.03E0	7	4	3	0.781	
30	10	45 5	1.59E2	9.77E-1	1.10E0	4	1	1	0.599	
10	-1	35 5	1.39E2	1.01E0	1.14E0	5	3	1	0.851	
30	20	55 10	1.68E2	9.33E-1	1.02E0	4	1	3	0.827	
30	-1	45 3	1.79E2	9.80E-1	1.14E0	5	2	2	0.565	
30	-1	45 10	1.64E2	9.61E-1	1.11E0	4	3	1	0.639	
10	20	55 3	1.84E2	9.67E-1	1.15E0	3	2	2	0.936	
10	20	35 3	1.28E2	9.54E-1	1.07E0	7	2	5	0.663	
30	20	45 3	1.66E2	9.71E-1	1.12E0	4	3	4	0.742	
30	-1	55 10	1.94E2	9.80E-1	1.18E0	3	3	0	0.570	
10	10	55 3	1.78E2	9.40E-1	1.14E0	6	1	3	0.945	
20	20	35 10	1.20E2	9.48E-1	1.02E0	7	4	3	0.692	
10	10	35 5	1.25E2	9.68E-1	1.04E0	5	2	2	0.784	
20	10	55 5	1.75E2	9.43E-1	1.14E0	4	2	3	0.541	
30	10	55 3	1.91E2	9.46E-1	1.19E0	5	2	2	0.849	
10	20	35 10	1.19E2	9.26E-1	1.03E0	13	4	2	0.703	
20	-1	45 10	1.67E2	9.70E-1	1.12E0	5	1	0	0.719	
10	-1	35 3	1.38E2	9.75E-1	1.11E0	7	3	4	0.708	
10	10	45 3	1.57E2	9.67E-1	1.12E0	5	2	3	0.741	
30	-1	55 3	2.11E2	9.87E-1	1.23E0	6	2	2	0.505	
30	-1	35 5	1.68E2	1.00E0	1.10E0	5	16	11	0.300	
20	-1	35 3	1.37E2	9.80E-1	1.12E0	6	2	4	0.684	
30	-1	45 5	2.14E2	1.01E0	1.17E0	5	15	6	0.428	
20	-1	55 10	1.92E2	9.68E-1	1.16E0	2	2	0	0.574	
20	-1	55 5	2.01E2	9.74E-1	1.22E0	3	2	2	0.722	
30	20	35 3	1.34E2	9.87E-1	1.09E0	4	2	3	0.626	
20	20	55 10	1.67E2	9.35E-1	1.02E0	4	1	1	0.976	
20	10	35 5	1.26E2	9.80E-1	1.06E0	5	3	5	0.412	
30	20	45 5	1.56E2	9.62E-1	1.08E0	6	3	2	0.723	
10	20	35 5	1.28E2	9.69E-1	1.07E0	6	2	2	0.815	
20	20	55 3	1.91E2	9.81E-1	1.22E0	5	3	2	0.754	
20	10	35 3	1.25E2	9.66E-1	1.06E0	6	3	4	0.603	
20	20	35 3	1.27E2	9.68E-1	1.05E0	6	4	4	0.871	
20	20	45 3	1.62E2	9.88E-1	1.13E0	6	2	2	0.803	
30	10	35 5	1.23E2	9.59E-1	1.04E0	6	2	4	0.529	
30	20	45 10	1.48E2	9.45E-1	9.94E-1	5	1	2	0.857	
30	20	35 10	1.22E2	9.48E-1	1.02E0	6	3	4	0.708	
20	20	55 5	1.88E2	9.43E-1	1.12E0	3	3	1	0.725	
10	20	45 10	1.44E2	9.08E-1	1.02E0	11	3	0	0.735	
20	10	35 10	1.19E2	9.33E-1	1.01E0	6	4	4	0.822	
20	-1	35 10	1.29E2	9.51E-1	1.07E0	7	2	2	0.810	
10	20	45 3	1.59E2	9.70E-1	1.11E0	5	2	3	0.788	
20	20	45 5	1.67E2	9.56E-1	1.08E0	6	3	1	0.698	
30	10	45 10	1.48E2	9.44E-1	1.00E0	4	2	1	1.089	
30	20	55 5	1.80E2	9.69E-1	1.13E0	4	3	1	0.712	
10	10	35 3	1.25E2	9.47E-1	1.05E0	7	4	5	0.734	
30	10	45 3	1.65E2	9.62E-1	1.13E0	5	3	2	0.711	
20	10	55 10	1.68E2	9.35E-1	1.03E0	4	2	1	0.697	
10	-1	55 3	2.10E2	9.48E-1	1.25E0	7	2	1	0.616	
20	10	45 3	1.58E2	9.61E-1	1.12E0	6	3	5	0.783	
10	-1	45 10	1.62E2	9.42E-1	1.11E0	5	3	1	0.728	
30	10	35 10	1.22E2	9.51E-1	1.02E0	5	3	4	0.859	
