136453151.702881 18.827602 -5.362151  104.008858 207
136496305.465698 1.298893 -0.611108  33.932991 208
136587858.200073 18.675409 -8.798361  116.635239 211
136935472.488403 1.343552 -1.623415  13.240146 212
137114048.004150 5.936583 9.759144  9.280764 213
137166738.510132 1.428835 -2.741445  8.295121 214
137330770.492554 1.389936 -3.940431  35.099689 215
137510776.519775 1.371252 -5.029492  24.933720 217
137851715.087891 1.234603 -6.140038  17.831909 218
137970209.121704 5.775486 8.670218  15.241399 219
138039350.509644 1.647839 -6.430311  39.449097 220
138039827.346802 1.307558 -6.749833  44.361248 221
138127326.965332 1.237740 -10.439066  13.280975 222
138157606.124878 1.248605 -9.151517  24.860216 223
138629198.074341 5.712510 7.749904  30.181097 224
139154434.204102 5.965588 6.607215  16.827816 226
139902353.286743 6.009786 5.524879  12.593453 229
140666723.251343 6.079503 4.663802  14.359098 231
140990257.263184 6.044560 3.463493  15.729697 233
141442298.889160 5.784913 2.520260  16.605392 236
142123222.351074 5.886289 1.457657  5.555155 245
142471790.313721 6.002873 0.312384  15.096644 246
142894744.873047 6.133056 -0.658092  17.443691 247
143250226.974487 6.301167 -1.720192  27.072477 249
143501520.156860 10.495517 9.455747  9.208026 250
143606185.913086 6.157749 -2.773215  31.445490 251
143736839.294434 6.004062 -3.745344  30.157431 252
143859148.025513 5.917686 -4.832984  33.428093 253
144061565.399170 6.117787 -5.984970  26.705498 254
144358634.948730 10.609659 8.623724  18.363501 255
144377470.016479 6.198158 -7.099755  30.693687 256
144442796.707153 6.120763 -8.330026  41.968094 257
144595861.434937 6.025756 -9.353847  57.245926 258
144644021.987915 5.859008 -10.379333  74.649803 259
144993543.624878 10.579405 7.600821  12.094493 260
145721673.965454 10.486845 6.694594  19.813585 261
146433830.261230 10.541574 5.544103  10.646185 262
147035121.917725 10.604702 4.509955  11.675444 263
147452354.431152 10.627638 3.506639  17.705715 264
148069143.295288 10.746515 2.423630  28.300709 265
148792266.845703 10.641076 1.281431  32.310646 266
149047851.562500 10.832888 0.448846  34.798359 267
149513483.047485 10.797134 -0.694700  37.406723 268
149829149.246216 15.142949 9.624154  14.978477 269
149964570.999146 10.864889 -1.554381  58.261284 270
150182723.999023 10.800685 -2.964336  24.971544 271
150336503.982544 10.852045 -3.989615  39.721779 272
150479793.548584 15.091515 8.684192  24.266909 273
150604486.465454 10.990120 -4.963717  47.352562 274
150806427.001953 10.922346 -6.018847  63.735432 275
150992155.075073 10.535892 -8.269570  87.897369 276
151004791.259766 10.718109 -7.075092  67.321472 277
151085376.739502 10.543874 -10.422029  81.391960 278
151099443.435669 10.564020 -9.023490  66.314796 279
151385784.149170 15.331491 7.677618  19.012840 280
