168609619.140625 4.478972 -1.985061  72.119965 305
169100284.576416 9.286364 7.699485  35.306530 306
169160127.639771 4.497896 -3.048889  65.935913 307
169299840.927124 4.576174 -4.120263  55.030586 308
169613838.195801 4.703020 -5.178109  38.371826 309
169867753.982544 4.764527 -6.248905  57.640888 310
170182704.925537 4.747800 -7.058601  56.553806 311
170486688.613892 5.323129 -8.876278  28.367592 312
170598983.764648 5.288551 -9.551495  19.888599 313
170848846.435547 9.342272 5.544572  20.280687 314
171550273.895264 9.213169 4.441426  12.214093 315
172128438.949585 9.314663 3.363230  29.657810 316
172927618.026733 9.317523 2.326562  51.249340 317
173700094.223022 9.354820 1.128409  27.562016 319
174069881.439209 9.456423 0.131024  54.988068 320
174666881.561279 9.402572 -1.006754  25.713232 322
175267219.543457 9.346179 -2.036862  45.479923 323
175587892.532349 9.492916 -3.201352  32.200096 325
175870656.967163 9.477695 -4.238535  22.128532 326
176506519.317627 9.668021 -6.420815  71.731201 328
176701784.133911 9.736567 -7.417929  68.445679 329
177001714.706421 10.294103 -9.977601  89.256035 331
177091836.929321 1.137770 9.390654  19.538137 332
178121566.772461 1.166625 8.226347  18.898775 334
179159641.265869 1.219685 7.242920  40.640942 337
180011749.267578 1.064503 6.106129  45.991951 340
180968046.188354 12.574533 -1.641381  251.510849 343
181905984.878540 0.947357 3.838665  44.919758 345
182388544.082642 0.982457 2.867919  66.322586 348
183049440.383911 1.027491 1.689935  45.942253 351
183832645.416260 5.648465 9.468616  39.623890 355
183931827.545166 1.070924 0.739994  45.844551 356
184434890.747070 1.184622 -0.505717  71.672417 359
185042381.286621 1.146635 -1.615625  103.801964 362
185551166.534424 1.065030 -2.638813  79.602348 364
186002731.323242 5.635555 7.341178  55.907318 366
186136960.983276 1.094653 -3.776754  176.923126 367
186295270.919800 1.277391 -4.721804  41.099449 368
186462163.925171 1.388437 -5.751884  140.709320 369
186845779.418945 5.581468 6.271126  15.581677 370
187222003.936768 1.565025 -7.647175  57.706715 373
187352657.318115 1.864733 -8.472243  42.551785 374
187679290.771484 2.048563 -9.256560  16.137390 375
187750339.508057 2.356036 -9.980880  84.227158 376
187901258.468628 5.635128 5.180162  4.952315 379
188866376.876831 5.488708 4.077136  9.813175 383
189464330.673218 5.565973 2.979237  26.341871 384
190161228.179932 5.585334 1.888365  33.848728 385
190563678.741455 10.575955 9.303322  67.633278 387
191082477.569580 5.462863 0.911875  34.207272 389
191726922.988892 5.541816 -0.278909  34.068657 391
192559003.829956 5.553550 -1.322874  54.132217 393
192749738.693237 10.448990 7.136263  51.096928 394
193312168.121338 5.866781 -3.539963  35.152073 398
193670272.827148 10.500808 6.138921  42.085262 400
194271087.646484 5.890774 -6.610900  25.927361 404
194641590.118408 6.136115 -8.533198  69.746201 405
194714546.203613 6.175156 -7.529992  35.093319 406
194756746.292114 10.513177 4.988422  37.693943 407
194883108.139038 6.433619 -9.237189  39.656784 408
194978237.152100 6.466077 -9.846474  62.262619 409
195646762.847900 10.400862 3.871662  11.033390 410
196246147.155762 10.478366 2.760581  18.070601 411
197164058.685303 10.547803 1.749579  3.089024 413
198090314.865112 10.509266 0.625800  2.080302 415
198461294.174194 10.636647 -0.418838  40.134773 416
199210405.349731 10.649014 -1.582893  13.745884 418
199755907.058716 10.727446 -2.720595  56.330688 419
200150728.225708 10.778743 -3.718234  38.423073 421
200448513.031006 10.882575 -4.809281  25.707211 422
200755596.160889 10.819127 -5.939610  56.542419 423
201180696.487427 10.953839 -6.883924  33.084358 424
201436758.041382 11.007895 -8.891370  77.214554 425
201622962.951660 10.915284 -7.980824  93.821487 426
201766729.354858 11.206708 -9.663134  38.558723 427

