#Bolo Name   Readout Address   SQUID Address   DIO column     Rel X Rel Y  
  P3(D7)    e6:ra2   e5:sa5   82   72.00000   -41.56922
  P3(D6)    e6:ra3   e5:sa5   83   84.00000   -41.56922
  P3(D5)    e6:ra4   e5:sa5   84   96.00000   -41.56922
  P3(D4)    e6:ra5   e5:sa5   85   18.00000   -31.17692
  P3(D3)    e6:ra6   e5:sa5   86   30.00000   -31.17692
  P3(D2)    e6:ra7   e5:sa5   87   42.00000   -31.17692
  P3(D1)    e6:ra8   e5:sa5   88   54.00000   -31.17692
  P3(E8)    e6:rb1   e5:sa6   89   66.00000   -31.17692
  P3(E7)    e6:rb2   e5:sa6   90   78.00000   -31.17692
  P3(E6)    e6:rb3   e5:sa6   91   90.00000   -31.17692
  P3(E5)    e6:rb4   e5:sa6   92   102.00000   -31.17692
  P3(E4)    e6:rb5   e5:sa6   93   12.00000   -20.78461
  P3(E3)    e6:rb6   e5:sa6   94   24.00000   -20.78461
  P3(E2)    e6:rb7   e5:sa6   95   36.00000   -20.78461
  P3(E1)    e6:rb8   e5:sa6   96   48.00000   -20.78461
  P3(F8)    e7:ra1   e5:sa7   97   60.00000   -20.78461
  P3(F7)    e7:ra2   e5:sa7   98   72.00000   -20.78461
  P3(F6)    e7:ra3   e5:sa7   99   84.00000   -20.78461
  P3(F5)    e7:ra4   e5:sa7  100   96.00000   -20.78461
  P3(F4)    e7:ra5   e5:sa7  101   108.00000   -20.78461
  P3(F3)    e7:ra6   e5:sa7  102   6.00000   -10.39231
  P3(F2)    e7:ra7   e5:sa7  103   18.00000   -10.39231
  P3(F1)    e7:ra8   e5:sa7  104   30.00000   -10.39231
  P3(G8)    e7:rb1   e5:sa8  105   42.00000   -10.39231
  P3(G7)    e7:rb2   e5:sa8  106   54.00000   -10.39231
  P3(G6)    e7:rb3   e5:sa8  107   66.00000   -10.39231
  P3(G5)    e7:rb4   e5:sa8  108   78.00000   -10.39231
  P3(G4)    e7:rb5   e5:sa8  109   90.00000   -10.39231
  P3(G3)    e7:rb6   e5:sa8  110   102.00000   -10.39231
  P3(G2)    e7:rb7   e5:sa8  111   114.00000   -10.39231
  P2(A8)    e8:ra1   e8:sa2  113   -60.00000   -103.92305
  P2(A7)    e8:ra2   e8:sa2  114   -54.00000   -93.53074
  P2(A6)    e8:ra3   e8:sa2  115   -48.00000   -103.92305
  P2(A5)    e8:ra4   e8:sa2  116   -48.00000   -83.13844
  P2(A4)    e8:ra5   e8:sa2  117   -42.00000   -93.53074
  P2(A3)    e8:ra6   e8:sa2  118   -36.00000   -103.92305
  P2(A2)    e8:ra7   e8:sa2  119   -42.00000   -72.74613
  P2(A1)    e8:ra8   e8:sa2  120   -36.00000   -83.13844
  P2(B8)    e8:rb1   e8:sa3  121   -30.00000   -93.53074
  P2(B7)    e8:rb2   e8:sa3  122   -24.00000   -103.92305
  P2(B6)    e8:rb3   e8:sa3  123   -36.00000   -62.35383
  P2(B5)    e8:rb4   e8:sa3  124   -30.00000   -72.74613
  P2(B4)    e8:rb5   e8:sa3  125   -24.00000   -83.13844
  P2(B3)    e8:rb6   e8:sa3  126   -18.00000   -93.53074
  P2(B2)    e8:rb7   e8:sa3  127   -12.00000   -103.92305
  P2(B1)    e8:rb8   e8:sa3  128   -30.00000   -51.96152
  P2(C8)    e9:ra1   e8:sa4  129   -24.00000   -62.35383
  P2(C7)    e9:ra2   e8:sa4  130   -18.00000   -72.74613
  P2(C6)    e9:ra3   e8:sa4  131   -12.00000   -83.13844
  P2(C5)    e9:ra4   e8:sa4  132   -6.00000   -93.53074
  P2(C4)    e9:ra5   e8:sa4  133   -0.00000   -103.92305
  P2(C3)    e9:ra6   e8:sa4  134   -24.00000   -41.56922
  P2(C2)    e9:ra7   e8:sa4  135   -18.00000   -51.96152
  P2(C1)    e9:ra8   e8:sa4  136   -12.00000   -62.35383
  P2(D8)    e9:rb1   e8:sa5  137   -6.00000   -72.74613
  P2(D7)    e9:rb2   e8:sa5  138   -0.00000   -83.13844
  P2(D6)    e9:rb3   e8:sa5  139   6.00000   -93.53074
  P2(D5)    e9:rb4   e8:sa5  140   12.00000   -103.92305
  P2(D4)    e9:rb5   e8:sa5  141   -18.00000   -31.17692
  P2(D3)    e9:rb6   e8:sa5  142   -12.00000   -41.56922
