# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-10-31.24	0234+285	test	3.53	2.0	0.002	0.0157 88	37.7	-3.5	-1.40	-86 48	2.6 29	65.4	-8.1 17.0	7.9 -99.2	1.65 3.2E-3	1.79 5.6E-3	18.6 0.0
2012-10-31.26	0234+285	test	3.87	1.8	0.001	0.0159 88	38.1	-3.3	-1.40	-84 44	2.6 29	64.8	-10.1 -12.2	7.1 -98.8	1.59 3.5E-3	1.72 5.4E-3	18.6 0.0
2012-10-31.27	0234+285	test	4.00	1.8	0.002	0.0166 89	38.1	-3.0	-1.40	-83 42	2.6 29	64.6	0.0 -1.1	5.2 -104.6	1.63 2.9E-3	1.74 5.8E-3	18.6 0.0
2012-10-31.28	0234+285	test	4.06	1.8	0.001	0.0162 91	38.1	-3.1	-1.40	-82 42	2.6 29	64.4	0.1 -5.6	5.3 -105.4	1.59 3.0E-3	1.72 5.7E-3	18.6 0.0
2012-10-31.32	0234+285	test	5.06	1.0	0.001	0.0160 94	37.6	-1.5	-1.40	-75 30	2.6 29	61.5	-1.8 -11.4	3.3 -114.9	1.50 3.9E-3	1.66 6.8E-3	19.0 0.0
2012-10-31.33	0234+285	test	5.16	1.0	0.001	0.0178 94	35.9	-1.1	-1.40	-74 29	2.6 29	61.1	-19.3 11.5	4.8 -113.1	1.49 4.7E-3	1.66 6.7E-3	18.7 0.1
2012-10-31.34	0234+285	test	5.18	0.8	0.001	0.0151 94	38.2	-1.2	-2.00	-74 29	2.6 29	61.0	-22.4 9.6	1.8 -115.0	1.33 3.8E-3	1.60 7.9E-3	19.6 0.1
2012-10-31.35	0234+285	test	5.20	1.0	0.001	0.0151 94	37.5	-1.2	-2.60	-74 28	2.6 29	61.0	-22.4 9.5	1.7 -115.2	1.04 4.5E-3	1.55 8.4E-3	21.7 0.1
2012-10-31.36	0234+285	test	5.22	1.0	0.001	0.0152 94	36.2	-1.1	-0.80	-74 28	2.6 29	60.9	-22.4 9.5	1.6 -115.2	1.38 4.2E-3	1.63 7.3E-3	19.2 0.1
2012-10-31.37	0234+285	test	5.24	1.0	0.001	0.0149 94	36.5	-1.1	-0.20	-73 28	2.6 29	60.8	-21.1 9.6	3.0 -115.1	0.997 4.5E-3	1.54 9.0E-3	22.1 0.1
# Wed Oct 31 05:47:04 UTC 2012 - old taumeter says 0.15 (CK)
# Wed Oct 31 05:59:25 UTC 2012 - 0.127 (CK)
# Wed Oct 31 06:05:42 UTC 2012 - LN2 bath rising - topping off (cryostat only) - SFM
# Wed Oct 31 06:10:27 UTC 2012 - Scan 40.1 to be discarded, cryo adjustment, beam blocked
# Wed Oct 31 06:26:02 UTC 2012 - old taumeter 0.134 (MH)
# Wed Oct 31 06:46:39 UTC 2012 - old tau-meter 0.1086 (MH)
# Wed Oct 31 06:46:43 UTC 2012 - old tau-meter 0.1086 (MH)
2012-10-31.46	1226+023	085-12	6.96	1.0	0.003	0.0162 104	36.9	-0.7	-1.40	118 35	12.5 2	-44.7	-13.8 16.8	-2.3 -71.4	3.78 5.4E-3	4.60 9.4E-3	19.7 0.0
2012-10-31.47	1226+023	085-12	7.03	1.0	0.003	0.0159 103	36.5	-0.6	-1.40	119 35	12.5 2	-44.2	11.5 -21.2	-5.2 -71.4	3.86 5.5E-3	4.57 8.9E-3	19.4 0.0
2012-10-31.48	1226+023	085-12	7.09	1.0	0.003	0.0157 101	36.7	-0.6	-1.40	120 36	12.5 2	-43.8	-30.3 25.3	-5.1 -72.4	3.67 7.5E-3	4.77 0.011	19.4 0.0
2012-10-31.50	1226+023	085-12	7.23	1.0	0.003	0.0163 103	36.4	-0.7	-1.40	122 38	12.5 2	-42.7	12.2 -18.4	-4.8 -69.6	3.81 5.9E-3	4.55 9.7E-3	19.6 0.0
2012-10-31.51	1226+023	085-12	7.26	0.8	0.003	0.0153 103	38.2	-0.7	-1.40	122 38	12.5 2	-42.4	-2.1 1.1	-7.1 -67.9	3.96 5.3E-3	4.69 9.0E-3	19.7 0.0
# Wed Oct 31 07:18:30 UTC 2012 - set  pointing -18 7 is fine (CK)
# Wed Oct 31 07:20:17 UTC 2012 - 0.117 (CK)
2012-10-31.52	1226+023	085-12	7.32	0.8	0.003	0.0155 102	38.3	-0.6	-1.40	123 38	12.5 2	-41.9	0.1 3.4	-5.0 -65.5	3.87 5.6E-3	4.67 9.9E-3	19.6 0.0
# Wed Oct 31 07:20:49 UTC 2012 - set pointing -18 7 is fine (CK)
2012-10-31.53	1226+023	085-12	7.34	1.0	0.003	0.0160 103	37.2	-0.6	-2.00	123 39	12.5 2	-41.8	1.7 0.7	-3.4 -68.1	4.07 5.6E-3	4.83 9.0E-3	19.7 0.0
2012-10-31.54	1226+023	085-12	7.36	0.8	0.003	0.0154 103	38.2	-0.6	-2.60	124 39	12.5 2	-41.6	-2.3 0.7	-7.4 -68.0	3.41 5.3E-3	4.62 9.5E-3	21.0 0.0
2012-10-31.55	1226+023	085-12	7.38	1.0	0.003	0.0161 103	37.1	-0.6	-0.80	124 39	12.5 2	-41.4	0.3 3.0	-4.8 -65.6	3.39 5.3E-3	4.62 9.9E-3	21.1 0.0
2012-10-31.56	1226+023	085-12	7.40	0.8	0.003	0.0153 103	38.3	-0.6	-0.20	124 39	12.5 2	-41.2	0.5 -1.0	-4.7 -69.5	2.28 5.8E-3	4.36 0.012	24.7 0.1
# Wed Oct 31 07:45:20 UTC 2012 - old tau 0.1865 (MH)
# Wed Oct 31 08:15:25 UTC 2012 - old tau 0.1047 (MH)
# Wed Oct 31 08:18:06 UTC 2012 - R1350+09, A1795, A1774 in project 085-12 (pako restart, project unset) (MH)
# Wed Oct 31 08:30:46 UTC 2012 - old tau 0.1164 (MH)
2012-10-31.64	1637+574	085-12	8.66	1.0	0.001	0.0170 103	35.8	1.2	-1.70	40 34	16.6 57	-73.0	-0.8 0.3	-11.6 -93.8	0.444 4.1E-3	0.468 6.2E-3	18.6 0.2
# Wed Oct 31 08:42:37 UTC 2012 - 0.14 (CK)
2012-10-31.65	1637+574	085-12	8.70	1.0	0.002	0.0150 103	36.0	1.1	-1.70	40 34	16.6 57	-73.4	-0.1 3.2	-11.1 -90.7	0.461 3.4E-3	0.478 5.7E-3	18.4 0.1
