# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-11.27	SgrA	6.46	1.7	0.111	0.0167 102	38.3	0.1	-155 19	17.8 -29	22.6	-35.5 -3.9	-76.3 -224.5	4.41 0.019	11.6 0.021	27.7 0.1
2012-04-11.28	Neptune	6.70	1.8	0.108	0.0145 101	37.3	0.3	136 30	22.3 -11	-34.1	44.0 9.0	-30.5 -187.8	4.70 4.3E-3	5.81 9.1E-3	19.0 0.0
2012-04-11.30	Neptune	8.00	9.3	0.090	0.0175 100	38.1	1.0	157 39	22.3 -11	-17.3	3.0 9.9	-35.3 -175.9	4.25 3.2E-3	5.31 4.2E-3	19.5 0.0
2012-04-11.31	Neptune	8.25	9.3	0.090	0.0165 104	38.0	1.1	162 40	22.3 -11	-13.7	1.0 10.0	-38.5 -175.0	4.80 3.2E-3	6.05 4.7E-3	19.7 0.0
2012-04-11.32	Neptune	8.51	9.3	0.097	0.0169 97	38.0	1.3	166 41	22.3 -11	-9.7	-2.3 10.0	-42.4 -174.7	4.35 2.4E-3	5.54 6.1E-3	19.5 0.0
2012-04-11.33	Neptune	8.79	9.3	0.101	0.0178 92	38.1	1.1	172 41	22.3 -11	-5.2	-6.1 9.2	-46.4 -175.5	4.46 2.9E-3	5.40 4.8E-3	19.3 0.0
2012-04-11.34	Neptune	9.17	9.1	0.128	0.0168 91	38.2	1.1	179 42	22.3 -11	0.9	-13.3 8.1	-52.7 -177.6	4.50 2.2E-3	5.56 5.4E-3	19.4 0.0
2012-04-11.35	Neptune	9.50	9.3	0.107	0.0191 79	38.0	1.5	-174 42	22.3 -11	6.2	-21.3 7.5	-59.0 -180.1	4.41 2.7E-3	5.36 6.2E-3	19.1 0.0
2012-04-11.36	Neptune	9.77	9.3	0.124	0.0193 104	38.0	1.5	-169 41	22.3 -11	10.4	-27.4 6.1	-63.3 -183.5	5.04 3.1E-3	6.11 6.1E-3	19.2 0.0
# Wed Apr 11 09:59:29 UTC 2012 - Scans 36 to 40 are biased at 10000
2012-04-11.37	Neptune	9.95	9.1	0.116	0.0195 97	38.1	1.5	-165 41	22.3 -11	13.2	-31.5 5.2	-66.0 -186.0	4.81 3.4E-3	5.87 6.1E-3	19.2 0.0
2012-04-11.38	Neptune	10.13	9.1	0.105	0.0210 67	38.2	1.5	-162 40	22.3 -11	15.8	-35.4 4.2	-68.3 -188.7	4.64 3.5E-3	5.54 7.2E-3	19.0 0.0
2012-04-11.39	Neptune	10.31	9.3	0.116	0.0192 104	38.0	1.5	-159 39	22.3 -11	18.4	-40.1 3.3	-71.1 -191.5	4.99 3.0E-3	6.14 6.2E-3	19.3 0.0
2012-04-11.40	Neptune	10.49	9.1	0.116	0.0242 101	38.3	1.5	-155 38	22.3 -11	21.0	-43.8 2.5	-72.8 -194.3	5.09 3.0E-3	6.02 5.6E-3	19.3 0.0
2012-04-11.42	2223-052	10.78	1.7	0.116	0.0163 103	38.1	1.7	-149 43	22.4 -5	24.3	-35.4 4.8	-73.2 -187.7	0.899 3.4E-3	1.05 6.0E-3	18.7 0.1
2012-04-11.43	2223-052	10.91	1.7	0.116	0.0179 103	38.3	1.5	-147 43	22.4 -5	26.0	-37.9 4.0	-74.1 -190.4	0.846 3.2E-3	1.04 6.9E-3	19.2 0.1
2012-04-11.44	2223-052	10.96	2.0	0.116	0.0185 103	37.4	1.5	-146 42	22.4 -5	26.8	-39.5 3.7	-74.9 -191.5	0.861 3.3E-3	1.10 7.9E-3	19.6 0.1
2012-04-11.45	2223-052	11.05	1.9	0.116	0.0190 95	37.7	1.5	-145 42	22.4 -5	27.9	-40.6 4.0	-74.7 -192.5	0.879 3.5E-3	1.03 6.8E-3	19.0 0.1
# Wed Apr 11 11:49:15 UTC 2012 - Scans 46 to 51: problem with data acquisition after doing track, forgetting start, and then lissajou; folders empty from then
# Wed Apr 11 12:44:44 UTC 2012 - Turns out that the empty scans were due to an IDL licence used by somebody else !
2012-04-11.46	2255-282	11.28	1.7	0.116	0.0190 97	38.2	1.5	-160 22	23.0 -28	18.4	-76.0 -10.1	-73.1 -215.7	2.03 3.3E-3	2.65 8.1E-3	19.7 0.0
2012-04-11.47	2255-282	11.33	1.7	0.116	0.0194 103	38.2	1.5	-159 22	23.0 -28	19.0	-76.0 -8.5	-72.7 -214.3	2.11 4.5E-3	2.76 9.5E-3	19.7 0.0
2012-04-11.49	2255-282	11.42	1.8	0.116	0.0173 101	37.4	1.6	-158 21	23.0 -28	20.0	-78.2 -13.2	-74.0 -219.4	2.23 4.0E-3	2.83 7.7E-3	19.3 0.0
# Wed Apr 11 13:13:43 UTC 2012 - Scan .48 was a track - so CRUSH, er, ignores - SFM
2012-04-11.51	2251+158	11.72	1.8	0.116	0.0175 92	37.2	1.7	-121 57	22.9 16	45.3	-10.0 3.2	-71.1 -175.1	1.85 3.4E-3	2.24 8.0E-3	18.8 0.0
# Wed Apr 11 13:16:41 UTC 2012 - scan .50 was tracking - CRUSH ignores - SFM
# Wed Apr 11 15:30:25 UTC 2012 - had to restart pako, lost info on offsets, go to venus to check numbers from last fit is ok. SL
# Wed Apr 11 15:31:30 UTC 2012 - nb: we lost pako because during recycling / transfer Juan did test on the telescope
# Wed Apr 11 15:40:19 UTC 2012 - 52 was tracking, 53 CRUSH had NullPointerException - SFM
2012-04-11.55	0420-014	15.76	2.0	0.130	0.0112 107	75.0	4.1	-168 51	4.4 -1	9.6	-58.9 -103.6	-57.2 -161.5	2.28 4.8E-3	2.89 0.011	19.4 0.0
2012-04-11.56	0420-014	15.85	2.0	0.130	0.0109 107	75.0	4.1	-166 51	4.4 -1	11.2	-6.6 11.6	-60.5 -163.6	2.33 4.5E-3	2.89 7.7E-3	18.9 0.0
2012-04-11.57	0420-014	15.93	1.7	0.126	0.0160 107	38.1	4.4	-164 51	4.4 -1	12.7	-6.3 11.2	-59.4 -165.1	2.23 4.0E-3	2.83 7.2E-3	19.6 0.0
2012-04-11.58	0420-014	15.98	1.7	0.126	0.0142 107	38.2	4.4	-163 50	4.4 -1	13.7	-10.1 11.2	-62.7 -165.8	2.39 4.2E-3	2.86 7.3E-3	18.7 0.0
2012-04-11.59	0420-014	16.03	1.9	0.126	0.0170 107	37.2	4.6	-162 50	4.4 -1	14.5	-12.6 9.2	-64.6 -168.4	2.31 5.3E-3	2.80 6.8E-3	18.9 0.0
2012-04-11.60	0420-014	16.10	1.9	0.125	0.0185 103	37.4	4.7	-160 50	4.4 -1	15.8	-13.0 9.1	-64.2 -169.5	2.18 4.4E-3	2.78 7.4E-3	19.1 0.0
2012-04-11.61	0420-014	16.18	1.8	0.121	0.0139 107	37.6	4.6	-159 50	4.4 -1	17.1	-15.2 9.5	-65.6 -170.1	2.37 3.3E-3	2.83 5.6E-3	18.7 0.0
2012-04-11.63	0528+134	16.37	1.9	0.176	0.0156 107	37.3	4.3	179 66	5.5 14	-0.4	32.8 12.3	-51.2 -124.7	1.86 4.2E-3	2.17 7.2E-3	18.3 0.0
2012-04-11.65	0605-085	16.47	1.9	0.163	0.0144 106	37.7	4.3	169 44	6.1 -9	-8.8	3.0 11.7	-42.5 -169.4	1.16 3.5E-3	1.34 5.3E-3	18.7 0.1
2012-04-11.67	0521-365	16.58	1.7	0.117	0.0229 100	38.1	4.3	-176 16	5.4 -36	4.2	-73.8 -14.8	-60.9 -215.6	3.20 6.8E-3	4.58 0.018	20.6 0.0
2012-04-11.69	0336-019	16.68	1.7	0.137	0.0158 107	38.3	4.5	-135 41	3.7 -2	34.4	-38.4 -2.6	-71.0 -203.2	1.50 3.2E-3	1.86 5.4E-3	19.1 0.0
2012-04-11.71	0234+285	16.80	1.9	0.137	0.0174 108	37.5	5.0	-87 48	2.6 29	65.4	2.8 -7.7	-46.9 -214.2	1.71 3.6E-3	2.04 6.4E-3	19.1 0.0
2012-04-11.73	0333+321	16.87	1.7	0.153	0.0159 108	38.2	5.6	-88 60	3.6 32	70.7	23.7 -4.7	-47.1 -186.5	0.678 3.1E-3	0.793 6.5E-3	18.6 0.1
2012-04-11.75	0439+360	16.95	2.0	0.142	0.0164 107	37.5	5.9	-87 74	4.7 36	80.6	43.9 -5.6	-47.4 -153.3	2.07 3.6E-3	2.54 7.3E-3	19.0 0.0
2012-04-11.77	0415+379	17.03	1.7	0.136	0.0223 107	38.2	6.0	-79 68	4.3 38	83.9	43.2 -6.2	-42.1 -171.3	2.92 5.7E-3	3.42 8.2E-3	18.5 0.0
2012-04-11.79	0316+413	17.11	1.9	0.122	0.0475 76	37.2	6.0	-69 57	3.3 42	83.0	30.9 -7.1	-37.7 -202.4	8.16 0.012	9.82 0.021	19.3 0.0
2012-04-11.80	0355+508	17.16	1.7	0.127	0.0174 108	38.2	6.0	-49 62	4.0 51	106.2	43.2 -4.6	-40.9 -190.1	2.11 4.5E-3	2.50 7.6E-3	18.5 0.0
2012-04-11.81	W3OH	17.21	1.9	0.136	0.0177 108	37.3	5.8	-36 47	2.5 62	97.2	13.7 -2.4	-45.3 -218.7	4.09 6.3E-3	6.28 0.014	21.4 0.0
2012-04-11.82	0923+392	17.32	1.7	0.139	0.0146 108	38.2	4.7	73 55	9.5 39	-78.6	-14.6 20.0	-104.9 -154.1	2.66 3.3E-3	3.19 5.7E-3	18.5 0.0
2012-04-11.83	0642+449	17.39	1.9	0.120	0.0140 107	37.6	4.0	21 82	6.8 45	-158.1	11.0 1.9	-123.9 -119.9	0.370 2.6E-3	0.426 5.9E-3	18.4 0.1
2012-04-11.84	0954+658	17.45	1.8	0.118	0.0141 106	38.3	4.0	30 49	10.0 66	-108.4	-38.9 10.5	-116.6 -189.4	0.556 3.0E-3	0.652 4.1E-3	18.7 0.1
2012-04-11.85	1803+784	17.50	1.8	0.104	0.0148 103	37.5	4.1	2 26	18.0 78	-8.6	-58.5 -13.0	-76.4 -245.4	1.20 3.3E-3	1.49 6.0E-3	19.3 0.1
2012-04-11.86	NGC7538	17.56	1.8	0.104	0.0183 99	37.0	4.4	-29 23	23.2 61	53.3	-37.2 -23.5	-44.2 -261.2	2.54 0.013	4.75 0.016	27.2 0.1
2012-04-11.87	0234+285	17.63	1.8	0.104	0.0129 107	37.7	4.9	-80 38	2.6 29	63.8	-12.1 -10.5	-43.7 -232.7	1.69 3.3E-3	2.05 5.6E-3	18.8 0.0
2012-04-11.88	0234+285	17.67	1.7	0.159	0.0148 107	38.2	5.2	-80 38	2.6 29	63.7	-12.8 -10.6	-43.5 -233.4	1.72 3.6E-3	2.11 6.3E-3	18.9 0.0
2012-04-11.89	0234+285	17.71	1.7	0.159	0.0131 107	38.2	5.4	-79 37	2.6 29	63.5	-13.5 -10.2	-43.3 -233.6	1.73 2.8E-3	2.08 5.8E-3	18.8 0.0
2012-04-11.90	0422+004	17.78	1.9	0.159	0.0126 107	37.1	5.4	-128 40	4.4 1	39.2	-42.2 -3.6	-72.4 -208.4	0.372 2.5E-3	0.431 4.9E-3	19.0 0.1
2012-04-11.91	0529+075	17.83	1.9	0.143	0.0160 102	37.3	4.9	-142 55	5.5 8	30.2	-13.4 5.5	-71.2 -170.1	0.879 3.1E-3	1.000 5.8E-3	18.2 0.1
2012-04-11.92	0605-085	17.89	1.9	0.134	0.0156 106	37.2	4.7	-162 43	6.1 -9	14.5	-26.3 6.8	-64.4 -182.5	1.24 3.4E-3	1.44 6.2E-3	18.5 0.0
2012-04-11.93	0727-115	17.94	1.9	0.134	0.0132 107	37.7	4.8	171 41	7.5 -12	-6.8	-3.4 10.4	-42.5 -175.0	1.07 2.7E-3	1.19 5.4E-3	18.1 0.0
2012-04-11.94	0754+100	17.99	1.8	0.134	0.0152 107	37.4	5.0	154 61	8.0 10	-20.4	45.4 15.9	-36.2 -131.8	0.905 3.8E-3	1.00 7.1E-3	17.9 0.1
2012-04-11.95	0745+241	18.04	1.7	0.147	0.0151 106	38.2	4.9	145 74	7.8 24	-29.6	70.1 14.7	-37.0 -96.3	0.423 4.9E-3	0.471 6.6E-3	18.1 0.2
2012-04-11.96	0851+202	18.10	1.8	0.132	0.0136 106	38.0	5.0	120 62	8.9 20	-46.9	47.9 22.1	-47.1 -123.3	4.23 4.4E-3	4.88 7.6E-3	18.4 0.0
2012-04-11.97	1055+018	18.16	1.8	0.131	0.0132 107	37.6	5.1	111 28	11.0 2	-48.0	-23.6 6.7	-45.8 -190.5	1.62 2.4E-3	1.90 5.3E-3	18.6 0.0
2012-04-11.98	0923+392	18.22	1.8	0.128	0.0149 104	37.1	5.1	76 65	9.5 39	-84.5	4.4 18.0	-106.4 -131.2	2.77 3.1E-3	3.19 5.7E-3	18.8 0.0
2012-04-11.105	0954+658	19.34	1.7	0.086	0.0116 105	38.2	1.1	18 59	10.0 66	-143.9	-17.0 10.2	-113.3 -174.7	0.584 2.3E-3	0.668 4.3E-3	18.4 0.1
2012-04-11.106	0923+392	19.46	1.9	0.093	0.0124 104	37.6	0.9	75 80	9.5 39	-96.7	19.4 13.6	-114.3 -95.3	2.57 3.0E-3	3.09 6.6E-3	19.0 0.0
2012-04-11.110	0954+658	20.07	1.9	0.082	0.0114 105	37.6	0.5	10 61	10.0 66	-160.9	-4.9 10.0	-103.9 -172.3	0.587 2.5E-3	0.664 4.1E-3	18.3 0.1
# Wed Apr 11 20:18:15 UTC 2012 - 8000 counts now for 0954+658. JS
