# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-04-05.12	Mars	test	2.40	2.1	0.814	0.0942 63	26.0	-0.5	0.00 -1.00 -1.26	-145 41	13.3 -6	27.9	-8.8 -3.5	9.3 -79.7	187 0.92	281 1.2	19.4 0.1	-0.4 -12.4
2014-04-05.13	Mars	test	2.43	2.1	0.624	0.0991 65	25.9	-0.5	0.00 -1.00 -1.26	-144 41	13.3 -6	28.4	-8.1 -2.0	10.3 -78.6	206 1.6	323 1.3	20.8 0.1	-0.1 -8.8
2014-04-05.14	Mars	test	2.47	2.1	0.677	0.2394 56	26.1	-0.5	0.00 -1.00 -1.26	-143 40	13.3 -6	28.8	-8.8 -4.1	9.6 -80.9	258 1.0	301 1.6	20.5 0.1	-19.8 43.1
2014-04-05.15	Mars	test	2.51	2.1	0.677	2.5661 62	25.7	-0.5	0.00 -1.00 -1.26	-143 40	13.3 -6	29.3	1.7 -3.1	11.7 -83.8	85.8 2.6	138 2.4	20.7 0.6	25.9 -21.2
2014-04-05.22	Saturn	test	4.30	2.0	0.569	0.1236 54	25.9	-0.8	0.00 -1.00 -1.26	-153 32	15.4 -16	22.7	1.8 -1.2	11.1 -79.8	176 0.59	294 2.3	23.2 0.1	-36.1 -28.4
#2014-04-05.23	BODY_Ceres	test	4.41	2.1	0.607	0.0343 62	25.6	-0.9	0.00 -1.00 -1.26	-118 36	14.0 3	44.9	-5.2 9.8	5.2 -80.7	0.655 0.012	0.553 0.012	15.5 0.3	2.9 -22.7
#2014-04-05.25	G34.3	test	5.83	2.0	1.900	0.0737 55	26.3	-0.6	0.00 -1.00 -1.26	170 54	18.9 1	-7.7	11.4 1.7	11.2 -59.7	4.86 0.16	6.76 0.19	15.3 0.5	16.9 -48.8
2014-04-05.26	3C454	test	11.99	2.1	0.431	0.0213 81	25.4	1.1	0.00 0.00 -1.80	-125 59	22.9 16	43.4	-18.8 18.2	9.4 -68.7	2.50 0.036	4.09 0.045	18.5 0.3	-51.0 61.2
2014-04-05.27	Uranus	test	12.09	2.1	0.507	0.0588 94	26.1	1.1	0.00 0.00 -1.80	179 57	0.8 4	-0.0	-13.4 13.3	8.0 -56.6	8.62 0.076	11.1 0.079	20.2 0.2	9.5 13.6
2014-04-05.28	Uranus	test	12.15	1.1	0.374	0.0189 101	25.2	1.2	0.00 0.00 -1.80	-179 57	0.8 4	1.2	-0.5 0.3	7.9 -56.7	9.38 0.040	10.3 0.021	18.8 0.1	0.6 -0.8
2014-04-05.29	Uranus	test	12.17	1.1	0.374	0.0189 98	25.5	1.2	0.00 0.00 -2.40	-178 57	0.8 4	1.7	-0.1 -0.1	8.4 -57.2	8.25 0.042	10.1 0.024	19.2 0.1	-13.8 15.7
2014-04-05.30	Uranus	test	12.19	1.1	0.433	0.0197 98	25.2	1.1	0.00 0.00 -1.20	-178 57	0.8 4	2.1	0.8 1.3	9.4 -56.0	8.54 0.032	10.5 0.026	19.5 0.1	15.5 -14.0
2014-04-05.31	Uranus	test	12.21	1.1	0.433	0.0199 98	25.7	1.1	0.00 0.00 -3.00	-177 57	0.8 4	2.6	-0.3 -1.5	8.6 -59.0	6.96 0.044	10.2 0.029	21.5 0.1	-28.9 9.8
2014-04-05.32	Uranus	test	12.24	1.1	0.433	0.0207 98	25.6	1.1	0.00 0.00 -0.60	-176 57	0.8 4	3.1	-0.4 1.9	8.6 -55.7	6.78 0.037	10.1 0.023	21.8 0.1	18.9 -11.4
2014-04-05.33	Uranus	test	12.28	1.1	0.415	0.0612 95	25.4	1.1	0.00 0.00 -1.85	-175 57	0.8 4	4.0	-0.3 0.2	8.9 -57.7	8.91 0.12	9.99 0.087	26.0 0.3	-4.8 -1.9
2014-04-05.34	Uranus	test	12.30	1.1	0.415	0.0430 95	25.6	1.2	-2.00 0.00 -1.85	-175 57	0.8 4	4.5	-0.0 1.9	9.4 -56.2	8.12 0.054	9.55 0.052	19.5 0.1	5.4 -20.1
2014-04-05.35	Uranus	test	12.32	1.1	0.411	0.0454 97	25.8	1.2	2.00 0.00 -1.85	-174 57	0.8 4	5.0	3.2 -1.5	12.6 -59.8	9.12 0.11	22.1 0.59	28.6 0.3	-22.5 24.6
2014-04-05.36	Uranus	test	12.35	1.1	0.411	0.0202 98	25.7	1.1	-4.00 0.00 -1.85	-173 57	0.8 4	5.5	-1.5 4.8	8.2 -53.7	5.86 0.021	9.16 0.024	22.1 0.1	21.3 -45.8
2014-04-05.37	Uranus	test	12.37	1.1	0.411	0.0211 99	25.7	1.1	4.00 0.00 -1.85	-173 57	0.8 4	6.1	0.8 -4.4	10.7 -63.0	7.12 0.035	10.1 0.025	20.7 0.1	-14.9 28.7
2014-04-05.38	Uranus	test	12.42	1.1	0.453	0.0196 98	25.5	0.9	0.00 0.00 -1.85	-171 57	0.8 4	7.1	-0.9 -0.1	9.3 -59.1	9.61 0.028	10.5 0.016	18.8 0.1	-6.8 2.3
2014-04-05.39	Uranus	test	12.44	1.1	0.453	0.0198 95	25.7	0.9	0.00 -2.00 -1.85	-171 57	0.8 4	7.6	3.5 0.2	13.8 -59.0	8.71 0.028	10.7 0.023	19.6 0.1	-26.5 -3.5
2014-04-05.40	Uranus	test	12.46	1.1	0.453	0.0198 94	25.5	0.9	0.00 2.00 -1.85	-170 57	0.8 4	8.1	-4.3 0.1	6.1 -59.4	8.42 0.032	10.0 0.022	19.2 0.1	21.4 -19.9
2014-04-05.41	Uranus	test	12.49	1.1	0.468	0.0203 94	25.6	0.9	0.00 -4.00 -1.85	-169 57	0.8 4	8.6	6.3 -0.3	16.9 -59.9	6.82 0.032	10.2 0.026	21.7 0.1	-32.4 -2.7
2014-04-05.42	Uranus	test	12.51	1.1	0.468	0.0205 95	25.6	0.9	0.00 4.00 -1.85	-169 57	0.8 4	9.1	-8.5 -0.1	2.2 -60.0	6.79 0.029	9.77 0.023	21.3 0.1	36.3 -3.8
2014-04-05.51	0221+067	test	16.97	2.1	0.085	0.0170 97	25.4	3.3	0.00 0.00 -1.80	-112 37	2.4 7	48.5	-20.6 9.6	9.5 -92.1	0.513 5.0E-3	0.520 4.8E-3	17.4 0.2	-3.2 -19.1
2014-04-05.52	0221+067	test	17.04	1.1	0.215	0.0134 97	25.0	3.4	0.00 0.00 -1.80	-111 36	2.4 7	48.8	1.4 -0.6	10.7 -93.2	0.499 5.5E-3	0.531 5.1E-3	16.8 0.2	0.0 -0.9
2014-04-05.53	0221+067	test	17.06	1.1	0.215	0.0137 96	24.9	3.4	0.00 0.00 -2.40	-111 36	2.4 7	48.9	1.7 -2.0	11.2 -94.8	0.408 5.8E-3	0.478 5.8E-3	18.6 0.3	-15.1 7.3
2014-04-05.54	0221+067	test	17.09	1.1	0.157	0.0145 96	25.2	3.4	0.00 0.00 -1.20	-110 35	2.4 7	49.0	-0.2 0.8	9.0 -92.1	0.535 5.6E-3	0.562 5.2E-3	16.1 0.2	-2.4 2.2
2014-04-05.55	0221+067	test	17.11	1.1	0.157	0.0141 95	25.1	3.4	0.00 0.00 -3.00	-110 35	2.4 7	49.1	4.5 -1.7	14.1 -94.6	0.201 4.6E-3	0.284 5.7E-3	20.9 0.4	-4.7 -13.1
2014-04-05.56	0221+067	test	17.13	1.1	0.157	0.0150 95	25.0	3.4	0.00 0.00 -0.60	-110 35	2.4 7	49.2	-0.7 1.1	8.5 -92.0	0.477 5.7E-3	0.540 5.3E-3	16.8 0.2	5.7 -6.0
2014-04-05.64	0420-014	test	18.18	2.1	0.284	0.0143 97	25.7	3.0	0.00 0.00 -1.30	-129 38	4.4 -1	38.2	0.5 1.0	10.3 -84.3	0.752 5.1E-3	0.800 4.0E-3	17.5 0.1	-8.3 7.1
2014-04-05.70	1055+018	242-13	19.32	2.1	0.454	0.0174 90	25.6	2.1	0.00 0.00 -1.30	120 36	11.0 2	-43.4	2.4 -6.5	-4.4 -72.6	1.97 0.011	2.05 7.3E-3	16.6 0.1	24.2 -3.5
2014-04-05.79	1055+018	242-13	20.92	2.1	0.319	0.0170 101	25.8	1.7	0.00 0.00 -1.30	148 50	11.0 2	-25.1	6.5 0.8	1.2 -59.1	1.88 9.1E-3	2.07 6.1E-3	16.4 0.1	5.9 -3.9
2014-04-05.91	1055+018	242-13	22.85	2.1	0.234	0.0188 100	25.9	0.7	0.00 0.00 -1.30	-165 54	11.0 2	12.0	-2.4 5.2	9.2 -60.2	1.93 9.1E-3	2.00 6.3E-3	16.7 0.1	-2.3 -15.4
2014-04-05.94	1418+546	191-13	23.33	2.1	0.228	0.0154 98	25.8	0.5	0.00 0.00 -1.30	43 61	14.3 54	-112.6	8.3 2.3	-16.5 -69.6	1.08 5.9E-3	1.10 5.4E-3	17.0 0.1	-1.9 -15.1
# Sat Apr  5 23:24:20 UTC 2014 - set pointing -7.7 19.1 - RE
2014-04-05.95	1418+546	191-13	23.39	1.1	0.228	0.0159 96	25.2	0.4	0.00 0.00 -1.30	42 61	14.3 54	-113.5	0.6 1.6	-16.0 -67.9	1.01 7.6E-3	1.04 6.2E-3	16.8 0.1	-11.4 9.1
2014-04-05.96	1418+546	191-13	23.41	1.1	0.309	0.0165 98	25.0	0.4	0.00 0.00 -1.90	42 62	14.3 54	-113.9	0.4 0.2	-16.4 -69.2	1.13 8.1E-3	1.15 6.9E-3	16.2 0.1	-9.5 7.7
2014-04-05.97	1418+546	191-13	23.44	1.1	0.309	0.0183 94	25.3	0.4	0.00 0.00 -0.70	42 62	14.3 54	-114.4	0.3 3.3	-16.6 -66.1	0.793 9.0E-3	0.867 9.2E-3	17.4 0.2	-5.8 -9.1
2014-04-05.98	1418+546	191-13	23.46	1.1	0.309	0.0167 94	25.4	0.4	0.00 0.00 -2.50	42 62	14.3 54	-114.8	0.8 -0.7	-16.2 -70.0	1.01 8.1E-3	1.05 6.9E-3	16.9 0.1	-5.3 13.5
2014-04-05.99	1418+546	191-13	23.48	1.1	0.309	0.0160 95	25.0	0.4	0.00 0.00 -0.10	41 62	14.3 54	-115.2	0.9 6.7	-16.4 -62.6	0.471 9.1E-3	0.635 7.1E-3	19.9 0.4	2.3 -2.3
# Sat Apr  5 23:32:03 UTC 2014 - set focus -1.9
2014-04-06.10	Mars	test	2.40	2.1	0.296	0.6167 60	46.5	0.7	0.00 0.00 -1.90	-143 40	13.3 -5	29.2	-7.7 -5.1	13.2 -76.3	90.5 1.4	196 1.0	18.2 0.3	3.9 -0.8
2014-04-06.11	Mars	test	2.45	2.1	0.296	0.0693 92	46.5	0.7	0.00 0.00 -1.90	-142 40	13.3 -5	29.7	-12.8 -2.9	9.5 -74.7	331 0.22	569 0.23	22.4 0.0	-22.4 12.3
2014-04-06.12	Mars	test	2.56	2.1	0.173	0.0598 96	46.3	0.6	0.00 0.00 -1.90	-140 39	13.3 -5	31.1	-13.1 -3.9	9.4 -76.6	304 0.19	511 0.19	22.4 0.0	11.7 4.8
#2014-04-06.13	BODY_Ceres	test	2.65	2.1	0.168	0.0126 94	46.6	0.4	0.00 0.00 -1.90	-147 51	14.0 3	26.4	-2.2 5.0	18.7 -60.7	0.905 3.3E-3	1.08 5.1E-3	19.5 0.1	-13.7 -3.4
2014-04-06.14	IRAS16293	156-13	2.77	2.1	0.139	0.0200 100	26.2	0.4	0.00 0.00 -1.90	164 27	16.5 -24	-13.9	-12.5 -14.7	3.8 -73.5	1.11 6.7E-3	1.19 5.9E-3	17.9 0.1	6.8 2.5
# Sun Apr  6 03:12:29 UTC 2014 - Scans 10, 11, and 12 had bias set to 8k, 10k, and 12k, rspectively. - RE
2014-04-06.32	2037+511	190-13	6.00	2.1	0.161	0.0143 93	25.8	2.0	0.00 0.00 -1.90	46 65	20.6 51	-114.3	13.6 14.1	-18.0 -65.8	0.924 4.7E-3	0.873 3.3E-3	16.8 0.1	15.1 -4.7
2014-04-06.41	G34.3	233-13	8.23	2.1	0.347	0.0276 89	25.5	3.4	0.00 0.00 -1.90	-134 44	18.9 1	35.2	-16.5 0.3	6.2 -73.5	6.34 0.072	9.44 0.039	19.1 0.2	-17.6 -0.7
2014-04-06.42	3C454	233-13	8.37	2.1	0.378	0.0203 78	25.6	3.4	0.00 0.00 -1.90	124 58	22.9 16	-43.4	9.4 -0.7	-8.2 -49.5	0.550 0.016	3.61 0.067	34.7 0.8	-70.4 17.5
2014-04-06.43	3C454	233-13	8.42	2.1	0.294	0.0204 77	25.6	3.4	0.00 0.00 -1.90	125 59	22.9 16	-42.7	9.3 -0.8	-9.1 -48.9	1.16 0.026	3.58 0.051	23.4 0.5	-96.9 4.3
2014-04-06.45	2223-052	233-13	8.62	2.1	0.723	0.0130 101	26.2	3.5	0.00 0.00 -1.90	157 45	22.4 -5	-18.3	7.5 -6.0	3.5 -61.5	0.614 4.4E-3	0.577 4.2E-3	16.4 0.1	-13.3 -3.4
2014-04-06.54	2223-052	233-13	10.08	2.1	0.312	0.0140 100	26.1	4.5	0.00 0.00 -1.90	-171 48	22.4 -5	7.1	-3.8 -0.9	6.4 -67.0	0.489 4.4E-3	0.436 3.0E-3	16.6 0.1	-16.3 -15.4
2014-04-06.61	2318+049	227-13	11.18	2.1	0.299	0.0168 92	26.0	4.6	0.00 0.00 -1.90	-164 57	23.3 5	13.2	-3.2 0.0	6.2 -62.6	0.296 3.7E-3	0.268 3.7E-3	17.0 0.2	14.5 -4.9
2014-04-06.70	0420-014	192-13	15.01	2.1	0.417	0.0410 102	26.1	4.6	0.00 0.00 -1.80	165 51	4.4 -1	-11.5	-18.2 -2.4	1.3 -73.9	0.777 0.012	0.739 9.9E-3	17.2 0.3	-1.7 3.1
2014-04-06.71	0420-014	192-13	15.08	1.1	0.335	0.0210 103	25.4	4.6	0.00 0.00 -1.80	167 51	4.4 -1	-10.5	-1.1 0.4	0.6 -73.6	0.704 8.5E-3	0.728 9.7E-3	17.0 0.2	9.4 -6.7
2014-04-06.72	0420-014	192-13	15.10	1.1	0.335	0.0180 102	25.4	4.5	0.00 0.00 -2.40	167 51	4.4 -1	-10.1	-1.4 -0.3	0.3 -74.4	0.413 8.9E-3	0.515 7.9E-3	19.0 0.4	4.5 -18.5
2014-04-06.73	0420-014	192-13	15.12	1.1	0.335	0.0186 99	25.5	4.6	0.00 0.00 -1.20	168 51	4.4 -1	-9.7	-1.7 -0.3	0.3 -74.4	0.916 8.3E-3	0.894 6.9E-3	16.5 0.1	0.2 -10.6
2014-04-06.74	0420-014	192-13	15.14	1.1	0.341	0.0191 102	25.9	4.6	0.00 0.00 -3.00	168 51	4.4 -1	-9.3	2.0 2.0	1.8 -72.3	0.178 8.7E-3	0.315 0.010	23.9 1.0	20.7 -21.7
2014-04-06.75	0420-014	192-13	15.16	1.1	0.341	0.0242 102	25.7	4.6	0.00 0.00 -0.60	169 51	4.4 -1	-8.9	-2.4 -2.0	-0.2 -76.2	0.857 0.012	0.831 1.0E-2	16.2 0.2	8.5 -0.8
2014-04-06.76	0420-014	192-13	15.23	1.1	0.323	0.0212 101	25.8	4.6	0.00 0.00 -0.90	170 51	4.4 -1	-7.7	0.2 -0.3	2.7 -74.7	0.893 8.9E-3	0.893 9.3E-3	16.2 0.2	-4.6 -15.8
2014-04-06.77	0420-014	192-13	15.25	1.1	0.323	0.0225 99	25.5	4.6	0.00 0.00 -1.50	171 51	4.4 -1	-7.3	-2.1 -1.5	0.6 -75.9	0.823 9.7E-3	0.834 8.5E-3	16.5 0.2	17.1 -6.7
2014-04-06.78	0420-014	192-13	15.27	1.1	0.323	0.0221 98	25.5	4.7	0.00 0.00 -0.30	171 51	4.4 -1	-6.9	-0.5 0.1	2.7 -74.4	0.796 8.8E-3	0.839 9.3E-3	16.3 0.2	-4.1 -19.8
2014-04-06.79	0420-014	192-13	15.29	1.1	0.323	0.0198 96	25.4	4.7	0.00 0.00 -2.10	172 51	4.4 -1	-6.4	-0.0 -1.1	2.9 -75.7	0.608 8.9E-3	0.690 8.9E-3	18.1 0.3	-15.9 -4.6
2014-04-06.80	0420-014	192-13	15.31	1.1	0.265	0.0184 98	25.5	4.7	0.00 0.00 0.29	172 51	4.4 -1	-6.0	-0.5 -0.4	2.5 -75.1	0.609 8.0E-3	0.714 8.6E-3	17.8 0.2	-10.0 -16.5
2014-04-06.89	0420-014	192-13	17.09	2.1	0.305	0.0265 102	25.8	4.6	0.00 0.00 -0.89	-147 47	4.4 -1	25.9	-1.3 1.1	9.7 -87.1	0.916 9.6E-3	0.912 7.1E-3	16.5 0.2	-10.0 5.4
2014-04-06.95	3C84	235-13	18.23	2.1	0.374	0.0372 99	25.4	2.9	0.00 0.00 -1.80	-66 48	3.3 42	77.3	-17.2 3.7	4.4 -107.1	8.56 0.036	11.7 0.051	21.1 0.1	-11.1 -12.8
2014-04-06.98	3C84	235-13	18.54	1.1	0.296	0.0381 102	24.9	2.9	0.00 0.00 -1.80	-65 45	3.3 42	75.1	-0.8 -0.3	4.2 -109.1	8.81 0.076	20.0 0.96	26.4 0.2	-11.0 -16.3
2014-04-06.99	3C84	235-13	18.57	1.1	0.296	0.0328 97	25.0	2.9	0.00 0.00 -2.40	-65 44	3.3 42	74.9	-0.2 -0.5	4.8 -109.3	6.49 0.024	10.1 0.035	22.4 0.1	-11.3 -16.3
2014-04-06.100	3C84	235-13	18.59	1.1	0.296	0.0358 96	25.0	2.9	0.00 0.00 -1.20	-65 44	3.3 42	74.8	-0.1 -0.3	5.0 -109.2	8.65 0.026	10.1 0.027	19.4 0.1	2.4 -19.8
2014-04-06.101	3C84	235-13	18.61	1.1	0.282	0.0373 100	25.0	3.0	0.00 0.00 -3.00	-65 44	3.3 42	74.6	-1.5 -0.4	3.6 -109.5	3.94 0.030	9.84 0.049	28.4 0.2	-8.0 -16.0
2014-04-06.102	3C84	235-13	18.63	1.1	0.282	0.0478 96	25.1	3.0	0.00 0.00 -0.60	-65 44	3.3 42	74.4	-0.6 -1.1	4.7 -110.3	7.59 0.042	9.60 0.040	19.5 0.1	5.6 -22.4
2014-04-06.103	3C84	235-13	18.67	2.1	0.379	0.0347 99	25.4	3.1	0.00 0.00 -1.40	-64 43	3.3 42	74.1	-1.0 -2.1	4.1 -111.4	9.16 0.016	11.1 0.028	19.9 0.0	-22.5 -6.0
2014-04-06.106	0851+202	242-13	19.26	1.1	0.578	0.0222 96	25.5	2.6	0.00 0.00 -1.80	142 69	8.9 20	-31.5	3.6 -4.6	-8.1 -56.6	2.68 0.024	3.20 0.018	15.5 0.1	-3.3 -3.0
2014-04-06.107	0851+202	242-13	19.28	1.1	0.578	0.0245 93	25.2	2.6	0.00 0.00 -2.40	143 70	8.9 20	-30.9	4.7 -3.7	-6.7 -55.5	2.16 0.024	2.65 0.019	16.8 0.2	-10.9 12.2
2014-04-06.108	0851+202	242-13	19.30	1.1	0.578	0.0288 92	25.1	2.6	0.00 0.00 -1.20	143 70	8.9 20	-30.3	3.4 -0.3	-8.0 -52.0	2.67 0.027	3.12 0.021	15.0 0.1	20.0 4.3
2014-04-06.109	0851+202	242-13	19.32	1.1	0.195	0.0221 94	25.3	2.6	0.00 0.00 -3.00	144 70	8.9 20	-29.6	3.4 -4.3	-8.0 -55.9	1.18 0.019	1.78 0.016	19.9 0.3	9.1 0.4
2014-04-06.110	0851+202	242-13	19.35	1.1	0.195	0.0225 94	25.2	2.6	0.00 0.00 -0.60	145 70	8.9 20	-29.0	3.3 -1.5	-7.4 -52.9	2.34 0.020	2.80 0.017	15.8 0.1	12.1 19.6
2014-04-06.111	1055+018	242-13	19.44	2.1	0.238	0.0226 95	25.3	2.6	0.00 0.00 -1.40	123 38	11.0 2	-41.9	-0.3 -14.0	-4.2 -86.4	2.15 0.011	2.14 9.0E-3	16.2 0.1	-23.4 -4.7
2014-04-06.124	1055+018	242-13	21.63	2.1	0.126	0.0183 94	26.0	4.1	0.00 0.00 -1.40	165 54	11.0 2	-11.3	-0.9 9.8	-0.1 -70.1	2.20 8.9E-3	2.28 6.3E-3	16.6 0.1	6.7 20.6
2014-04-06.133	1055+018	242-13	23.14	2.1	0.115	0.0193 89	25.8	3.9	0.00 0.00 -1.40	-157 52	11.0 2	18.7	-2.2 2.2	6.0 -77.6	1.91 9.0E-3	1.97 5.9E-3	16.7 0.1	1.9 -24.5
2014-04-06.134	1418+546	test	23.29	2.1	0.138	0.0216 85	25.8	3.9	0.00 0.00 -1.40	42 61	14.3 54	-112.9	6.5 3.6	-21.4 -84.2	0.838 5.6E-3	0.806 3.8E-3	17.0 0.1	3.6 -14.1
2014-04-07.10	1308+326	191-13	2.05	2.1	0.215	0.0163 108	25.2	3.4	0.00 0.00 -1.40	-96 69	13.2 32	69.9	-4.6 8.5	5.7 -76.0	0.618 5.4E-3	0.588 4.1E-3	16.9 0.1	-12.5 7.0
# Mon Apr  7 02:11:49 UTC 2014 - Mars scans 12, 13, and 14 have biases 12k, 10k, and 8k - RE
2014-04-07.12	Mars	test	2.17	2.1	0.204	0.0525 93	54.8	3.5	0.00 0.00 -1.40	-145 41	13.3 -5	27.4	-5.3 -8.7	7.3 -85.2	341 0.17	559 0.15	22.9 0.0	-8.1 -3.5
2014-04-07.13	Mars	test	2.22	2.1	0.204	0.0948 82	54.3	3.5	0.00 0.00 -1.40	-145 41	13.3 -5	28.0	-4.2 -7.7	8.5 -84.5	284 0.21	558 0.23	23.8 0.0	16.6 18.3
2014-04-07.14	Mars	test	2.27	2.1	0.159	0.2348 66	54.3	3.5	0.00 0.00 -1.40	-144 41	13.3 -5	28.6	-4.6 -7.7	8.1 -85.0	260 0.41	535 0.73	23.8 0.0	-51.4 13.5
2014-04-07.15	IRAS16293	156-13	2.64	2.1	0.215	0.0181 104	26.2	3.5	0.00 0.00 -1.40	163 26	16.5 -24	-14.7	-2.3 -18.9	4.4 -83.8	1.05 8.1E-3	1.23 8.1E-3	18.5 0.1	1.9 17.3
2014-04-07.24	IRAS16293	156-13	3.02	2.0	0.187	0.0170 103	26.1	3.5	0.00 0.00 -1.40	169 28	16.5 -24	-9.8	-0.8 -14.8	4.4 -85.5	0.991 6.7E-3	1.12 5.2E-3	18.5 0.1	-0.8 9.9
2014-04-07.34	IRAS16293	156-13	4.65	2.1	0.204	0.0185 103	26.2	3.8	0.00 0.00 -1.40	-166 27	16.5 -24	12.2	-2.8 0.3	4.9 -90.9	1.06 8.0E-3	1.29 7.0E-3	18.3 0.1	10.8 -9.5
2014-04-07.44	IRAS16293	156-13	6.24	2.1	0.255	0.0191 97	26.0	3.5	0.00 0.00 -1.40	-144 19	16.5 -24	31.0	-0.9 -0.4	4.8 -96.9	1.07 0.010	1.28 8.5E-3	18.5 0.2	-7.7 7.9
2014-04-07.45	2037+511	190-13	6.40	1.1	0.077	0.0165 105	25.4	3.4	0.00 0.00 -1.40	40 69	20.6 51	-124.9	13.4 14.3	-23.6 -75.3	0.711 4.9E-3	0.676 6.0E-3	15.7 0.1	1.1 10.2
2014-04-07.46	2037+511	190-13	6.43	1.1	0.129	0.0163 105	25.4	3.4	0.00 0.00 -2.00	40 69	20.6 51	-125.4	14.6 14.7	-22.4 -74.9	0.758 4.7E-3	0.692 4.7E-3	15.8 0.1	-10.3 1.0
2014-04-07.47	2037+511	190-13	6.45	1.1	0.129	0.0175 104	25.2	3.5	0.00 0.00 -0.80	39 69	20.6 51	-126.1	14.1 15.5	-23.1 -74.0	0.703 6.9E-3	0.726 8.6E-3	16.7 0.2	-10.6 -0.9
2014-04-07.48	2037+511	190-13	6.48	1.1	0.129	0.0170 104	25.4	3.5	0.00 0.00 -2.60	39 70	20.6 51	-126.7	14.7 14.3	-22.5 -75.2	0.636 5.7E-3	0.622 6.0E-3	16.5 0.1	-6.4 6.7
2014-04-07.49	2037+511	190-13	6.50	1.1	0.281	0.0180 105	25.4	3.5	0.00 0.00 -0.20	39 70	20.6 51	-127.4	13.6 14.7	-22.9 -74.5	0.480 6.6E-3	0.547 9.0E-3	18.2 0.2	-13.7 3.0
2014-04-07.59	2059+034	227-13	8.19	2.1	0.883	0.0148 108	26.1	5.6	0.00 0.00 -1.70	179 57	21.0 4	-0.5	-7.4 -3.3	3.8 -67.6	0.401 3.4E-3	0.370 4.4E-3	16.7 0.1	12.4 -10.4
2014-04-07.68	2223-052	227-13	9.62	2.1	0.218	0.0168 105	26.2	6.1	0.00 0.00 -1.70	180 48	22.4 -5	0.1	-9.3 -8.6	4.0 -78.0	0.480 3.4E-3	0.435 3.8E-3	16.4 0.1	1.8 17.0
2014-04-07.79	Mercury	227-13	11.38	2.1	0.138	0.0447 105	25.8	5.3	0.00 0.00 -1.70	-176 51	0.0 -2	3.3	-11.4 -7.7	2.3 -76.8	114 0.12	146 0.11	20.2 0.0	17.0 16.1
2014-04-07.83	2200+420	235-13	14.82	2.0	0.305	0.0177 98	25.8	5.9	0.00 0.00 0.00	-56 28	22.0 42	63.8	-21.6 -7.2	1.9 -123.8	1.58 0.014	2.13 0.010	18.9 0.2	-17.3 3.8
2014-04-07.84	2200+420	235-13	15.00	1.1	0.335	0.0174 97	24.9	5.5	0.00 0.00 -1.80	-55 26	22.0 42	62.5	1.6 0.6	3.1 -123.0	1.34 0.016	1.98 0.014	19.4 0.2	-16.9 2.0
2014-04-07.85	2200+420	235-13	15.03	1.1	0.370	0.0182 95	25.0	5.6	0.00 0.00 -2.40	-55 26	22.0 42	62.3	1.6 2.9	3.3 -120.7	0.953 0.017	1.65 0.014	21.3 0.3	-14.0 -11.6
2014-04-07.86	2200+420	235-13	15.05	1.1	0.370	0.0184 95	25.3	5.6	0.00 0.00 -1.20	-55 26	22.0 42	62.1	3.7 2.7	5.3 -120.9	1.58 0.016	2.18 0.014	17.9 0.2	-22.6 22.4
2014-04-07.87	2200+420	235-13	15.07	1.1	0.370	0.0201 92	25.2	5.5	0.00 0.00 -3.00	-55 25	22.0 42	62.0	1.3 2.5	2.9 -121.1	0.571 0.018	1.14 0.016	24.1 0.7	-10.6 -21.5
#2014-04-07.88	2200+420	235-13	15.09	1.1	0.370	0.0164 93	25.1	5.5	0.00 0.00 -0.60	-55 25	22.0 42	61.8	0.8 -4.4	2.4 -127.9	1.71 0.015	2.14 0.014	17.6 0.1	-12.0 -8.7
#2014-04-07.89	2200+420	235-13	15.13	1.1	0.249	0.0193 90	25.2	5.5	0.00 0.00 -0.50	-55 25	22.0 42	61.5	2.7 -7.9	4.3 -131.4	1.44 0.013	1.79 0.012	17.9 0.2	-18.1 -6.7
2014-04-07.90	2200+420	235-13	15.15	1.1	0.249	0.0223 78	25.1	5.6	0.00 0.00 -1.10	-54 25	22.0 42	61.4	0.7 1.0	2.3 -122.5	1.11 0.022	1.52 0.025	16.7 0.3	-20.2 -1.1
2014-04-07.91	2200+420	235-13	15.17	1.1	0.249	0.0180 78	25.3	5.6	0.00 0.00 0.10	-54 25	22.0 42	61.2	3.6 0.3	5.2 -123.1	0.763 0.014	1.23 0.018	20.4 0.4	-17.7 -7.1
2014-04-07.92	2200+420	235-13	15.19	1.1	0.262	0.0187 85	25.0	5.6	0.00 0.00 -1.70	-54 24	22.0 42	61.0	0.3 4.3	2.1 -119.2	1.09 0.015	1.49 0.014	17.9 0.2	-14.1 -23.1
2014-04-07.93	2200+420	235-13	15.22	1.1	0.262	0.0151 81	25.1	5.7	0.00 0.00 0.70	-54 24	22.0 42	60.8	0.5 -0.4	2.2 -123.8	0.517 0.014	1.06 0.014	22.0 0.5	-8.2 0.4
