# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-04-04.13	3C84	test	10.10	1.1	0.400	0.0113 101	76.0	-7.9	0.00 0.00 -1.80	62 38	3.3 42	-70.5	-11.8 -1.9	-6.9 -94.3	9.49 0.022	14.2 0.044	21.7 0.0	7.4 0.1
2014-04-04.14	3C84	test	10.17	1.1	0.393	0.0213 98	24.8	-7.9	0.00 0.00 -1.80	62 38	3.3 42	-71.0	0.2 1.5	-7.2 -92.6	7.79 0.024	11.1 0.026	20.5 0.1	-29.4 12.9
2014-04-04.15	3C84	test	10.19	1.1	0.393	0.0191 103	25.0	-7.9	0.00 0.00 -2.40	63 38	3.3 42	-71.2	1.6 0.1	-5.9 -93.9	6.18 0.019	11.6 0.043	24.4 0.1	5.2 13.0
2014-04-04.16	3C84	test	10.21	1.1	0.393	0.0209 98	25.0	-7.9	0.00 0.00 -1.20	63 39	3.3 42	-71.3	0.4 1.9	-7.2 -92.0	9.55 0.019	11.8 0.031	19.4 0.0	-1.2 10.4
2014-04-04.17	3C84	test	10.23	0.8	0.351	0.0207 99	24.6	-7.9	0.00 0.00 -3.00	63 39	3.3 42	-71.4	3.5 0.3	-4.3 -93.6	4.03 0.025	11.3 0.22	28.9 0.1	40.6 -11.2
# Fri Apr  4 10:19:49 UTC 2014 - Trying CRUSH 2.16-a3 again...
2014-04-04.20	3C84	test	10.43	2.0	0.371	0.0199 102	25.6	-7.9	0.00 0.00 -1.60	64 41	3.3 42	-72.9	0.8 2.7	-8.1 -90.2	8.56 0.017	11.8 0.023	20.7 0.0	15.5 -1.7
2014-04-04.21	3C84	test	10.53	1.1	0.411	0.0152 102	24.9	-7.9	0.00 0.00 -1.60	64 42	3.3 42	-73.6	1.9 2.1	-8.3 -86.9	9.30 0.020	12.0 0.10	19.7 0.0	14.1 -3.8
2014-04-04.22	3C84	test	10.55	1.1	0.411	0.0197 98	24.8	-7.9	0.00 0.00 -2.20	64 42	3.3 42	-73.7	3.2 0.6	-7.2 -88.3	7.50 0.019	12.0 0.026	22.4 0.1	11.3 -0.8
2014-04-04.23	3C84	test	10.57	1.1	0.411	0.0218 98	25.0	-7.8	0.00 0.00 -1.00	64 43	3.3 42	-73.9	1.4 2.5	-9.2 -86.3	9.55 0.021	11.5 0.017	19.1 0.0	26.4 -9.7
