# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-14.28	J1405+043	3.73	1.9	0.205	0.0210 97	38.0	4.7	-119 39	14.1 4	44.4	20.8 -2.9	-8.3 -71.6	0.0724 4.1E-3	0.0738 4.4E-3	15.7 0.9
2011-04-14.33	J1504+105	4.46	1.9	0.268	0.0238 97	37.8	4.2	-117 46	15.1 10	46.6	15.4 -10.5	-10.0 -72.2	0.523 4.9E-3	0.638 0.010	18.8 0.2
2011-04-14.34	J1405+043	4.51	1.8	0.249	0.0235 96	38.0	4.2	-109 30	14.1 4	49.1	18.4 -10.0	-14.2 -88.2	0.0860 5.6E-3	0.0860 6.8E-3	16.1 1.0
2011-04-14.38	J2038+513	5.16	1.9	0.177	0.0323 95	36.7	3.8	48 62	20.6 51	-7.8	-1.2 -1.3	-33.4 -55.3	0.958 6.8E-3	1.00 1.0E-2	17.6 0.1
2011-04-14.39	J2007+661	5.21	1.9	0.146	0.0288 97	36.8	3.8	19 58	20.1 66	-19.6	-1.8 -3.7	-31.9 -67.0	0.212 4.9E-3	0.198 5.9E-3	16.8 0.4
2011-04-14.42	J2038+513	5.62	1.9	0.220	0.0232 98	36.7	3.5	44 66	20.6 51	-12.3	-1.9 -2.0	-31.9 -51.1	1.02 4.7E-3	1.12 8.9E-3	17.9 0.1
2011-04-14.43	J2007+661	5.67	1.9	0.173	0.0209 98	36.6	3.5	14 59	20.1 66	-24.7	-1.8 -4.7	-30.5 -66.2	0.221 4.2E-3	0.217 4.6E-3	17.1 0.3
2011-04-14.47	J2038+513	6.24	1.9	0.196	0.0238 96	37.0	3.6	35 71	20.6 51	-20.2	-2.1 -4.0	-28.4 -47.5	0.928 6.3E-3	1.03 9.4E-3	17.7 0.1
2011-04-14.48	J2007+661	6.30	1.9	0.185	0.0214 97	36.8	3.7	7 60	20.1 66	-32.0	-1.8 -6.0	-28.7 -65.9	0.199 4.0E-3	0.201 4.6E-3	17.1 0.3
2011-04-14.52	J2038+513	6.90	1.9	0.197	0.0260 94	36.9	3.8	18 75	20.6 51	-32.2	-2.7 -7.1	-24.2 -47.1	0.946 6.2E-3	1.05 8.9E-3	17.8 0.1
2011-04-14.53	J2007+661	6.95	1.7	0.190	0.0239 97	35.1	3.9	-1 61	20.1 66	101.8	5.6 -8.6	-19.8 -68.1	0.214 4.2E-3	0.216 5.9E-3	17.1 0.3
2011-04-14.54	J2223+628	7.13	1.9	0.178	0.0216 98	36.9	3.8	26 58	22.4 63	4.4	-4.7 -3.4	-35.6 -65.2	0.135 3.9E-3	0.154 7.7E-3	17.9 0.5
