# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.63	2230+114	8.26	1.9	0.138	0.0191 98	36.6	3.4	149 61	22.5 12	4.4	14.2 5.4	-16.3 -32.7	0.668 4.1E-3	0.738 7.3E-3	17.9 0.1
# Fri Apr 15 08:19:40 UTC 2011 - starting pointing
2011-04-15.64	2318+049	8.31	1.9	0.155	0.0194 97	36.7	3.4	137 50	23.3 5	-9.4	14.9 9.3	-21.5 -44.2	0.223 3.2E-3	0.217 3.8E-3	17.0 0.2
2011-04-15.65	2251+158	8.41	1.9	0.148	0.0326 64	36.6	3.4	138 64	22.9 16	-1.0	14.7 -1.0	-16.1 -37.2	1.52 0.018	3.56 0.058	24.4 0.2
2011-04-15.66	2234+282	8.46	1.9	0.139	0.0210 97	36.8	3.5	125 76	22.6 28	5.3	7.4 2.3	-18.8 -18.3	0.554 4.0E-3	0.631 7.9E-3	17.8 0.1
2011-04-15.67	J2321+275	8.60	1.9	0.142	0.0216 99	36.5	3.6	111 69	23.4 28	-9.9	7.1 5.4	-23.9 -27.6	0.194 4.0E-3	0.205 4.4E-3	17.1 0.3
2011-04-15.68	J2301+374	8.66	1.9	0.172	0.0224 99	36.9	3.6	83 77	23.0 37	0.3	0.4 0.4	-27.2 -26.5	0.104 4.3E-3	0.0912 4.4E-3	14.7 0.6
2011-04-15.69	J2225-050	8.75	1.9	0.152	0.0218 97	36.8	3.6	172 48	22.4 -5	9.5	16.1 4.8	-16.8 -48.8	0.999 5.5E-3	1.13 7.2E-3	18.1 0.1
2011-04-15.70	Mars	8.82	1.9	0.170	0.0261 97	37.0	3.6	125 42	0.6 3	-27.2	12.8 12.7	-27.3 -52.1	35.2 0.026	47.6 0.031	19.8 0.0
2011-04-15.71	J0050-095	8.86	1.9	0.142	0.0208 97	36.8	3.7	133 30	0.8 -9	-25.1	13.8 14.3	-28.1 -60.2	0.340 5.5E-3	0.361 6.7E-3	17.1 0.3
2011-04-15.72	0235+164	8.93	1.9	0.141	0.0250 97	36.6	3.8	90 29	2.6 17	-54.1	7.0 15.0	-36.4 -68.0	0.699 6.3E-3	0.783 8.1E-3	17.7 0.2
2011-04-15.73	Mercury	8.98	1.9	0.136	0.0585 97	36.8	3.8	120 43	0.9 7	-32.5	12.2 11.3	-27.9 -52.7	223 0.094	333 0.12	21.1 0.0
2011-04-15.74	J0010+110	9.03	1.9	0.130	0.0194 99	36.7	3.8	129 54	0.2 11	-22.0	9.0 10.8	-26.9 -39.3	0.115 3.4E-3	0.108 4.6E-3	16.3 0.5
2011-04-15.75	J2321+275	9.08	1.9	0.221	0.0204 99	36.8	3.8	123 74	23.4 28	-5.7	7.4 4.1	-20.0 -19.6	0.201 4.7E-3	0.225 6.6E-3	17.6 0.4
2011-04-15.76	J2253+161	9.14	1.9	0.197	0.0344 62	36.9	3.9	162 68	22.9 16	8.5	11.6 -3.1	-13.4 -30.9	1.22 0.019	3.53 0.046	26.6 0.3
2011-04-15.77	J2232+117	9.19	1.9	0.197	0.0202 98	36.8	4.0	178 65	22.5 12	16.3	14.3 3.0	-9.7 -29.2	0.647 4.4E-3	0.742 6.6E-3	18.3 0.1
2011-04-15.78	J2225-050	9.24	1.9	0.170	0.0211 97	36.9	4.0	-177 48	22.4 -5	13.8	15.8 5.4	-15.5 -47.8	1.02 5.7E-3	1.19 9.0E-3	18.5 0.1
2011-04-15.79	J2258-280	9.30	1.9	0.141	0.0227 96	36.8	4.0	175 25	23.0 -28	4.3	14.0 6.1	-25.6 -68.9	1.59 8.8E-3	1.87 9.8E-3	17.9 0.1
2011-04-15.80	J2011-158	9.37	1.9	0.182	0.0230 97	36.8	4.1	-139 27	20.2 -16	38.3	15.3 -0.9	-20.1 -77.2	0.594 6.0E-3	0.647 7.4E-3	17.4 0.2
2011-04-15.81	J2148+070	9.42	1.9	0.184	0.0205 98	36.8	4.4	-154 57	21.8 7	30.4	13.6 -1.2	-9.6 -44.1	0.839 4.2E-3	0.923 8.2E-3	17.9 0.1
2011-04-15.82	J2203+318	9.49	1.9	0.179	0.0205 98	36.9	4.3	-116 79	22.1 32	63.3	8.0 -7.8	2.1 -25.5	0.898 5.2E-3	1.07 8.1E-3	18.3 0.1
2011-04-15.83	K3-50A	9.54	1.9	0.201	0.0328 70	36.9	4.2	-83 56	20.0 34	69.9	12.5 -8.5	-6.7 -65.1	3.48 0.025	6.81 0.039	21.0 0.1
2011-04-15.84	J2202+423	9.60	1.9	0.210	0.0245 83	36.7	4.3	-58 79	22.0 42	103.4	2.0 -13.8	-4.8 -43.3	3.10 0.010	4.18 0.015	18.1 0.1
2011-04-15.85	J2015+372	9.65	1.9	0.194	0.0223 98	36.8	4.4	-77 58	20.3 37	75.0	8.4 -11.7	-9.5 -66.3	1.67 5.1E-3	1.93 9.1E-3	18.3 0.1
2011-04-15.88	J1642+689	9.83	1.9	0.170	0.0210 97	36.8	4.4	-25 32	16.7 69	63.6	4.1 -7.4	-30.7 -98.0	0.566 4.1E-3	0.606 6.7E-3	17.2 0.1
2011-04-15.89	J1800+785	9.88	1.9	0.178	0.0222 95	36.7	4.4	-14 39	18.0 78	87.2	1.2 -7.0	-32.1 -92.1	1.39 4.6E-3	1.49 7.4E-3	17.4 0.1
2011-04-15.90	J1824+569	9.95	1.9	0.123	0.0220 95	36.8	4.5	-42 39	18.4 57	76.0	5.9 -10.1	-24.2 -91.9	0.750 4.7E-3	0.784 5.8E-3	17.6 0.1
2011-04-15.91	J2038+513	10.00	1.9	0.149	0.0222 96	36.5	4.5	-50 58	20.6 51	96.5	1.9 -14.7	-17.6 -73.2	1.10 4.5E-3	1.16 8.4E-3	17.7 0.1
2011-04-15.92	J0102+584	10.08	1.9	0.153	0.0243 96	36.9	4.3	29 63	1.0 58	-139.7	-10.4 2.5	-39.6 -52.6	1.59 5.6E-3	1.83 0.010	18.2 0.1
2011-04-15.93	J0359+510	10.13	1.9	0.192	0.0261 97	36.8	4.2	51 41	4.0 51	-81.4	-2.1 10.3	-42.0 -68.8	2.13 6.0E-3	2.50 0.012	18.1 0.0
2011-04-15.94	J0319+415	10.18	1.9	0.186	0.0317 67	36.7	4.2	66 46	3.3 42	-77.8	-0.8 12.1	-40.3 -59.0	2.84 0.024	4.63 0.038	18.6 0.1
2011-04-15.95	J0418+380	10.23	1.9	0.198	0.0241 96	36.9	4.1	65 35	4.3 38	-68.5	2.7 13.0	-39.4 -69.6	1.95 6.2E-3	2.22 0.010	17.9 0.1
2011-04-15.96	J0359+510	10.28	1.9	0.181	0.0250 97	36.7	4.1	51 42	4.0 51	-82.1	-1.4 10.7	-41.0 -67.0	2.07 6.5E-3	2.40 0.011	18.0 0.1
2011-04-15.97	J0217+738	10.34	1.9	0.158	0.0221 97	36.9	4.1	16 49	2.3 74	-132.6	-4.5 -0.5	-37.9 -74.8	0.910 5.5E-3	0.944 7.3E-3	17.4 0.1
2011-04-15.98	J0102+584	10.38	1.9	0.225	0.0224 97	36.9	4.1	25 65	1.0 58	-143.4	-11.9 0.7	-39.7 -52.4	1.67 5.4E-3	1.88 9.9E-3	17.9 0.1
2011-04-15.99	J0102+584	10.47	1.9	0.216	0.0245 97	36.5	4.0	24 65	1.0 58	-144.4	-12.8 -0.2	-40.2 -52.8	1.71 5.0E-3	1.89 0.010	17.8 0.1
2011-04-15.102	Uranus	10.72	1.9	0.211	0.1043 82	36.7	4.1	178 53	0.1 0	-2.3	23.6 3.1	-6.2 -44.1	11.7 0.28	71.7 1.7	38.8 0.7
2011-04-15.103	Uranus	10.76	1.7	0.167	0.0331 84	35.1	4.1	179 53	0.1 0	-2.7	17.1 6.5	-12.5 -40.6	9.27 0.018	12.3 0.037	19.8 0.0
2011-04-15.104	Uranus	10.81	1.7	0.239	0.0299 81	35.1	4.0	180 53	0.1 0	-2.7	17.5 7.3	-12.0 -39.9	9.16 0.021	11.6 0.026	19.3 0.0
2011-04-15.105	Uranus	10.84	1.7	0.200	0.0293 82	35.1	4.0	-179 53	0.1 0	-2.7	17.7 7.2	-11.6 -40.0	9.11 0.019	11.5 0.023	19.3 0.0
2011-04-15.106	Uranus	10.89	1.8	0.162	0.0274 82	36.7	4.0	-178 53	0.1 0	-0.6	18.8 5.1	-10.3 -42.1	8.56 0.014	11.4 0.020	19.8 0.0
2011-04-15.107	Uranus	10.93	1.9	0.181	0.0275 79	36.5	4.0	-177 53	0.1 0	-0.2	16.7 5.9	-12.3 -41.3	8.62 0.016	11.2 0.016	19.7 0.0
2011-04-15.108	Mars	13.30	1.9	0.273	0.0404 67	36.6	5.4	-134 47	0.6 3	10.6	16.0 3.2	-10.4 -54.8	29.5 0.038	43.0 0.052	21.0 0.0
2011-04-15.109	Mars	13.38	1.9	0.240	0.0424 62	36.8	5.4	-133 46	0.6 3	11.1	14.6 2.8	-12.0 -56.2	23.7 0.042	41.7 0.057	22.6 0.0
2011-04-15.110	Mars	13.42	1.8	0.240	0.0389 58	36.4	5.4	-132 46	0.6 3	11.3	15.0 6.0	-11.6 -53.4	29.0 0.044	42.1 0.052	20.5 0.0
2011-04-15.111	Mars	13.52	1.9	0.340	0.0424 59	36.7	5.3	-130 45	0.6 3	11.9	15.4 0.7	-11.5 -59.9	27.5 0.056	44.5 0.059	21.5 0.0
2011-04-15.112	Mars	13.57	1.7	0.349	0.0375 64	35.1	5.3	-129 44	0.6 3	-13.8	15.4 9.5	-11.7 -51.7	26.0 0.035	42.6 0.034	21.8 0.0
2011-04-15.113	Mars	13.63	1.9	0.348	0.0320 61	36.7	5.4	-129 44	0.6 3	12.4	14.2 2.8	-13.1 -59.2	30.0 0.036	44.6 0.043	20.9 0.0
2011-04-15.114	Mars	13.67	1.7	0.348	0.0353 57	35.0	5.4	-128 43	0.6 3	-13.8	15.0 11.6	-12.4 -51.0	27.8 0.038	44.0 0.050	21.4 0.0
2011-04-15.115	Mars	13.82	1.9	0.409	0.0274 96	36.8	5.4	-125 42	0.6 3	13.4	15.6 1.5	-12.4 -63.0	30.0 0.028	46.5 0.040	21.3 0.0
2011-04-15.116	J0112+227	13.93	1.9	0.365	0.0230 90	36.7	5.3	-110 60	1.2 23	5.5	13.0 1.1	-4.0 -44.7	0.248 4.5E-3	0.281 8.8E-3	18.2 0.3
2011-04-15.120	J0112+227	14.56	1.9	0.269	0.0237 87	36.6	5.5	-101 53	1.2 23	7.3	8.5 0.3	-12.4 -56.3	0.243 5.0E-3	0.256 6.1E-3	17.4 0.3
2011-04-15.121	J0112+227	14.65	1.8	0.280	0.0221 89	36.9	5.4	-100 52	1.2 23	7.5	10.9 1.2	-10.5 -56.8	0.258 4.4E-3	0.270 5.8E-3	17.5 0.3
2011-04-15.122	J0112+227	14.84	1.9	0.242	0.0249 87	36.8	5.4	-98 49	1.2 23	7.7	11.3 -1.8	-11.3 -62.9	0.253 4.9E-3	0.273 6.1E-3	18.4 0.3
2011-04-15.126	J0112+227	15.49	1.9	0.288	0.0229 95	36.7	6.0	-91 42	1.2 23	8.2	11.7 -1.2	-15.0 -72.1	0.232 4.1E-3	0.240 5.9E-3	17.0 0.3
2011-04-15.130	J0112+227	16.07	1.9	0.334	0.0219 97	36.7	7.0	-86 35	1.2 23	8.1	13.4 -1.2	-16.7 -79.9	0.266 5.0E-3	0.289 6.3E-3	17.8 0.3
2011-04-15.134	J0112+227	16.70	1.9	0.341	0.0214 93	36.8	8.0	-81 27	1.2 23	7.6	12.0 -3.6	-21.5 -89.6	0.228 4.9E-3	0.240 5.8E-3	17.6 0.4
2011-04-15.135	J0405-131	16.79	1.9	0.421	0.0245 93	36.8	7.3	-144 32	4.1 -13	-8.8	8.4 7.0	-25.4 -64.2	0.262 7.1E-3	0.287 7.9E-3	17.8 0.5
2011-04-15.136	J0920+447	16.96	1.8	0.390	0.0194 95	37.9	7.7	63 55	9.3 45	-86.3	-18.8 0.9	-55.3 -60.2	0.753 4.5E-3	0.846 8.8E-3	18.3 0.1
2011-04-15.140	J0920+447	17.46	1.9	0.378	0.0191 97	38.0	7.3	63 60	9.3 45	-91.4	-21.3 2.4	-55.7 -51.8	0.792 4.2E-3	0.870 6.9E-3	18.1 0.1
2011-04-15.144	J0920+447	18.04	1.9	0.503	0.0180 97	37.1	6.6	62 66	9.3 45	-98.7	-24.6 3.7	-56.3 -42.5	0.806 4.1E-3	0.855 6.5E-3	17.7 0.1
2011-04-15.148	J0920+447	18.65	1.9	0.487	0.0169 97	37.5	5.0	57 73	9.3 45	-109.4	-26.4 4.3	-54.6 -33.8	0.793 4.3E-3	0.818 6.1E-3	17.4 0.1
2011-04-15.152	J0920+447	19.36	1.9	0.455	0.0168 97	37.3	3.4	41 79	9.3 45	-132.9	-28.7 1.1	-51.6 -30.0	0.793 3.3E-3	0.774 5.7E-3	17.0 0.1
2011-04-15.153	J0948+004	19.57	1.9	0.518	0.0163 95	37.9	3.2	158 51	9.8 0	-17.2	1.5 13.6	-32.0 -36.7	0.335 3.8E-3	0.313 3.9E-3	16.8 0.2
2011-04-15.154	J0948+004	19.61	1.8	0.457	0.0164 96	37.4	3.2	159 51	9.8 0	-16.5	1.9 14.3	-31.4 -35.8	0.334 3.6E-3	0.320 3.9E-3	17.2 0.2
# Fri Apr 15 19:43:45 UTC 2011 - UT 14:36 pointing model changed
# Fri Apr 15 19:43:58 UTC 2011 - Reverted pointing model
2011-04-15.155	J0948+004	19.75	1.9	0.383	0.0174 92	37.2	3.1	162 52	9.8 0	-13.9	13.1 14.6	-19.5 -34.6	0.327 3.8E-3	0.323 6.2E-3	17.2 0.2
2011-04-15.156	1418+546	19.99	1.9	0.374	0.0176 95	36.7	2.8	45 38	14.3 54	-24.6	5.6 5.5	-34.6 -77.7	0.225 4.0E-3	0.230 4.9E-3	16.9 0.3
2011-04-15.157	J1033+609	20.11	1.9	0.424	0.0183 95	36.1	2.7	19 64	10.6 61	-82.6	-3.8 3.2	-31.0 -51.5	0.834 4.8E-3	0.857 6.8E-3	17.4 0.1
2011-04-15.161	1418+546	20.68	1.9	0.355	0.0180 97	36.7	2.0	47 44	14.3 54	-28.4	5.0 5.7	-33.9 -71.2	0.250 3.4E-3	0.258 6.2E-3	17.2 0.2
2011-04-15.162	J1033+609	20.74	1.9	0.360	0.0183 92	36.6	2.0	9 66	10.6 61	-91.4	-0.7 2.6	-25.2 -50.1	0.795 4.3E-3	0.877 6.8E-3	17.6 0.1
2011-04-15.166	1418+546	21.56	1.9	0.188	0.0197 96	36.6	1.7	47 51	14.3 54	-33.7	3.3 4.9	-33.1 -63.1	0.234 4.2E-3	0.231 4.9E-3	16.8 0.3
2011-04-15.167	J1033+609	21.63	1.9	0.232	0.0201 98	36.3	1.7	-7 66	10.6 61	75.4	-0.2 0.3	-21.8 -52.2	0.795 5.2E-3	0.881 7.0E-3	17.8 0.1
2011-04-15.171	1418+546	22.22	1.9	0.172	0.0205 97	36.2	2.1	45 57	14.3 54	-38.4	1.9 4.9	-32.2 -56.4	0.239 3.8E-3	0.245 6.1E-3	16.8 0.3
2011-04-15.172	J1033+609	22.29	1.9	0.210	0.0207 99	36.9	2.2	-18 64	10.6 61	66.2	0.7 -0.7	-20.1 -55.2	0.843 4.5E-3	0.946 7.5E-3	17.9 0.1
2011-04-15.176	1418+546	22.88	1.9	0.198	0.0184 97	36.7	2.2	41 62	14.3 54	-44.2	1.4 4.0	-29.8 -50.7	0.251 3.6E-3	0.247 5.1E-3	16.7 0.2
2011-04-15.177	J1033+609	22.96	1.9	0.147	0.0209 99	36.4	2.2	-26 61	10.6 61	58.1	1.5 -1.3	-19.6 -59.2	0.847 4.8E-3	0.877 6.4E-3	17.3 0.1
2011-04-15.181	1418+546	23.58	1.9	0.183	0.0177 98	36.6	2.5	33 68	14.3 54	-52.1	0.5 2.3	-27.2 -46.5	0.249 4.0E-3	0.259 5.6E-3	17.1 0.3
2011-04-15.182	J1033+609	23.66	1.9	0.155	0.0193 98	36.0	2.5	-32 57	10.6 61	51.0	2.7 -1.4	-19.7 -64.1	0.861 4.2E-3	0.887 6.2E-3	17.1 0.1
2011-04-16.2	1418+546	0.25	1.9	0.139	0.0176 99	36.0	2.6	20 71	14.3 54	-62.4	0.0 0.0	-23.7 -44.8	0.241 3.3E-3	0.246 4.5E-3	16.7 0.2
2011-04-16.3	J1033+609	0.32	1.9	0.174	0.0231 98	36.5	2.5	-36 53	10.6 61	45.3	3.6 -1.0	-20.8 -68.8	0.852 5.5E-3	0.855 7.3E-3	17.1 0.1
2011-04-16.7	1418+546	0.90	1.9	0.171	0.0175 97	36.0	2.3	2 73	14.3 54	-74.9	0.3 -2.3	-19.4 -45.6	0.231 3.4E-3	0.239 5.5E-3	17.1 0.3
2011-04-16.8	J1033+609	0.96	1.9	0.196	0.0195 98	36.1	2.3	-37 48	10.6 61	40.4	4.2 -0.4	-22.3 -73.5	0.886 4.8E-3	0.929 6.7E-3	17.3 0.1
2011-04-16.13	1418+546	1.63	1.9	0.219	0.0207 98	36.0	2.0	-18 71	14.3 54	90.9	2.3 -3.8	-14.4 -48.3	0.241 4.2E-3	0.250 5.9E-3	17.0 0.3
2011-04-16.14	J1033+609	1.69	1.9	0.201	0.0204 98	36.2	2.0	-38 43	10.6 61	35.5	4.2 0.8	-24.8 -78.1	0.864 5.1E-3	0.882 6.4E-3	17.2 0.1
2011-04-16.18	1418+546	2.26	1.9	0.132	0.0185 98	35.8	1.8	-31 68	14.3 54	81.0	2.5 -4.6	-13.8 -52.5	0.235 3.8E-3	0.253 5.5E-3	17.7 0.3
2011-04-16.19	J1033+609	2.32	1.9	0.132	0.0226 96	36.3	1.8	-37 38	10.6 61	31.6	5.5 0.7	-25.6 -83.0	0.824 5.0E-3	0.838 5.7E-3	17.3 0.1
2011-04-16.24	1418+546	3.06	1.9	0.136	0.0205 97	36.5	1.1	-41 63	14.3 54	71.7	4.8 -5.7	-13.5 -60.2	0.236 3.5E-3	0.235 5.0E-3	17.1 0.3
2011-04-16.25	J1033+609	3.11	1.9	0.152	0.0216 97	36.0	1.0	-35 32	10.6 61	26.9	5.8 0.9	-27.9 -88.2	0.858 4.8E-3	0.907 7.0E-3	17.4 0.1
2011-04-16.29	1418+546	3.68	1.9	0.150	0.0222 98	36.2	1.0	-45 57	14.3 54	66.2	4.8 -6.2	-15.9 -66.9	0.233 4.4E-3	0.231 5.2E-3	17.1 0.3
2011-04-16.30	J1033+609	3.74	1.9	0.115	0.0213 97	36.6	1.1	-33 28	10.6 61	23.3	6.9 1.1	-28.4 -91.7	0.807 4.5E-3	0.854 6.7E-3	17.3 0.1
2011-04-16.34	1418+546	4.32	1.9	0.133	0.0233 99	36.7	0.9	-47 52	14.3 54	61.6	6.3 -5.3	-17.2 -72.6	0.246 3.7E-3	0.244 5.1E-3	16.9 0.3
2011-04-16.35	J1033+609	4.37	1.9	0.165	0.0287 97	36.5	1.0	-31 24	10.6 61	19.7	7.3 0.9	-29.5 -95.1	0.822 5.8E-3	0.852 8.5E-3	17.0 0.1
2011-04-16.39	1418+546	4.94	1.9	0.117	0.0206 98	36.1	1.5	-47 46	14.3 54	57.7	7.8 -5.1	-18.5 -78.6	0.261 3.4E-3	0.260 5.6E-3	17.1 0.2
2011-04-16.40	J1033+609	5.00	1.9	0.135	0.0196 97	36.5	1.5	-28 20	10.6 61	16.1	8.4 0.7	-29.7 -98.0	0.773 4.1E-3	0.853 6.9E-3	17.3 0.1
2011-04-16.44	1418+546	5.56	1.9	0.143	0.0203 99	36.0	1.4	-46 41	14.3 54	54.2	9.7 -3.3	-19.3 -82.8	0.265 4.3E-3	0.264 4.9E-3	16.9 0.3
2011-04-16.46	J1734+390	5.70	1.9	0.126	0.0222 97	36.2	1.3	-77 72	17.6 39	72.8	7.5 -9.0	-1.9 -44.2	0.748 4.2E-3	0.840 6.8E-3	17.9 0.1
2011-04-16.54	J1734+390	6.86	1.9	0.097	0.0220 51	36.2	2.7	-74 59	17.6 39	68.6	7.5 -3.1	-10.0 -57.2	0.795 4.7E-3	0.805 8.9E-3	17.9 0.1
2011-04-16.56	J1734+390	7.13	1.9	0.114	0.0217 99	36.2	3.5	-73 56	17.6 39	67.8	7.4 -2.3	-12.0 -60.5	0.818 5.3E-3	0.829 7.0E-3	17.3 0.1
2011-04-16.58	J1734+390	7.36	1.9	0.168	0.0211 94	36.5	3.4	-72 53	17.6 39	67.1	8.2 -1.8	-12.7 -63.5	0.770 5.2E-3	0.845 7.3E-3	17.9 0.1
2011-04-16.62	J1734+390	7.93	1.9	0.120	0.0192 99	36.4	4.0	-70 47	17.6 39	65.3	9.0 -0.1	-15.5 -69.8	0.731 4.4E-3	0.822 6.6E-3	18.2 0.1
2011-04-16.66	J1801+441	9.35	1.9	0.171	0.0257 80	37.5	3.3	-59 38	18.0 44	66.8	6.7 -1.7	-22.9 -82.7	0.198 5.7E-3	0.240 8.9E-3	17.8 0.5
2011-04-16.67	J1801+441	9.45	1.9	0.129	0.0237 82	36.3	3.4	-58 37	18.0 44	66.4	5.7 -2.0	-24.5 -84.1	0.194 6.1E-3	0.248 1.0E-2	18.4 0.6
# Sat Apr 16 09:41:14 UTC 2011 - UT 09:00 Added metal strips alongside ellipsoidal mirror
2011-04-16.68	2216-038	9.70	1.9	0.148	0.0241 71	36.7	4.3	-163 48	22.3 -4	20.7	12.4 11.0	-16.8 -42.6	0.301 6.4E-3	0.332 9.8E-3	18.5 0.4
2011-04-16.72	2216-038	10.31	1.9	0.221	0.0204 99	36.3	3.9	-150 45	22.3 -4	25.5	13.0 6.0	-15.9 -51.8	0.357 4.3E-3	0.394 5.7E-3	18.0 0.2
# Sat Apr 16 10:35:33 UTC 2011 - Ran out of 4He in Scan 74
#2011-04-16.75	Mars	13.35	1.9	0.699	0.2018 61	37.1	5.0	-133 46	0.7 4	10.6	14.3 0.6	-12.0 -57.9	27.9 0.38	73.1 2.6	29.2 0.3
# Sat Apr 16 13:24:34 UTC 2011 - Crush autorun set to BRIGHT for scan 76+
# Sat Apr 16 13:30:26 UTC 2011 - Scans 76,77 not processed by crush correctly due to bad command line
2011-04-16.80	Mars	13.55	1.7	0.377	0.0778 50	35.1	5.1	-129 45	0.7 4	-14.9	10.0 10.5	-17.0 -50.6	28.4 0.069	41.3 0.10	20.7 0.0
# Sat Apr 16 13:45:57 UTC 2011 - retuned before scan 81
2011-04-16.81	Mars	13.77	1.9	0.215	0.5557 86	36.3	6.1	-126 42	0.7 4	12.8	10.1 -4.4	-17.6 -68.2	8.35 0.81	158 5.2	56.3 4.0
2011-04-16.82	Mars	13.82	1.9	0.297	0.0702 94	35.9	6.2	-125 42	0.7 4	13.0	12.6 7.0	-15.3 -57.4	20.7 0.067	36.7 0.060	23.1 0.1
2011-04-16.83	Mars	13.85	1.9	0.297	0.0852 92	36.0	6.5	-124 42	0.7 4	13.2	8.8 0.5	-19.2 -64.3	19.2 0.16	52.9 0.80	28.0 0.2
2011-04-16.84	Mars	13.90	1.9	0.250	0.1948 80	36.0	6.6	-124 41	0.7 4	13.4	12.8 0.6	-15.3 -64.9	11.1 0.29	15.6 0.19	19.6 0.5
# Sat Apr 16 13:57:48 UTC 2011 - Crush having problems - perhaps with writing FITS? 
# Sat Apr 16 13:58:12 UTC 2011 - Crush having problems: NullPtr AstroImage:483
# Sat Apr 16 14:21:01 UTC 2011 - IV curve shows most pixels saturated - then many came back - weather?
2011-04-16.87	J0237+288	14.38	1.9	0.221	0.0296 58	36.5	7.1	-115 74	2.6 29	-4.9	4.2 2.1	-5.2 -24.1	0.937 9.6E-3	1.13 0.020	19.2 0.2
2011-04-16.88	J0237+288	14.51	1.9	0.728	0.0318 96	36.3	6.5	-112 72	2.6 29	-4.0	6.8 2.9	-3.2 -25.8	1.02 0.011	1.18 0.011	18.3 0.2
2011-04-16.89	J0423-013	14.71	1.9	0.624	0.1689 83	36.6	6.8	173 51	4.4 -1	-27.7	2.6 13.5	-28.5 -35.7	0.386 0.051	0.394 0.042	14.8 1.9
2011-04-16.90	J0423-013	14.77	1.9	1.133	0.0382 91	35.9	6.9	174 51	4.4 -1	-27.3	9.0 18.3	-21.9 -30.8	1.97 0.016	2.59 0.025	19.6 0.2
2011-04-16.91	J0423-013	14.83	1.9	0.172	0.0524 94	36.5	6.8	176 52	4.4 -1	-26.7	7.0 12.8	-23.7 -36.3	1.10 0.015	1.34 0.019	18.7 0.2
2011-04-16.102	J0423-013	15.29	1.9	0.393	0.0557 92	35.9	5.1	-173 51	4.4 -1	-22.2	8.2 12.6	-20.9 -36.7	1.33 0.013	1.55 0.019	18.2 0.2
2011-04-16.103	J0423-013	15.32	1.7	0.540	0.0969 89	35.2	5.1	-172 51	4.4 -1	-50.1	1.9 17.1	-27.1 -32.3	1.04 0.022	1.12 0.023	17.7 0.4
# Sat Apr 16 15:28:18 UTC 2011 - More crush failures - small number of pixels probably
# Sat Apr 16 15:49:02 UTC 2011 - Relocked detectors
2011-04-16.116	J0423-013	15.89	1.9	1.382	0.0524 51	36.2	5.4	-159 50	4.4 -1	-16.7	10.2 10.9	-17.7 -41.1	2.27 0.026	2.30 0.031	17.0 0.2
2011-04-16.117	J0423-013	15.94	1.8	1.067	0.0782 52	35.8	6.0	-158 49	4.4 -1	-16.2	5.9 14.5	-21.9 -37.9	1.59 0.032	1.86 0.040	17.8 0.3
2011-04-16.128	J0423-013	16.43	1.9	0.527	0.1060 64	36.7	7.5	-148 47	4.4 -1	-12.3	9.2 8.2	-18.6 -48.1	0.996 0.019	0.926 0.021	16.8 0.3
2011-04-16.129	J0423-013	16.47	1.9	0.230	0.0796 64	35.8	7.7	-147 46	4.4 -1	-12.1	10.3 5.0	-17.5 -51.6	0.983 0.015	1.06 0.022	17.0 0.3
2011-04-16.140	J0423-013	16.96	1.9	0.661	0.1344 47	36.3	5.8	-138 43	4.4 -1	-8.8	4.5 143.3	-24.1 81.7	1.94 0.081	2.24 0.33	16.2 0.7
# Sat Apr 16 17:29:06 UTC 2011 - Closing Shutter to enable noise measurements.
# Sat Apr 16 18:23:26 UTC 2011 - Taking shutter-closed IVs and noise data
# Sat Apr 16 18:25:52 UTC 2011 - 11-04-16_18_20_45.fits - telescope stationary shut clsd
# Sat Apr 16 18:29:34 UTC 2011 - 11-04-16_18_25_37.fits - telescope stationary shut clsd
# Sat Apr 16 18:36:41 UTC 2011 - 11-04-16_18_33_36.fits - telescope moving shut clsd
# Sat Apr 16 18:41:13 UTC 2011 - 11-04-16_18_37_17.fits - telescope moving shut clsd
2011-04-16.145	3C84	18.97	9.3	0.225	0.0334 86	37.9	3.0	-60 33	3.3 42	-6.0	4.7 0.3	-26.8 -84.4	5.17 8.3E-3	7.18 9.8E-3	18.8 0.0
2011-04-16.146	3C84	19.14	9.3	0.216	0.0319 76	37.8	3.0	-59 32	3.3 42	-6.7	3.5 0.7	-28.8 -85.7	5.12 0.011	7.61 0.012	17.9 0.0
2011-04-16.147	3C84	19.31	9.1	0.201	0.0307 80	37.5	2.8	-58 30	3.3 42	-79.6	2.8 13.2	-30.3 -74.8	4.61 9.6E-3	7.26 0.011	18.4 0.0
2011-04-16.148	1418+546	19.58	1.9	0.270	0.0200 97	36.2	2.7	44 35	14.3 54	-22.8	4.6 5.1	-36.2 -81.0	0.225 3.6E-3	0.221 5.8E-3	16.6 0.3
