# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.35	J0958+656	4.38	1.9	0.170	0.0173 95	37.8	2.9	-24 24	10.0 66	51.9	0.4 -5.4	-37.9 -82.6	1.36 9.1E-3	1.47 6.4E-3	17.5 0.1
2011-04-15.39	J1504+105	4.98	1.9	0.188	0.0187 92	38.0	2.9	-109 39	15.1 10	50.2	-5.3 1.7	-43.9 -59.4	0.625 5.1E-3	0.641 5.9E-3	17.3 0.1
2011-04-15.40	J1405+043	5.03	1.8	0.176	0.0200 91	37.9	2.8	-103 23	14.1 4	51.2	-12.9 7.6	-54.4 -66.2	0.106 8.3E-3	0.0969 4.8E-3	15.8 1.2
2011-04-15.43	J1504+105	5.29	1.9	0.198	0.0192 95	37.9	2.5	-105 36	15.1 10	51.6	-5.9 1.1	-44.9 -63.7	0.634 4.7E-3	0.669 6.2E-3	17.6 0.1
2011-04-15.44	J1357+193	5.34	1.9	0.196	0.0184 96	38.2	2.5	-85 27	14.0 19	57.4	-9.1 -2.7	-49.3 -74.7	0.358 6.0E-3	0.349 5.5E-3	16.8 0.3
2011-04-15.45	1413+135	5.38	1.9	0.188	0.0180 96	38.4	2.5	-93 27	14.3 13	54.9	-8.6 -1.9	-49.0 -74.0	0.311 6.4E-3	0.334 7.4E-3	17.4 0.3
2011-04-15.47	2136+141	5.68	1.9	0.168	0.0156 98	38.3	2.5	112 48	21.7 14	-49.9	5.2 7.0	-30.9 -50.5	0.340 3.9E-3	0.328 4.1E-3	17.0 0.2
2011-04-15.51	2136+141	6.27	1.9	0.141	0.0147 99	37.9	2.5	121 54	21.7 14	-44.8	5.0 4.4	-28.1 -42.8	0.356 3.6E-3	0.347 3.9E-3	17.1 0.2
2011-04-15.55	2136+141	6.84	1.9	0.208	0.0150 99	37.9	2.7	133 60	21.7 14	-37.2	4.2 3.1	-24.9 -35.1	0.354 4.0E-3	0.357 4.0E-3	17.3 0.2
# Fri Apr 15 07:13:41 UTC 2011 - IRAM alarm for network; look for possible dropouts
2011-04-15.59	2136+141	7.42	1.9	0.182	0.0148 98	37.6	3.0	148 64	21.7 14	-25.7	5.0 2.3	-19.1 -28.8	0.343 3.6E-3	0.367 5.6E-3	17.8 0.2
2011-04-15.63	2230+114	8.26	1.9	0.138	0.0151 98	37.7	3.4	149 62	22.5 12	-24.8	3.8 1.8	-19.2 -29.2	0.656 3.7E-3	0.739 6.2E-3	18.2 0.1
# Fri Apr 15 08:19:40 UTC 2011 - starting pointing
2011-04-15.64	2318+049	8.31	1.9	0.155	0.0155 98	37.6	3.4	137 51	23.3 5	-32.9	6.1 2.2	-23.9 -39.0	0.223 3.1E-3	0.215 3.2E-3	16.9 0.2
#2011-04-15.65	2251+158	8.41	1.9	0.148	0.0252 63	37.4	3.4	139 64	22.9 16	-33.3	13.6 -5.2	-9.5 -32.3	1.22 0.014	2.72 0.027	23.9 0.2
2011-04-15.66	2234+282	8.46	1.9	0.139	0.0164 97	38.0	3.5	126 77	22.6 28	-47.4	2.7 -0.0	-16.0 -12.6	0.552 3.7E-3	0.600 5.3E-3	17.8 0.1
2011-04-15.67	J2321+275	8.60	1.9	0.142	0.0169 99	37.8	3.6	111 70	23.4 28	-57.0	1.9 -0.0	-23.5 -20.3	0.192 3.9E-3	0.198 3.6E-3	17.0 0.3
2011-04-15.68	J2301+374	8.66	1.9	0.172	0.0171 99	37.7	3.6	83 78	23.0 37	-87.3	-0.9 -0.9	-27.6 -14.7	0.103 4.3E-3	0.0900 3.3E-3	15.1 0.6
2011-04-15.69	J2225-050	8.75	1.9	0.152	0.0163 97	37.7	3.6	172 48	22.4 -5	-6.3	4.3 1.6	-21.1 -44.6	0.991 4.8E-3	1.11 5.5E-3	18.3 0.1
2011-04-15.70	Mars	8.82	1.9	0.170	0.0248 97	38.0	3.6	125 42	0.6 3	-40.6	4.6 -2.3	-30.1 -48.9	35.2 0.030	46.5 0.041	20.0 0.0
2011-04-15.71	J0050-095	8.86	1.9	0.142	0.0162 97	37.6	3.7	133 30	0.8 -9	-36.3	9.8 0.1	-27.6 -54.9	0.340 5.2E-3	0.348 5.3E-3	17.2 0.3
2011-04-15.72	0235+164	8.93	1.9	0.141	0.0180 97	38.0	3.8	90 29	2.6 17	-56.4	7.8 -7.7	-34.8 -65.6	0.679 6.0E-3	0.750 6.0E-3	17.7 0.2
2011-04-15.73	Mercury	8.99	1.9	0.136	0.0532 92	38.0	3.8	120 43	0.9 7	-43.9	4.7 -5.5	-30.2 -50.1	174 0.10	256 0.26	21.2 0.0
2011-04-15.74	J0010+110	9.03	1.9	0.130	0.0157 99	37.8	3.8	130 54	0.2 11	-38.8	1.4 -2.2	-27.3 -36.7	0.113 3.5E-3	0.100 3.2E-3	16.2 0.5
2011-04-15.75	J2321+275	9.08	1.9	0.221	0.0161 99	38.1	3.8	124 75	23.4 28	-48.4	1.8 -1.9	-17.9 -14.4	0.201 4.7E-3	0.217 5.4E-3	17.7 0.4
2011-04-15.76	J2253+161	9.14	1.9	0.197	0.0255 62	37.6	3.9	163 68	22.9 16	-14.1	4.8 -7.5	-9.3 -30.0	1.20 0.019	2.98 0.031	25.4 0.3
