# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2013-10-23.6	Mars	test	9.08	1.7	0.883	0.0981 50	22.0	4.4	-2.00	-163 63	10.5 11	14.1	-24.1 11.1	-0.4 -58.8	33.7 0.32	74.5 1.5	26.3 0.2
2013-10-23.7	Mars	test	9.12	0.8	0.883	0.0352 52	39.7	4.4	-2.00	-162 63	10.5 11	14.8	-24.9 11.7	-0.9 -58.7	13.5 0.066	31.9 0.26	20.0 0.1
2013-10-23.8	Mars	test	9.18	1.6	1.142	0.2041 49	22.0	4.6	-2.00	-160 63	10.5 11	16.4	-23.0 10.0	1.3 -61.1	39.4 0.32	26.7 0.18	32.9 0.2
2013-10-23.9	Mars	test	9.21	1.1	0.832	0.1005 48	39.7	4.6	-2.00	-159 63	10.5 11	17.1	-21.9 11.0	2.6 -60.6	22.1 0.58	25.0 2.0	33.8 0.7
# Wed Oct 23 09:24:36 UTC 2013 - I'm running tests using old skydips - there'll be errant log entries - SFM
# Wed Oct 23 09:27:52 UTC 2013 - IH: Bad weather conditions. Testing the new lissajous and on-the-fly scripts
2013-10-23.11	Mars	test	9.45	1.1	0.861	0.0650 46	13.2	5.1	-2.00	-152 61	10.5 11	22.8	-21.0 8.9	5.0 -66.0	23.0 0.075	24.2 0.11	15.3 0.1
2013-10-23.12	Mars	test	9.48	0.6	0.861	0.0352 52	26.5	5.0	-2.00	-151 61	10.5 11	23.1	-24.0 9.5	2.1 -65.7	28.1 0.039	31.5 0.28	16.9 0.0
2013-10-23.13	Mars	test	9.56	1.7	0.872	0.0238 54	44.1	4.9	-2.00	-149 61	10.5 11	25.2	-23.6 11.1	2.9 -65.4	31.5 0.035	40.4 0.32	19.0 0.0
2013-10-23.14	Mars	test	9.61	1.6	0.872	0.0197 57	39.7	4.9	-2.00	-148 61	10.5 11	26.2	-22.9 12.1	3.8 -65.1	31.0 0.028	40.7 0.19	18.6 0.0
2013-10-23.15	Mars	test	9.65	1.6	0.842	0.0313 60	39.7	4.9	-2.00	-147 60	10.5 11	26.9	-21.2 10.7	5.7 -66.9	23.7 0.034	50.8 2.0	19.7 0.0
2013-10-23.16	Mars	test	9.71	3.2	0.809	0.0282 56	26.5	5.1	-2.00	-145 60	10.5 11	28.4	-21.9 10.6	5.2 -68.0	35.2 0.020	39.1 0.15	18.2 0.0
2013-10-23.17	Mars	test	9.77	1.4	0.809	0.0177 59	66.1	5.1	-2.00	-143 59	10.5 11	29.3	-23.5 10.0	3.9 -69.4	29.4 0.036	104 0.52	19.6 0.0
2013-10-23.21	Mars	test	10.43	1.0	0.797	0.0664 61	35.4	5.7	2.00	-129 54	10.5 11	39.5	-9.8 7.5	19.8 -81.1	2.94 0.18	27.0 2.2	60.7 2.7
2013-10-23.22	Mars	test	10.45	1.0	0.797	0.0546 65	37.3	5.6	1.40	-128 54	10.5 11	39.8	-17.7 10.7	7.4 -78.0	3.71 0.15	30.6 0.46	57.0 1.8
