# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-17.20	Mars	test	21.37	2.0	0.092	0.0513 97	37.4	-3.6	-2.80	-164 65	10.4 13	13.3	2.5 -1.4	15.6 -46.8	198 0.16	317 0.43	23.5 0.0
2012-04-17.21	Mars	test	21.41	1.8	0.122	0.0526 96	38.1	-3.2	-0.80	-163 65	10.4 13	14.6	0.5 3.9	14.0 -43.0	172 0.14	312 0.18	25.1 0.0
2012-04-17.22	Mars	test	21.46	2.0	0.117	0.0499 97	37.3	-2.2	-1.30	-161 64	10.4 13	15.8	-1.5 6.7	12.2 -43.0	212 0.14	309 0.15	22.4 0.0
2012-04-17.23	Mars	test	21.51	2.0	0.130	0.0502 97	37.8	-2.0	-2.30	-159 64	10.4 13	17.1	2.2 6.1	16.2 -44.8	228 0.18	312 0.85	21.6 0.0
# Tue Apr 17 21:34:46 UTC 2012 - Mars scans 22/23 at FOC -1.3/-2.3; Final -1.9.  (DjB)
2012-04-17.24	Hydra-A	233-11	21.59	2.0	0.130	0.0146 97	37.3	-1.8	-1.90	-147 35	9.3 -12	26.5	0.6 1.3	13.0 -75.4	0.166 2.1E-3	0.228 3.7E-3	21.4 0.3
2012-04-17.25	Hydra-A	233-11	21.66	1.9	0.151	0.0196 101	37.9	-1.7	-1.90	-146 34	9.3 -12	27.4	2.0 4.2	14.4 -73.3	0.169 3.1E-3	0.233 5.1E-3	21.7 0.4
2012-04-17.27	0823+033	233-11	21.82	0.8	0.140	0.0119 99	38.2	-1.4	-1.90	-120 37	8.4 3	44.1	2.4 1.9	16.3 -84.2	0.306 2.7E-3	0.280 3.9E-3	17.8 0.2
# Tue Apr 17 22:16:32 UTC 2012 - Scan 28 had some weird lurch in signal & pixels disappeared.  Killed.  (DjB)
# Tue Apr 17 22:39:15 UTC 2012 - Doing checks for #31 and #32 at 2min each. Should be coaddable.  (DjB)
