  00:00:00  2014-4-01  0.2508  0.0254
  00:04:15  2014-4-01  0.2998  0.0284
  00:08:30  2014-4-01  0.2482  0.0364
  00:12:45  2014-4-01  0.3431  0.0119
  00:17:00  2014-4-01  0.3892  0.0200
  00:21:14  2014-4-01  0.3961  0.0301
  00:25:29  2014-4-01  0.3953  0.0176
  00:29:44  2014-4-01  0.3812  0.0265
  00:33:59  2014-4-01  0.3709  0.0204
  00:38:14  2014-4-01  0.3907  0.0280
  00:42:29  2014-4-01  0.4064  0.0212
  00:46:44  2014-4-01  0.4469  0.0145
  00:50:58  2014-4-01  0.4761  0.0122
  00:55:13  2014-4-01  0.4467  0.0314
  00:59:28  2014-4-01  0.3660  0.0250
  01:03:43  2014-4-01  0.3944  0.0222
  01:07:58  2014-4-01  0.3900  0.0154
  01:12:13  2014-4-01  0.4389  0.0189
  01:16:28  2014-4-01  0.4164  0.0452
  01:20:42  2014-4-01  0.4295  0.0313
  01:24:57  2014-4-01  0.4949  0.0191
  01:29:12  2014-4-01  0.5431  0.0238
  01:33:27  2014-4-01  0.5366  0.0486
  01:37:42  2014-4-01  0.4760  0.0155
  01:41:57  2014-4-01  0.4443  0.0213
  01:46:12  2014-4-01  0.4605  0.0548
  01:50:26  2014-4-01  0.5101  0.0242
  01:54:41  2014-4-01  0.4852  0.0195
  01:58:56  2014-4-01  0.5147  0.0334
  02:03:11  2014-4-01  0.5828  0.0192
  02:07:26  2014-4-01  0.5903  0.0187
  02:11:41  2014-4-01  0.6824  0.0208
  02:15:56  2014-4-01  0.6290  0.0187
  02:20:10  2014-4-01  0.6533  0.0280
  02:24:25  2014-4-01  0.8141  0.4672
  02:28:40  2014-4-01  0.6104  0.0273
  02:32:55  2014-4-01  0.6507  0.0412
  02:37:10  2014-4-01  0.5074  0.0218
  02:41:25  2014-4-01  0.5885  0.0132
  02:45:40  2014-4-01  0.5862  0.0091
  02:49:55  2014-4-01  0.5473  0.0181
  02:54:09  2014-4-01  0.5992  0.0200
  02:58:24  2014-4-01  0.6064  0.0601
  03:02:39  2014-4-01  0.4576  0.0170
  03:06:54  2014-4-01  0.4069  0.0244
  03:11:09  2014-4-01  0.4323  0.0250
  03:15:24  2014-4-01  0.4175  0.0216
