JCMT-183-GHz 2014-09-13
14:38:38.0 0.3829
14:38:37.0 0.3808
14:38:35.0 0.3788
14:38:34.0 0.3767
14:38:32.0 0.5084
14:38:30.0 0.5071
14:38:29.0 0.5067
14:38:28.0 0.5066
14:38:26.0 0.3247
14:38:25.0 0.3249
14:38:23.0 0.3251
14:38:22.0 0.3252
14:38:20.0 0.2194
14:38:19.0 0.2196
14:38:17.0 0.2198
14:38:16.0 0.2201
14:38:14.0 0.0774
14:38:12.0 0.0773
14:38:11.0 0.0772
14:38:10.0 0.0772
14:38:08.0 0.0754
14:38:07.0 0.0754
14:38:05.0 0.0754
14:38:03.0 0.0753
14:38:00.0 0.0758
14:37:59.0 0.0755
14:37:57.0 0.0754
14:37:56.0 0.0736
14:37:54.0 0.0738
14:37:53.0 0.0740
14:37:50.0 0.0739
14:37:48.0 0.0741
14:37:47.0 0.0742
14:37:46.0 0.0742
14:37:44.0 0.0751
14:37:43.0 0.0751
14:37:41.0 0.0751
14:37:40.0 0.0751
14:37:38.0 0.0752
14:37:36.0 0.0752
14:37:35.0 0.0753
14:37:34.0 0.0755
14:37:31.0 0.0753
14:37:29.0 0.0756
14:37:26.0 0.0747
14:37:24.0 0.0740
14:37:21.0 0.0731
14:37:20.0 0.0737
14:37:18.0 0.0733
14:37:17.0 0.0730
14:37:14.0 0.0720
14:37:12.0 0.0723
14:37:11.0 0.0726
14:37:10.0 0.0727
14:37:08.0 0.0734
14:37:07.0 0.0735
14:37:05.0 0.0739
14:37:02.0 0.0741
14:37:01.0 0.0737
14:36:59.0 0.0732
14:36:58.0 0.0726
14:36:56.0 0.0709
14:36:54.0 0.0709
14:36:51.0 0.0707
14:36:49.0 0.0707
14:36:47.0 0.0707
14:36:44.0 0.0717
14:36:43.0 0.0722
14:36:41.0 0.0726
14:36:40.0 0.0732
14:36:38.0 0.0730
14:36:36.0 0.0732
14:36:35.0 0.0734
14:36:34.0 0.0737
14:36:31.0 0.0726
14:36:29.0 0.0726
14:36:27.0 0.0727
14:36:24.0 0.0729
14:36:23.0 0.0732
14:36:21.0 0.0737
14:36:19.0 0.0747
14:36:17.0 0.0754
14:36:16.0 0.0765
14:36:14.0 0.0757
14:36:12.0 0.0756
14:36:11.0 0.0754
14:36:10.0 0.0752
14:36:07.0 0.0722
14:36:05.0 0.0721
14:36:02.0 0.0725
14:36:01.0 0.0722
14:35:59.0 0.0719
14:35:56.0 0.0723
14:35:54.0 0.0722
14:35:53.0 0.0722
14:35:52.0 0.0724
14:35:49.0 0.0723
14:35:47.0 0.0725
14:35:46.0 0.0731
14:35:44.0 0.0709
14:35:42.0 0.0711
14:35:41.0 0.0717
14:35:38.0 0.0735
14:35:36.0 0.0738
14:35:35.0 0.0742
14:35:34.0 0.0750
14:35:32.0 0.0722
14:35:31.0 0.0721
14:35:29.0 0.0719
14:35:28.0 0.0718
14:35:26.0 0.0713
14:35:24.0 0.0715
14:35:23.0 0.0717
14:35:22.0 0.0718
14:35:20.0 0.0724
14:35:19.0 0.0724
14:35:17.0 0.0725
14:35:16.0 0.0728
14:35:14.0 0.0716
14:35:12.0 0.0712
