JCMT-183-GHz 2014-09-11
23:49:38.0 0.5469
23:49:36.0 0.5468
23:49:35.0 0.5466
23:49:33.0 0.5463
23:49:32.0 0.5203
23:49:30.0 0.5206
23:49:29.0 0.5211
23:49:27.0 0.5218
23:49:26.0 0.5116
23:49:24.0 0.5115
23:49:23.0 0.5114
23:49:21.0 0.5115
23:49:20.0 0.4590
23:49:18.0 0.4590
23:49:17.0 0.4588
23:49:15.0 0.4583
23:49:14.0 0.3397
23:49:12.0 0.3400
23:49:11.0 0.3403
23:49:09.0 0.3408
23:49:07.0 0.1748
23:49:06.0 0.1750
23:49:03.0 0.0974
23:49:00.0 0.0974
23:48:58.0 0.0974
23:48:57.0 0.0961
23:48:54.0 0.0960
23:48:53.0 0.0959
23:48:51.0 0.0960
23:48:50.0 0.0951
23:48:48.0 0.0950
23:48:47.0 0.0949
23:48:45.0 0.0948
23:48:44.0 0.0952
23:48:42.0 0.0956
23:48:41.0 0.0958
23:48:39.0 0.0960
23:48:38.0 0.0959
23:48:36.0 0.0964
23:48:35.0 0.0972
23:48:34.0 0.0985
23:48:32.0 0.0966
23:48:31.0 0.0962
23:48:29.0 0.0955
23:48:26.0 0.0959
23:48:24.0 0.0956
23:48:23.0 0.0953
23:48:21.0 0.0946
23:48:20.0 0.0954
23:48:18.0 0.0957
23:48:17.0 0.0962
23:48:16.0 0.0968
23:48:14.0 0.0974
23:48:11.0 0.0977
23:48:09.0 0.0983
23:48:08.0 0.0979
23:48:06.0 0.0976
23:48:05.0 0.0973
23:48:04.0 0.0969
23:48:02.0 0.0952
23:48:00.0 0.0952
23:47:59.0 0.0953
23:47:57.0 0.0955
23:47:56.0 0.0967
23:47:54.0 0.0966
23:47:53.0 0.0965
23:47:52.0 0.0964
23:47:50.0 0.0958
23:47:49.0 0.0957
23:47:45.0 0.0953
23:47:44.0 0.0972
23:47:42.0 0.0972
23:47:41.0 0.0972
23:47:39.0 0.0971
23:47:38.0 0.0969
23:47:36.0 0.0970
23:47:35.0 0.0971
23:47:33.0 0.0972
23:47:32.0 0.1002
23:47:30.0 0.1003
23:47:29.0 0.1005
23:47:27.0 0.1010
23:47:26.0 0.1013
23:47:24.0 0.1012
23:47:23.0 0.1011
23:47:21.0 0.1011
23:47:19.0 0.1000
23:47:17.0 0.0997
23:47:14.0 0.1019
23:47:12.0 0.1018
23:47:11.0 0.1018
23:47:09.0 0.1020
23:47:07.0 0.1036
23:47:06.0 0.1044
23:47:03.0 0.1056
23:47:02.0 0.1044
23:47:00.0 0.1044
23:46:59.0 0.1042
23:46:57.0 0.1038
23:46:56.0 0.1028
23:46:54.0 0.1029
23:46:53.0 0.1030
23:46:51.0 0.1029
23:46:50.0 0.1066
23:46:48.0 0.1066
23:46:47.0 0.1066
23:46:45.0 0.1066
23:46:44.0 0.1062
23:46:42.0 0.1059
23:46:41.0 0.1053
23:46:39.0 0.1043
23:46:38.0 0.1074
23:46:36.0 0.1072
23:46:35.0 0.1069
23:46:34.0 0.1064
23:46:32.0 0.1083
23:46:30.0 0.1083
23:46:29.0 0.1086
23:46:27.0 0.1090
23:46:26.0 0.1079
23:46:24.0 0.1078
23:46:23.0 0.1077
23:46:21.0 0.1077
23:46:20.0 0.1075
23:46:17.0 0.1073
23:46:15.0 0.1071
23:46:14.0 0.1054
23:46:12.0 0.1054
23:46:11.0 0.1055
23:46:09.0 0.1055
23:46:08.0 0.1054
23:46:06.0 0.1061
23:46:04.0 0.1071
23:46:02.0 0.1058
23:46:00.0 0.1055
23:45:59.0 0.1050
23:45:58.0 0.1043
23:45:56.0 0.2056
23:45:55.0 0.2057
23:45:53.0 0.2059
23:45:52.0 0.2062
23:45:50.0 0.3559
23:45:48.0 0.3556
23:45:47.0 0.3551
23:45:45.0 0.3540
23:45:44.0 0.4796
23:45:42.0 0.4797
23:45:41.0 0.4801
23:45:39.0 0.4808
23:45:38.0 0.5964
23:45:36.0 0.5959
23:45:35.0 0.5955
23:45:33.0 0.5949
19:56:20.0 0.5762
19:56:18.0 0.5759
19:56:17.0 0.5756
19:56:15.0 0.5752
19:56:14.0 0.5868
19:56:12.0 0.5864
19:56:11.0 0.5858
19:56:09.0 0.5849
19:56:08.0 0.5803
19:56:06.0 0.5804
19:56:05.0 0.5806
19:56:03.0 0.5808
19:56:02.0 0.5020
19:56:00.0 0.5019
19:55:59.0 0.5018
19:55:58.0 0.5017
19:55:56.0 0.3731
19:55:54.0 0.3735
19:55:53.0 0.3739
19:55:50.0 0.1356
19:55:48.0 0.1356
19:55:47.0 0.1356
19:55:45.0 0.1357
19:55:44.0 0.0898
19:55:42.0 0.0905
19:55:41.0 0.0913
19:55:40.0 0.0922
19:55:38.0 0.0925
19:55:36.0 0.0924
19:55:35.0 0.0921
19:55:33.0 0.0917
19:55:31.0 0.0900
19:55:30.0 0.0893
19:55:28.0 0.0884
19:55:27.0 0.0878
19:55:24.0 0.0877
19:55:23.0 0.0876
19:55:21.0 0.0875
19:55:20.0 0.0884
19:55:18.0 0.0883
19:55:15.0 0.0884
19:55:14.0 0.0872
19:55:12.0 0.0863
19:55:10.0 0.0853
19:55:08.0 0.0845
19:55:06.0 0.0849
19:55:05.0 0.0854
19:55:03.0 0.0860
19:55:02.0 0.0860
19:55:00.0 0.0865
19:54:59.0 0.0871
19:54:57.0 0.0878
19:54:56.0 0.0881
19:54:54.0 0.0879
19:54:52.0 0.0877
19:54:50.0 0.0856
19:54:48.0 0.0858
19:54:47.0 0.0859
19:54:46.0 0.0861
19:54:44.0 0.0883
19:54:42.0 0.0885
19:54:39.0 0.0890
19:54:38.0 0.0880
19:54:35.0 0.0880
19:54:33.0 0.0879
19:54:32.0 0.0891
19:54:30.0 0.0897
19:54:29.0 0.0905
19:54:27.0 0.0914
19:54:24.0 0.0938
19:54:21.0 0.0947
19:54:18.0 0.0960
19:54:17.0 0.0951
19:54:15.0 0.0938
19:54:14.0 0.0928
19:54:12.0 0.0930
19:54:11.0 0.0934
19:54:09.0 0.0941
19:54:08.0 0.0943
19:54:06.0 0.0941
19:54:05.0 0.0940
19:54:03.0 0.0938
19:54:02.0 0.0934
19:54:00.0 0.0931
19:53:59.0 0.0926
19:53:57.0 0.0920
19:53:55.0 0.0926
19:53:50.0 0.0916
19:53:48.0 0.0916
19:53:47.0 0.0915
19:53:45.0 0.0913
19:53:44.0 0.0936
19:53:42.0 0.0939
19:53:41.0 0.0942
19:53:39.0 0.0947
19:53:38.0 0.0941
19:53:36.0 0.0943
19:53:35.0 0.0946
19:53:33.0 0.0950
19:53:32.0 0.0928
19:53:30.0 0.0926
19:53:29.0 0.0924
19:53:27.0 0.0922
19:53:26.0 0.0913
19:53:24.0 0.0906
19:53:23.0 0.0897
19:53:21.0 0.0884
19:53:20.0 0.0899
19:53:18.0 0.0902
19:53:17.0 0.0906
19:53:15.0 0.0912
19:53:14.0 0.0905
19:53:12.0 0.0903
19:53:11.0 0.0902
19:53:09.0 0.0900
19:53:08.0 0.0916
19:53:06.0 0.0912
19:53:05.0 0.0909
19:53:03.0 0.0905
19:53:02.0 0.0895
19:53:00.0 0.0890
19:52:59.0 0.0887
19:52:58.0 0.0882
19:52:56.0 0.0918
19:52:55.0 0.0912
19:52:53.0 0.0906
19:52:50.0 0.0920
19:52:48.0 0.0912
19:52:47.0 0.0905
19:52:45.0 0.0896
19:52:44.0 0.0947
19:52:42.0 0.0936
19:52:41.0 0.0925
19:52:39.0 0.0912
19:52:38.0 0.0964
19:52:36.0 0.0955
19:52:35.0 0.0948
19:52:33.0 0.0942
19:52:32.0 0.0973
19:52:30.0 0.0961
19:52:29.0 0.0950
19:52:27.0 0.0937
19:52:26.0 0.0989
19:52:24.0 0.0977
19:52:23.0 0.0968
19:52:21.0 0.0957
19:52:20.0 0.1012
19:52:18.0 0.0993
19:52:17.0 0.0976
19:52:15.0 0.0957
19:52:14.0 0.0968
19:52:12.0 0.0947
19:52:11.0 0.0927
19:52:09.0 0.0902
19:52:08.0 0.0900
19:52:06.0 0.0899
19:52:05.0 0.0905
19:52:04.0 0.0914
19:52:00.0 0.0919
19:51:59.0 0.0923
19:51:57.0 0.0930
19:51:55.0 0.0916
19:51:51.0 0.0917
19:51:47.0 0.0915
19:51:45.0 0.0913
19:51:44.0 0.0908
19:51:42.0 0.0908
19:51:41.0 0.0908
19:51:40.0 0.0909
19:51:38.0 0.0917
19:51:36.0 0.0919
19:51:35.0 0.0923
19:51:33.0 0.0930
19:51:32.0 0.0905
19:51:30.0 0.0903
19:51:29.0 0.0900
19:51:27.0 0.0895
19:51:26.0 0.0903
19:51:24.0 0.0904
19:51:23.0 0.0904
19:51:21.0 0.0902
19:51:20.0 0.0918
19:51:18.0 0.0913
19:51:17.0 0.0908
19:51:15.0 0.0901
19:51:14.0 0.0895
19:51:12.0 0.0899
19:51:11.0 0.0903
19:51:09.0 0.0908
19:51:08.0 0.0897
19:51:06.0 0.0899
19:51:05.0 0.0902
19:51:03.0 0.0908
19:51:02.0 0.0907
19:51:00.0 0.0909
19:50:59.0 0.0912
19:50:57.0 0.0916
19:50:56.0 0.0908
19:50:54.0 0.0908
19:50:53.0 0.0909
19:50:51.0 0.0909
19:50:50.0 0.0899
19:50:47.0 0.0901
19:50:46.0 0.0903
19:50:44.0 0.0899
19:50:43.0 0.0895
