#	LABOCA / ABBA
#	Full set of channels - 20070509 (new array)
#--------------------------------------------------
#
#columns:
#1=backend channel	[1-320]
#2=box number	[1-4]
#3=group	[0-12]
#4=amplifier	[1-5]
#5=board	[A-P]
#6=cable	[A-M]
#7=pin number	[0-26]
#8=bolometer number in the array	[0-295]
#9=channel state	[B/R/N]
#10=comment
#
#NOTE: 0 means not bolometer/not connected
#
#
#BEch	box	group	amp	board	cable	pin	bolo	state	comment
#-----------------------------------------------------------------------------------------------
146	2	0	4	F	0	0	0	N	ampl. not connected
147	2	5	2	G	L	14	262	B	
148	2	5	2	H	L	17	261	B	
149	2	5	3	H	L	16	268	R	1MOhm, broken membrane
150	2	4	2	E	M	24	294	R	1MOhm, broken membrane
151	2	4	4	D	M	4	0	R	1MOhm, not connected
152	2	5	1	H	L	18	263	B	
153	2	5	4	G	L	10	259	B	
154	2	5	1	G	L	15	264	B	
155	2	5	1	F	L	12	260	B	
156	2	5	2	F	L	11	257	B	
157	2	4	1	E	M	25	292	R	1MOhm, bad contact
158	2	4	5	D	M	3	0	R	1MOhm, not connected
159	2	4	5	A	M	9	277	B	
160	2	4	4	A	M	10	281	B	
161	3	9	3	A	C	11	58	B	
162	3	9	5	B	C	7	53	B	
163	3	9	3	C	C	17	62	B	blind, bad cavity, absor
164	3	9	3	B	C	14	63	B	
165	3	9	2	C	C	18	64	B	
166	3	9	3	D	C	20	67	B	
167	3	9	1	B	C	16	69	B	
168	3	9	1	D	C	22	70	B	
169	3	9	5	C	C	5	55	B	
170	3	9	4	C	C	6	54	B	
171	3	9	4	B	C	8	57	B	
172	3	9	1	C	C	19	66	B	
173	3	9	2	A	C	12	61	B	
174	3	9	2	B	C	15	65	B	
175	3	9	2	D	C	21	72	B	
176	3	9	1	A	C	13	59	B	
177	3	7	5	M	A	7	5	B	
178	3	7	4	P	A	1	1	R	1MOhm, broken membrane
179	3	7	3	M	A	15	17	B	
180	3	7	3	N	A	18	16	B	
181	3	7	4	O	A	3	4	R	1MOhm, broken membrane
182	3	7	4	N	A	6	6	B	
183	3	7	1	O	A	23	20	B	
184	3	7	2	N	A	19	18	B	
185	3	7	4	M	A	8	9	B	
186	3	7	5	P	A	2	3	R	1MOhm, broken membrane
187	3	7	5	N	A	5	7	R	1MOhm, bad contact
188	3	7	5	O	A	4	2	R	1MOhm, broken membrane
189	3	7	3	O	A	21	0	R	1MOhm, broken membrane
190	3	7	1	N	A	20	19	R	1MOhm, broken membrane
191	3	7	2	O	A	22	22	B	
192	3	7	1	M	A	17	14	B	
193	3	7	3	P	A	26	0	R	1MOhm, not connected
194	3	8	4	I	B	6	29	B	
195	3	7	1	P	A	24	0	R	1MOhm, not connected
196	3	8	5	I	B	5	30	B	
197	3	8	3	K	B	25	46	B	
198	3	8	3	I	B	19	41	B	
199	3	8	5	J	B	3	27	B	
200	3	8	2	K	B	26	0	R	1MOhm, not connected
201	3	7	2	P	A	25	23	B	
202	3	7	2	M	A	16	21	B	
203	3	7	5	L	A	9	8	B	
204	3	8	5	K	B	1	24	B	
205	3	7	4	L	A	10	12	B	
206	3	8	4	K	B	2	26	B	
207	3	7	1	K	A	11	10	B	
208	3	8	4	J	B	4	25	B	
209	3	8	3	J	B	22	45	B	
210	3	8	2	J	B	23	43	B	
211	3	8	5	H	B	7	28	B	
212	3	8	2	I	B	20	42	B	
213	3	8	1	I	B	21	47	B	
214	3	8	4	H	B	8	32	B	
215	3	9	4	E	C	2	51	B	
216	3	9	3	E	C	23	68	B	
217	3	7	2	L	A	13	11	B	
218	3	7	3	L	A	12	13	B	
219	3	8	1	J	B	24	48	B	
220	3	7	1	L	A	14	15	B	
221	3	8	5	G	B	9	31	B	
222	3	9	5	E	C	1	49	B	
223	3	8	3	G	B	13	34	B	
224	3	0	5	F	0	0	0	N	ampl. not connected
225	3	9	3	F	C	26	74	B	
226	3	0	4	F	0	0	0	N	ampl. not connected
227	3	8	2	G	B	14	38	B	
228	3	8	2	H	B	17	37	B	
229	3	8	3	H	B	16	44	B	
230	3	9	2	E	C	24	73	B	
231	3	9	4	D	C	4	50	B	
232	3	8	1	H	B	18	39	B	
233	3	8	4	G	B	10	35	B	
234	3	8	1	G	B	15	40	B	
235	3	8	1	F	B	12	36	B	
236	3	8	2	F	B	11	33	B	
237	3	9	1	E	C	25	71	B	
238	3	9	5	D	C	3	52	B	
239	3	9	5	A	C	9	56	B	
240	3	9	4	A	C	10	60	B	
241	4	10	3	A	F	11	132	B	
242	4	10	5	B	F	7	127	B	
243	4	10	3	C	F	17	136	B	
244	4	10	3	B	F	14	137	B	
245	4	10	2	C	F	18	138	B	
246	4	10	3	D	F	20	141	B	
247	4	10	1	B	F	16	143	B	
248	4	10	1	D	F	22	144	B	
249	4	10	5	C	F	5	129	B	
250	4	10	4	C	F	6	128	B	
251	4	10	4	B	F	8	131	B	
252	4	10	1	C	F	19	140	B	
253	4	10	2	A	F	12	135	B	
254	4	10	2	B	F	15	139	B	
255	4	10	2	D	F	21	146	R	1MOhm, broken membrane
256	4	10	1	A	F	13	133	B	
257	4	12	5	M	D	7	79	B	
258	4	12	4	P	D	1	75	B	
259	4	12	3	M	D	15	91	B	
260	4	12	3	N	D	18	90	B	
261	4	12	4	O	D	3	78	B	
262	4	12	4	N	D	6	80	B	
263	4	12	1	O	D	23	94	B	
264	4	12	2	N	D	19	92	B	
265	4	12	4	M	D	8	83	B	
266	4	12	5	P	D	2	77	B	
267	4	12	5	N	D	5	81	B	
268	4	12	5	O	D	4	76	B	
269	4	12	3	O	D	21	98	B	
270	4	12	1	N	D	20	93	B	
271	4	12	2	O	D	22	96	B	
272	4	12	1	M	D	17	88	B	
273	4	12	3	P	D	26	100	B	
274	4	11	4	I	E	6	105	B	
275	4	12	1	P	D	24	99	B	
276	4	11	5	I	E	5	106	B	
277	4	11	3	K	E	25	122	B	
278	4	11	3	I	E	19	117	B	
279	4	11	5	J	E	3	103	B	
280	4	11	2	K	E	26	125	B	
281	4	12	2	P	D	25	97	B	
282	4	12	2	M	D	16	95	B	
283	4	12	5	L	D	9	82	B	
284	4	11	5	K	E	1	0	R	1MOhm, not connected
285	4	12	4	L	D	10	86	B	
286	4	11	4	K	E	2	102	B	
287	4	12	1	K	D	11	84	B	
288	4	11	4	J	E	4	101	B	
289	4	11	3	J	E	22	121	B	
290	4	11	2	J	E	23	119	B	
291	4	11	5	H	E	7	104	B	
292	4	11	2	I	E	20	118	B	
293	4	11	1	I	E	21	123	B	
294	4	11	4	H	E	8	108	B	
295	4	10	4	E	F	2	0	R	1MOhm, not connected
296	4	10	3	E	F	23	142	B	
297	4	12	2	L	D	13	85	B	
298	4	12	3	L	D	12	87	B	
299	4	11	1	J	E	24	124	B	
300	4	12	1	L	D	14	89	B	
301	4	11	5	G	E	9	107	B	
