# dc(n) = int((n-1) % 8) - 3.5
# dr(n) = int((n-1) / 8) - 7.5
#
# dc(n),dr(n) --> x,y
#
# id	x		y
0	-1.10		1.57
x	-8.46		10.39
y	10.77		9.04
xy	0.118		0.072		
x2	-0.036		-0.026
y2	0.052		-0.074
# rms	0.96		0.76

