# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2015-02-28.33	1800+440	223-14	9.08	2.0	0.632	0.0663 98	25.3	-2.9	0.00 0.00 -1.80	-59 73	18.0 44	107.4	3.7 -0.4	11.7 -79.6	0.442 0.014	0.352 0.012	15.6 0.5	2.5 6.1
# Sat Feb 28 09:17:22 UTC 2015 - Is the source up from behind the mountain?  Probably not...
# Sat Feb 28 09:26:20 UTC 2015 - Loading from clouds on the horizon was blinding the detectors.  switching projects.
2015-02-28.43	1611+343	223-14	10.10	2.1	0.442	0.0218 99	25.1	-2.4	0.00 0.00 -1.80	-73 40	16.2 34	67.5	-11.6 -1.6	13.3 -101.0	1.08 7.2E-3	1.03 7.5E-3	16.5 0.1	-2.1 -2.1
2015-02-28.45	0112-017	test	12.71	2.1	0.374	0.0210 99	25.7	-0.9	0.00 0.00 -2.00	133 40	1.3 -1	-35.4	-15.2 6.0	-1.8 -67.9	0.115 3.3E-3	0.0972 6.2E-3	15.8 0.5	2.3 4.3
2015-02-28.54	0112-017	224-14	13.48	2.0	0.424	0.0628 98	25.7	-0.7	0.00 0.00 -2.00	147 46	1.3 -1	-25.6	-0.6 12.5	0.1 -61.1	0.128 0.011	0.135 0.018	21.6 1.6	-2.5 -0.6
2015-02-28.57	0112-017	224-14	13.59	1.1	0.386	0.0434 101	25.5	-0.8	0.00 0.00 -1.20	149 47	1.3 -1	-24.1	3.1 -1.4	3.5 -62.3	0.128 8.0E-3	0.111 0.010	14.8 0.9	0.9 3.0
2015-02-28.59	0112-017	224-14	13.63	1.0	0.431	0.0338 101	25.3	-0.8	0.00 0.00 -0.60	150 47	1.3 -1	-23.5	5.7 -4.3	4.5 -61.4	0.0819 5.6E-3	0.0556 6.6E-3	11.7 0.8	-3.9 1.9
2015-02-28.60	Uranus	224-14	13.66	2.0	0.431	0.0315 101	26.1	-0.8	0.00 0.00 -1.80	155 56	0.9 5	-19.6	5.8 -0.7	5.1 -57.2	11.6 0.026	14.0 0.027	19.7 0.0	-4.5 -1.0
2015-02-28.82	2318+049	224-14	15.57	2.0	0.420	0.0387 97	25.7	-1.4	0.00 0.00 -1.80	-123 43	23.3 5	42.3	5.7 2.6	20.1 -82.4	0.213 6.7E-3	0.167 7.9E-3	14.4 0.5	-4.8 1.3
2015-02-28.84	0202+149	228-14	15.76	2.0	0.397	0.0910 102	25.9	-1.4	0.00 0.00 -1.80	179 68	2.1 15	0.0	1.9 -1.2	7.3 -48.6	0.229 0.016	0.200 0.022	15.6 1.1	-1.3 3.5
2015-02-28.104	0202+149	228-14	17.50	2.0	0.365	0.0337 99	25.5	-1.9	0.00 0.00 -1.80	-127 58	2.1 15	41.9	-1.0 1.4	18.6 -72.6	0.281 5.5E-3	0.236 5.1E-3	15.9 0.3	0.4 -1.1
2015-02-28.119	0851+202	223-14	19.08	2.0	0.392	0.0339 103	25.3	-0.4	0.00 0.00 -1.80	95 41	8.9 20	-57.7	-4.9 -3.6	-7.9 -70.7	2.62 0.010	2.59 0.011	16.5 0.1	-2.4 -0.0
2015-02-28.120	0851+202	test	19.18	1.1	0.353	0.0303 103	24.8	-0.7	0.00 0.00 -1.80	96 42	8.9 20	-57.6	-8.5 11.7	-7.4 -72.0	2.31 0.012	2.34 0.020	16.5 0.1	-1.6 -0.9
2015-02-28.121	0851+202	test	19.20	1.1	0.353	0.0264 102	25.2	-0.7	0.00 0.00 -2.40	96 43	8.9 20	-57.6	-6.8 12.4	-5.8 -71.4	1.90 0.012	1.98 0.018	17.2 0.1	-1.4 0.7
2015-02-28.122	0851+202	test	19.22	1.1	0.353	0.0282 102	24.9	-0.9	0.00 0.00 -1.20	97 43	8.9 20	-57.5	-10.3 13.3	-9.4 -70.1	2.33 0.012	2.33 0.019	16.5 0.1	-0.9 -0.4
2015-02-28.123	0851+202	test	19.24	1.1	0.348	0.0274 100	24.7	-0.9	0.00 0.00 -3.00	97 43	8.9 20	-57.5	-4.0 11.3	-3.6 -72.0	1.19 0.013	1.46 0.017	19.5 0.2	-3.5 -5.4
2015-02-28.124	0851+202	test	19.26	1.1	0.348	0.0286 101	24.8	-0.9	0.00 0.00 -0.60	97 43	8.9 20	-57.4	-11.0 11.6	-10.2 -71.5	1.92 0.013	2.01 0.018	16.9 0.1	-3.2 -2.8
2015-02-28.125	0851+202	223-14	19.32	2.1	0.383	0.0408 101	25.3	-0.7	0.00 0.00 -1.40	98 44	8.9 20	-57.3	0.2 0.2	-9.8 -69.2	2.62 0.013	2.55 0.012	15.7 0.1	-1.6 -0.0
2015-02-28.137	1055+018	232-14	20.35	2.1	0.286	0.0529 98	25.5	0.2	0.00 0.00 -1.40	105 21	11.0 2	-50.5	-2.4 -0.4	-0.5 -69.8	2.48 0.019	2.71 0.023	17.0 0.1	-2.8 -3.4
2015-02-28.138	1055+018	232-14	20.43	2.1	0.280	0.0495 97	25.1	0.0	0.00 0.00 -1.60	106 22	11.0 2	-50.2	-1.8 -4.3	-0.1 -73.7	2.76 0.017	2.78 0.016	16.2 0.1	-2.5 -3.0
2015-02-28.149	1055+018	232-14	22.09	2.0	0.251	0.0412 96	25.3	-0.6	0.00 0.00 -1.80	126 40	11.0 2	-40.1	2.3 4.7	-1.8 -64.5	3.40 0.015	3.73 0.014	16.6 0.1	-4.4 -2.6
2015-03-01.5	1055+018	232-14	0.80	1.0	0.125	0.0226 95	25.6	-0.7	0.00 0.00 -1.80	-176 54	11.0 2	3.2	2.4 5.5	10.5 -56.4	2.64 0.021	3.32 0.020	15.5 0.1	-10.3 4.2
2015-03-01.6	1055+018	232-14	0.82	1.0	0.125	0.0216 96	25.5	-0.7	0.00 0.00 -2.40	-176 54	11.0 2	3.7	3.0 5.1	11.3 -57.0	2.62 0.021	3.29 0.017	16.5 0.1	-11.6 3.0
2015-03-01.7	1055+018	232-14	0.84	1.0	0.130	0.0305 93	25.6	-0.7	0.00 0.00 -1.20	-175 54	11.0 2	4.1	1.3 5.6	9.5 -56.6	2.82 0.021	3.27 0.017	16.1 0.1	-6.9 2.1
2015-03-01.8	1055+018	232-14	0.86	1.1	0.130	0.0234 97	25.6	-0.6	0.00 0.00 -3.00	-175 54	11.0 2	4.6	5.3 4.5	13.7 -57.8	2.08 0.018	2.69 0.016	17.6 0.1	-7.0 1.4
