# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2015-03-02.152	NGC1068	224-14	16.80	2.0	0.480	0.0135 99	26.1	7.1	0.00 0.00 -1.60	-167 52	2.7 -0	10.7	2.4 2.6	16.7 -69.9	0.0417 2.9E-3	0.0516 3.8E-3	19.1 1.3	1.9 4.9
2015-03-02.153	NGC1068	228-14	16.87	1.1	0.478	0.0128 99	25.4	7.1	0.00 0.00 -1.60	-165 52	2.7 -0	11.9	3.4 2.7	18.1 -70.3	0.0367 3.5E-3	0.0355 4.1E-3	15.8 1.5	-3.5 3.2
2015-03-02.155	NGC1068	228-14	16.92	1.0	0.478	0.0130 99	25.6	7.2	0.00 0.00 -1.00	-164 52	2.7 -0	12.7	-1.3 2.1	13.6 -71.3	0.0427 3.1E-3	0.0410 3.9E-3	16.2 1.2	1.0 1.2
2015-03-02.157	NGC1068	228-14	16.96	1.0	0.479	0.0125 99	25.8	7.2	0.00 0.00 -0.40	-163 52	2.7 -0	13.5	1.6 -3.2	16.6 -77.0	0.0375 2.9E-3	0.0371 3.8E-3	16.1 1.2	8.6 4.4
2015-03-02.170	0003+380	221-14	18.14	2.0	0.461	0.0181 92	25.3	6.4	0.00 0.00 -1.40	-67 38	0.1 38	69.0	-2.4 -1.1	10.0 -111.1	0.162 4.6E-3	0.146 4.1E-3	15.3 0.4	0.6 2.6
2015-03-02.189	0851+202	221-14	20.17	1.1	0.437	0.0201 101	24.8	4.4	0.00 0.00 -1.40	110 56	8.9 20	-52.9	3.3 0.4	-8.2 -66.8	1.82 0.016	1.98 0.011	15.1 0.1	2.7 -1.9
2015-03-02.190	0851+202	221-14	20.19	1.1	0.437	0.0181 101	24.9	4.3	0.00 0.00 -2.00	110 56	8.9 20	-52.8	1.9 0.3	-9.9 -66.8	1.46 0.014	1.70 0.012	16.6 0.2	-1.7 -2.0
2015-03-02.191	0851+202	221-14	20.21	1.1	0.437	0.0180 100	25.6	4.3	0.00 0.00 -0.80	111 56	8.9 20	-52.6	0.7 1.7	-10.9 -65.1	1.75 0.012	2.24 0.013	15.4 0.1	-2.0 1.0
2015-03-02.192	0851+202	221-14	20.23	1.1	0.422	0.0218 100	24.7	4.3	0.00 0.00 -2.60	111 56	8.9 20	-52.4	1.7 -0.6	-10.3 -67.1	0.897 0.014	1.22 0.014	19.3 0.3	-6.7 0.5
2015-03-02.193	0851+202	221-14	20.25	1.1	0.422	0.0181 101	25.3	4.3	0.00 0.00 -0.20	111 56	8.9 20	-52.3	-0.4 2.1	-12.1 -64.2	1.70 0.013	2.13 0.012	15.7 0.1	-0.0 1.9
2015-03-02.202	1055+018	232-14	21.50	1.1	0.446	0.0163 99	25.2	4.3	0.00 0.00 -1.20	120 35	11.0 2	-43.9	-3.8 -2.1	-4.2 -74.1	2.09 0.013	2.44 0.014	15.0 0.1	-2.8 -3.9
2015-03-02.203	1055+018	232-14	21.52	1.0	0.446	0.0164 99	25.1	4.3	0.00 0.00 -1.80	120 35	11.0 2	-43.8	-2.5 -2.0	-3.0 -73.9	2.20 0.014	2.52 0.015	15.2 0.1	2.1 -2.9
2015-03-02.204	1055+018	232-14	21.54	1.1	0.446	0.0249 97	25.2	4.4	0.00 0.00 -0.60	120 36	11.0 2	-43.6	-5.8 -2.8	-6.3 -74.6	2.06 0.017	2.21 0.018	15.8 0.1	-3.1 -2.8
2015-03-02.205	1055+018	232-14	21.56	1.1	0.443	0.0199 99	25.1	4.4	0.00 0.00 -2.40	120 36	11.0 2	-43.5	-1.0 0.3	-1.6 -71.4	1.93 0.018	2.23 0.015	16.6 0.2	3.2 -1.2
2015-03-02.206	1055+018	232-14	21.59	1.1	0.443	0.0256 97	25.0	4.4	0.00 0.00 -1.00	121 36	11.0 2	-43.3	-3.7 -1.3	-4.5 -72.9	2.20 0.016	2.40 0.016	14.8 0.1	-2.9 -2.1
2015-03-03.5	0851+202	232-14	0.85	1.1	0.402	0.0192 103	25.0	3.3	0.00 0.00 -1.40	-109 54	8.9 20	53.7	2.2 8.6	12.4 -85.9	1.80 0.013	2.11 0.012	16.5 0.1	-4.9 4.1
2015-03-03.6	0851+202	232-14	0.87	1.1	0.329	0.0195 103	25.1	3.3	0.00 0.00 -2.00	-108 54	8.9 20	53.8	3.1 7.8	13.4 -86.9	1.95 0.010	2.19 0.013	16.1 0.1	-1.9 1.9
2015-03-03.7	0851+202	232-14	0.89	1.1	0.329	0.0176 103	25.1	3.3	0.00 0.00 -0.80	-108 54	8.9 20	54.0	0.2 9.4	10.3 -85.6	1.32 0.012	1.77 0.013	18.8 0.2	-7.4 3.8
2015-03-03.8	0851+202	232-14	0.91	1.1	0.329	0.0195 103	25.1	3.3	0.00 0.00 -2.60	-108 54	8.9 20	54.1	3.0 8.2	13.5 -87.1	1.84 0.012	2.09 0.012	16.4 0.1	-5.5 3.9
2015-03-03.9	0851+202	232-14	0.94	1.1	0.379	0.0199 102	25.3	3.3	0.00 0.00 -0.20	-107 53	8.9 20	54.2	0.8 9.1	10.9 -86.4	0.719 0.012	1.23 0.013	21.8 0.3	-5.2 1.4
2015-03-03.10	0851+202	232-14	1.00	1.1	0.387	0.0211 102	24.8	3.4	0.00 0.00 -2.00	-106 53	8.9 20	54.6	4.0 7.2	14.4 -89.1	1.94 0.012	2.22 0.013	16.0 0.1	-1.9 3.4
2015-03-03.11	0851+202	232-14	1.02	1.0	0.387	0.0216 102	25.1	3.4	0.00 0.00 -2.60	-106 53	8.9 20	54.7	4.6 7.2	14.8 -89.3	1.92 0.013	2.12 0.013	16.1 0.1	0.2 2.0
2015-03-03.12	0851+202	232-14	1.04	1.1	0.387	0.0195 102	25.3	3.4	0.00 0.00 -1.40	-106 52	8.9 20	54.8	2.0 8.6	12.2 -88.1	1.83 0.012	2.16 0.013	16.7 0.1	-3.7 2.5
2015-03-03.13	0851+202	232-14	1.06	1.0	0.380	0.0194 102	25.0	3.4	0.00 0.00 -3.20	-106 52	8.9 20	54.9	6.0 7.3	16.1 -89.7	1.49 0.011	1.77 0.013	17.4 0.1	-4.0 1.6
2015-03-03.14	0851+202	232-14	1.09	1.0	0.380	0.0199 102	25.2	3.4	0.00 0.00 -0.80	-105 52	8.9 20	55.1	1.6 8.9	11.9 -88.3	1.34 0.012	1.70 0.014	18.1 0.2	-4.4 3.6
2015-03-03.32	0923+392	232-14	3.76	2.0	0.448	0.0179 98	25.2	2.6	0.00 0.00 -2.00	-64 35	9.5 39	67.6	1.2 -7.2	9.1 -112.3	1.85 8.5E-3	1.76 6.7E-3	16.0 0.1	-1.9 -2.0
2015-03-03.44	1144+402	223-14	5.21	2.1	0.403	0.0155 96	25.2	2.7	0.00 0.00 -2.00	-68 45	11.8 40	73.9	1.7 3.3	9.7 -105.7	0.865 4.6E-3	0.855 4.3E-3	16.4 0.1	-2.7 0.6
2015-03-03.62	0003+380	test	9.14	2.1	0.371	0.0257 101	25.4	4.4	0.00 0.00 -2.00	67 38	0.1 38	-69.3	-15.9 5.3	-12.1 -84.7	0.236 4.9E-3	0.212 4.8E-3	15.6 0.3	-2.5 4.1
