# dc(n) = int((n-1) % 8) - 3.5
# dr(n) = int((n-1) / 8) - 7.5
#
# dc(n),dr(n) --> x,y
#
# id	x		y
0	4.08		2.04
x	-8.45		10.23
y	10.75		8.92
xy	0.011		0.087		
x2	-0.105		-0.013
y2	0.074		-0.067
# rms			

