# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
# Fri Apr 15 19:43:58 UTC 2011 - Reverted pointing model
2011-04-15.155	J0948+004	19.75	1.9	0.383	0.0181 96	36.4	3.1	162 52	9.8 0	-7.2	-2.8 1.5	-19.6 -34.7	0.324 3.8E-3	0.319 5.9E-3	17.1 0.2
2011-04-15.156	1418+546	19.99	1.9	0.374	0.0172 98	37.2	2.8	45 38	14.3 54	-38.4	0.0 4.5	-38.1 -70.1	0.226 3.9E-3	0.230 5.1E-3	16.9 0.3
2011-04-15.157	J1033+609	20.11	1.9	0.424	0.0179 99	36.8	2.7	19 64	10.6 61	-74.2	-2.6 1.3	-33.3 -50.7	0.829 4.9E-3	0.876 6.6E-3	17.4 0.1
2011-04-15.161	1418+546	20.68	1.9	0.355	0.0177 101	37.1	2.0	47 44	14.3 54	-42.2	-0.7 4.3	-38.4 -63.7	0.250 3.3E-3	0.259 6.0E-3	17.1 0.2
2011-04-15.162	J1033+609	20.74	1.9	0.360	0.0180 94	37.4	2.0	9 66	10.6 61	-82.9	-0.1 0.8	-28.1 -51.3	0.815 4.3E-3	0.903 6.7E-3	17.5 0.1
2011-04-15.166	1418+546	21.56	1.9	0.188	0.0193 100	36.7	1.7	47 51	14.3 54	-47.6	-1.2 3.5	-38.0 -55.7	0.237 4.2E-3	0.234 4.9E-3	16.7 0.3
2011-04-15.167	J1033+609	21.63	1.9	0.232	0.0195 102	37.3	1.7	-7 66	10.6 61	83.9	0.0 -0.6	-23.6 -55.8	0.820 5.1E-3	0.923 7.1E-3	18.0 0.1
2011-04-15.171	1418+546	22.22	1.9	0.172	0.0199 101	36.8	2.1	45 57	14.3 54	-52.2	-2.4 3.9	-38.1 -48.9	0.238 3.6E-3	0.243 5.1E-3	16.9 0.3
2011-04-15.172	J1033+609	22.29	1.9	0.210	0.0203 103	37.7	2.2	-18 64	10.6 61	74.7	0.1 -1.4	-20.9 -60.2	0.844 4.4E-3	0.956 7.6E-3	18.0 0.1
2011-04-15.176	1418+546	22.88	1.9	0.198	0.0179 101	37.2	2.2	41 62	14.3 54	-58.0	-1.9 3.7	-36.1 -43.3	0.254 3.4E-3	0.250 3.9E-3	16.8 0.2
2011-04-15.177	J1033+609	22.96	1.9	0.147	0.0203 103	37.2	2.2	-26 61	10.6 61	66.6	-0.2 -2.0	-19.9 -65.5	0.853 4.8E-3	0.894 6.4E-3	17.3 0.1
2011-04-15.181	1418+546	23.58	1.9	0.183	0.0172 102	37.6	2.5	33 68	14.3 54	-66.0	-1.7 2.8	-33.6 -40.1	0.260 3.8E-3	0.260 4.7E-3	17.2 0.2
2011-04-15.182	J1033+609	23.66	1.9	0.155	0.0190 103	36.5	2.5	-32 57	10.6 61	59.5	-0.1 -2.1	-19.5 -71.0	0.871 4.3E-3	0.917 6.2E-3	17.2 0.1
2011-04-16.2	1418+546	0.25	1.9	0.139	0.0171 103	36.6	2.6	20 71	14.3 54	-76.2	-0.9 1.9	-29.5 -40.1	0.255 3.1E-3	0.255 4.5E-3	16.7 0.2
2011-04-16.3	J1033+609	0.32	1.9	0.174	0.0226 102	37.2	2.5	-36 53	10.6 61	53.7	-0.2 -1.6	-20.4 -76.1	0.865 5.6E-3	0.880 7.2E-3	17.1 0.1
2011-04-16.7	1418+546	0.90	1.9	0.171	0.0167 102	36.7	2.3	2 73	14.3 54	-88.7	-0.1 0.2	-23.9 -44.1	0.243 3.3E-3	0.248 5.2E-3	17.1 0.2
2011-04-16.8	J1033+609	0.96	1.9	0.196	0.0193 102	36.5	2.3	-37 48	10.6 61	48.9	-0.3 -1.0	-21.8 -80.8	0.907 4.6E-3	0.948 6.7E-3	17.3 0.1
2011-04-16.13	1418+546	1.63	1.9	0.219	0.0200 102	36.9	2.0	-18 71	14.3 54	77.1	0.7 -1.0	-17.5 -50.2	0.254 4.1E-3	0.253 5.4E-3	17.0 0.3
2011-04-16.14	J1033+609	1.69	1.9	0.201	0.0204 98	36.9	2.0	-38 43	10.6 61	44.0	-1.3 0.9	-24.5 -84.9	0.881 5.2E-3	0.894 5.4E-3	17.1 0.1
2011-04-16.18	1418+546	2.26	1.9	0.132	0.0181 102	36.4	1.8	-31 68	14.3 54	67.2	-0.3 -1.9	-15.6 -56.2	0.242 3.6E-3	0.270 6.7E-3	17.9 0.3
2011-04-16.19	J1033+609	2.32	1.9	0.132	0.0217 100	37.1	1.8	-37 38	10.6 61	40.1	-0.5 0.7	-25.4 -89.8	0.835 4.8E-3	0.872 6.4E-3	17.3 0.1
2011-04-16.24	1418+546	3.06	1.9	0.136	0.0200 100	37.0	1.1	-41 63	14.3 54	57.9	0.1 -2.7	-14.5 -64.5	0.243 3.4E-3	0.245 4.9E-3	17.2 0.2
2011-04-16.25	J1033+609	3.11	1.9	0.152	0.0210 101	36.8	1.0	-35 32	10.6 61	35.3	-0.9 1.3	-27.9 -94.5	0.856 4.9E-3	0.916 6.2E-3	17.4 0.1
2011-04-16.29	1418+546	3.68	1.9	0.150	0.0215 102	36.8	1.0	-45 57	14.3 54	52.4	-0.8 -3.4	-16.4 -71.5	0.242 4.1E-3	0.238 5.1E-3	17.1 0.3
2011-04-16.30	J1033+609	3.74	1.9	0.115	0.0209 101	36.9	1.1	-33 28	10.6 61	31.7	-0.0 1.7	-28.4 -97.7	0.819 4.5E-3	0.878 7.9E-3	17.4 0.1
2011-04-16.34	1418+546	4.32	1.9	0.133	0.0228 104	37.2	0.9	-47 52	14.3 54	47.8	-0.6 -2.7	-18.0 -77.5	0.251 3.4E-3	0.245 5.2E-3	16.8 0.2
2011-04-16.35	J1033+609	4.37	1.9	0.165	0.0275 101	37.3	1.0	-31 24	10.6 61	28.1	-0.0 1.8	-29.7 -100.6	0.828 5.5E-3	0.851 8.1E-3	16.9 0.1
2011-04-16.39	1418+546	4.94	1.9	0.117	0.0200 102	36.7	1.5	-47 46	14.3 54	43.9	-0.1 -2.0	-19.6 -83.1	0.264 3.2E-3	0.263 5.7E-3	17.0 0.2
2011-04-16.40	J1033+609	5.00	1.9	0.135	0.0191 101	37.1	1.5	-28 20	10.6 61	24.6	0.8 1.5	-30.0 -103.4	0.781 4.3E-3	0.857 6.8E-3	17.3 0.1
2011-04-16.44	1418+546	5.56	1.9	0.143	0.0199 103	36.9	1.4	-46 41	14.3 54	40.3	0.7 -0.4	-21.1 -87.4	0.270 4.1E-3	0.268 4.7E-3	16.9 0.3
2011-04-16.46	J1734+390	5.70	1.9	0.126	0.0220 101	36.6	1.3	-77 72	17.6 39	44.4	-1.0 -4.0	-0.7 -47.2	0.793 3.9E-3	0.870 6.8E-3	17.9 0.1
2011-04-16.54	J1734+390	6.86	1.9	0.097	0.0212 54	36.8	2.7	-74 59	17.6 39	40.3	-3.8 0.3	-10.9 -61.8	0.819 4.2E-3	0.814 8.5E-3	17.9 0.1
2011-04-16.56	J1734+390	7.13	1.9	0.114	0.0212 103	36.6	3.5	-73 56	17.6 39	39.4	-4.2 0.8	-13.2 -65.4	0.846 5.0E-3	0.846 6.6E-3	17.3 0.1
2011-04-16.58	J1734+390	7.36	1.9	0.168	0.0206 98	36.7	3.4	-72 53	17.6 39	38.7	-3.6 1.7	-14.1 -68.1	0.768 4.9E-3	0.856 6.8E-3	18.0 0.1
2011-04-16.62	J1734+390	7.93	1.9	0.120	0.0187 103	36.6	4.0	-70 47	17.6 39	37.0	-3.9 3.5	-18.1 -74.3	0.721 4.4E-3	0.831 6.8E-3	18.3 0.1
2011-04-16.66	J1801+441	9.35	1.9	0.171	0.0250 82	38.0	3.3	-59 38	18.0 44	35.8	-4.1 2.4	-24.6 -86.7	0.195 5.8E-3	0.246 8.1E-3	17.5 0.5
2011-04-16.67	J1801+441	9.45	1.9	0.129	0.0228 85	36.8	3.4	-58 37	18.0 44	35.4	-4.8 1.7	-25.8 -88.5	0.194 5.9E-3	0.255 9.5E-3	18.4 0.5
# Sat Apr 16 09:41:14 UTC 2011 - UT 09:00 Added metal strips alongside ellipsoidal mirror
2011-04-16.68	2216-038	9.70	1.9	0.148	0.0231 74	37.3	4.3	-163 48	22.3 -4	6.8	-8.3 5.3	-19.0 -42.2	0.303 6.1E-3	0.342 8.3E-3	18.5 0.4
2011-04-16.72	2216-038	10.31	1.9	0.221	0.0195 103	37.1	3.9	-150 45	22.3 -4	11.6	-5.9 1.8	-16.4 -52.6	0.358 4.3E-3	0.400 5.7E-3	18.1 0.2
# Sat Apr 16 10:35:33 UTC 2011 - Ran out of 4He in Scan 74
2011-04-16.75	Mars	13.35	1.9	0.699	0.1971 63	37.4	5.0	-133 46	0.7 4	18.0	-0.7 -6.3	-9.2 -65.2	28.2 0.44	89.6 2.7	32.1 0.4
# Sat Apr 16 13:24:34 UTC 2011 - Crush autorun set to BRIGHT for scan 76+
# Sat Apr 16 13:30:26 UTC 2011 - Scans 76,77 not processed by crush correctly due to bad command line
2011-04-16.80	Mars	13.55	1.7	0.377	0.0773 52	35.4	5.1	-129 45	0.7 4	-0.0	-2.3 -2.6	-11.7 -64.7	29.1 0.074	41.7 0.10	20.6 0.0
# Sat Apr 16 13:45:57 UTC 2011 - retuned before scan 81
2011-04-16.81	Mars	13.77	1.9	0.215	0.5527 88	36.9	6.1	-126 42	0.7 4	20.2	-6.2 -10.2	-16.8 -75.8	8.28 0.79	71.1 2.6	54.7 3.9
2011-04-16.82	Mars	13.82	1.9	0.297	0.0693 97	36.5	6.2	-125 42	0.7 4	20.5	-1.4 1.5	-12.2 -64.9	21.5 0.072	37.3 0.059	22.8 0.1
2011-04-16.83	Mars	13.85	1.9	0.297	0.0895 94	36.6	6.5	-124 42	0.7 4	20.6	-6.8 -4.7	-17.9 -71.6	20.3 0.20	63.6 0.96	30.0 0.2
2011-04-16.84	Mars	13.90	1.9	0.250	0.1815 88	36.7	6.6	-124 41	0.7 4	20.9	-0.8 -5.3	-12.1 -73.0	14.0 0.25	17.1 0.15	19.4 0.3
# Sat Apr 16 13:57:48 UTC 2011 - Crush having problems - perhaps with writing FITS? 
# Sat Apr 16 13:58:12 UTC 2011 - Crush having problems: NullPtr AstroImage:483
# Sat Apr 16 14:21:01 UTC 2011 - IV curve shows most pixels saturated - then many came back - weather?
2011-04-16.87	J0237+288	14.38	1.9	0.221	0.0287 60	37.0	7.1	-115 74	2.6 29	27.7	-6.0 -4.7	0.8 -34.7	0.975 9.4E-3	1.19 0.019	19.0 0.2
2011-04-16.88	J0237+288	14.51	1.9	0.728	0.0308 99	36.8	6.5	-112 72	2.6 29	28.8	-0.4 -6.1	5.4 -39.1	1.03 0.011	1.21 0.010	18.3 0.2
2011-04-16.89	J0423-013	14.71	1.9	0.624	0.1608 84	37.4	6.8	173 51	4.4 -1	-2.8	-8.1 1.2	-22.1 -36.9	0.344 0.051	0.357 0.034	15.2 2.3
2011-04-16.90	J0423-013	14.77	1.9	1.133	0.0368 95	36.6	6.9	174 51	4.4 -1	-2.3	0.0 3.6	-13.7 -34.7	1.99 0.016	2.61 0.024	19.7 0.2
2011-04-16.91	J0423-013	14.83	1.9	0.172	0.0508 98	37.2	6.8	176 52	4.4 -1	-1.7	-4.8 -1.2	-18.2 -39.7	1.10 0.015	1.34 0.018	18.7 0.2
2011-04-16.102	J0423-013	15.29	1.9	0.393	0.0538 94	36.5	5.1	-173 51	4.4 -1	2.7	-3.5 -0.6	-14.4 -41.5	1.33 0.013	1.50 0.016	18.1 0.2
2011-04-16.103	J0423-013	15.32	1.7	0.540	0.0926 91	35.7	5.1	-172 51	4.4 -1	-0.2	-3.1 0.2	-13.8 -41.0	1.08 0.020	1.18 0.026	17.7 0.3
# Sat Apr 16 15:28:18 UTC 2011 - More crush failures - small number of pixels probably
# Sat Apr 16 15:49:02 UTC 2011 - Relocked detectors
2011-04-16.116	J0423-013	15.89	1.9	1.382	0.0518 51	36.8	5.4	-159 50	4.4 -1	8.3	-1.6 -1.5	-10.9 -48.2	2.28 0.026	2.37 0.032	17.2 0.2
2011-04-16.117	J0423-013	15.94	1.9	1.067	0.0782 52	36.4	6.0	-158 49	4.4 -1	8.7	-3.9 4.9	-13.1 -42.4	1.59 0.033	1.81 0.038	17.7 0.4
2011-04-16.128	J0423-013	16.43	1.9	0.527	0.1011 66	37.2	7.5	-148 47	4.4 -1	12.6	-2.4 -3.0	-11.8 -56.4	0.962 0.018	0.918 0.020	16.8 0.3
2011-04-16.129	J0423-013	16.47	1.9	0.230	0.0767 66	36.5	7.7	-147 46	4.4 -1	12.8	-1.4 -5.9	-10.8 -59.9	0.992 0.015	1.07 0.019	17.0 0.3
2011-04-16.140	J0423-013	16.96	1.9	0.661	0.1278 48	37.0	5.8	-138 43	4.4 -1	16.1	1.4 -2.4	-9.4 -63.4	0.956 0.037	1.07 0.038	16.3 0.6
# Sat Apr 16 17:29:06 UTC 2011 - Closing Shutter to enable noise measurements.
# Sat Apr 16 18:23:26 UTC 2011 - Taking shutter-closed IVs and noise data
# Sat Apr 16 18:25:52 UTC 2011 - 11-04-16_18_20_45.fits - telescope stationary shut clsd
# Sat Apr 16 18:29:34 UTC 2011 - 11-04-16_18_25_37.fits - telescope stationary shut clsd
# Sat Apr 16 18:36:41 UTC 2011 - 11-04-16_18_33_36.fits - telescope moving shut clsd
# Sat Apr 16 18:41:13 UTC 2011 - 11-04-16_18_37_17.fits - telescope moving shut clsd
2011-04-16.145	3C84	18.97	9.3	0.225	0.0341 85	38.5	3.0	-60 33	3.3 42	33.7	0.9 -6.8	-21.1 -99.9	5.17 9.5E-3	7.23 0.010	18.3 0.0
2011-04-16.146	3C84	19.14	9.3	0.216	0.0325 74	38.3	3.0	-59 32	3.3 42	33.1	-0.9 -3.1	-23.7 -97.9	3.48 0.013	5.75 0.014	19.4 0.1
2011-04-16.147	3C84	19.31	9.1	0.201	0.0304 79	38.1	2.8	-58 30	3.3 42	-0.2	1.9 -5.4	-21.8 -101.7	4.27 9.2E-3	6.88 8.6E-3	18.5 0.0
2011-04-16.148	1418+546	19.58	1.9	0.270	0.0195 101	37.0	2.7	44 35	14.3 54	-36.6	-2.3 3.1	-40.4 -74.7	0.229 3.6E-3	0.224 4.5E-3	16.5 0.3
2011-04-16.149	1418+546	19.63	1.9	0.285	0.0197 101	36.8	2.7	44 35	14.3 54	-36.9	-2.1 0.9	-40.2 -76.4	0.234 4.1E-3	0.241 5.5E-3	16.9 0.3
2011-04-16.150	1418+546	19.67	1.7	0.231	0.0203 101	35.6	2.7	45 35	14.3 54	-0.2	-4.1 4.5	-42.3 -72.5	0.224 4.4E-3	0.232 5.7E-3	16.9 0.3
2011-04-16.151	1418+546	19.71	1.9	0.269	0.0202 101	36.9	2.6	45 36	14.3 54	-37.3	-2.8 2.1	-40.9 -74.5	0.226 4.9E-3	0.236 5.5E-3	16.8 0.4
2011-04-16.152	1418+546	19.77	1.9	0.276	0.0205 100	37.3	2.5	45 36	14.3 54	-37.6	-3.2 2.9	-41.3 -73.2	0.231 5.2E-3	0.235 5.6E-3	16.9 0.4
2011-04-16.153	1418+546	19.80	1.9	0.307	0.0196 101	36.6	2.4	45 37	14.3 54	-37.8	-1.3 1.9	-39.4 -73.8	0.229 4.2E-3	0.240 6.7E-3	17.0 0.3
2011-04-16.154	1418+546	19.84	1.7	0.318	0.0196 101	35.8	2.3	45 37	14.3 54	-0.2	0.1 4.7	-38.0 -70.7	0.241 4.6E-3	0.248 5.9E-3	17.0 0.3
2011-04-16.155	J1033+609	19.90	1.9	0.268	0.0184 101	37.2	2.3	21 63	10.6 61	-72.4	-1.3 2.3	-32.4 -49.9	0.787 3.5E-3	0.862 7.3E-3	17.8 0.1
2011-04-16.159	J1033+609	20.47	1.9	0.348	0.0213 101	37.2	2.8	12 65	10.6 61	-80.1	-0.5 1.2	-29.4 -50.7	0.802 4.2E-3	0.892 8.4E-3	17.9 0.1
2011-04-16.160	1418+546	20.53	1.9	0.275	0.0185 101	37.0	2.8	47 43	14.3 54	-41.7	-3.1 4.0	-40.9 -64.8	0.228 4.4E-3	0.244 5.3E-3	17.5 0.3
2011-04-16.164	J1033+609	21.11	1.9	0.313	0.0205 100	36.7	2.8	1 66	10.6 61	-89.3	-0.0 0.1	-25.8 -53.2	0.771 4.3E-3	0.859 6.9E-3	18.1 0.1
2011-04-16.165	1418+546	21.17	1.9	0.312	0.0210 101	37.1	2.9	47 48	14.3 54	-45.5	-3.1 4.4	-40.3 -58.1	0.240 3.9E-3	0.249 5.3E-3	17.2 0.3
2011-04-16.169	1418+546	21.75	1.9	0.352	0.0179 101	36.9	3.3	46 54	14.3 54	-49.3	-3.6 3.6	-40.0 -53.0	0.231 3.6E-3	0.232 5.0E-3	17.2 0.3
2011-04-16.170	J1033+609	21.82	1.9	0.408	0.0193 100	37.0	3.3	-12 65	10.6 61	80.2	0.1 -1.2	-22.4 -57.7	0.794 4.7E-3	0.899 8.2E-3	17.8 0.1
2011-04-16.174	1418+546	22.42	1.9	0.386	0.0178 100	36.7	3.2	44 59	14.3 54	-54.4	-3.1 3.6	-38.2 -46.7	0.236 3.6E-3	0.234 5.0E-3	16.9 0.3
2011-04-16.177	1418+546	22.63	1.9	0.368	0.0184 100	37.2	3.1	43 61	14.3 54	-56.2	-3.4 3.5	-38.0 -45.0	0.235 4.0E-3	0.240 5.3E-3	17.1 0.3
2011-04-16.181	0923+392	23.24	1.9	0.367	0.0233 100	36.5	3.1	-72 53	9.5 39	38.6	-2.1 -3.0	-12.8 -73.2	2.85 7.1E-3	3.16 0.011	18.0 0.0
2011-04-16.182	1418+546	23.35	1.9	0.313	0.0187 100	37.0	2.8	35 66	14.3 54	-63.8	-2.0 2.8	-34.5 -40.9	0.231 3.7E-3	0.249 6.3E-3	17.7 0.3
2011-04-16.186	1418+546	23.95	1.7	0.315	0.0194 101	35.7	1.7	25 70	14.3 54	-0.2	6.4 4.4	-23.5 -37.5	0.217 4.4E-3	0.238 6.8E-3	17.6 0.3
2011-04-16.187	J1033+609	0.02	1.9	0.376	0.0257 98	36.7	1.5	-35 54	10.6 61	55.7	-1.4 -2.7	-21.3 -75.2	0.815 6.4E-3	0.852 9.0E-3	17.8 0.1
2011-04-17.4	1418+546	0.60	1.9	0.342	0.0185 100	36.7	1.7	9 72	14.3 54	-83.9	-0.2 0.8	-25.9 -42.3	0.230 3.9E-3	0.254 6.7E-3	17.8 0.3
2011-04-17.5	J1033+609	0.66	1.9	0.369	0.0195 101	37.0	1.8	-37 50	10.6 61	50.6	-1.8 -2.1	-22.8 -80.0	0.810 4.9E-3	0.857 6.2E-3	17.7 0.1
2011-04-17.9	1418+546	1.24	1.9	0.287	0.0180 101	37.4	2.2	-10 72	14.3 54	83.4	0.1 -0.8	-20.6 -47.6	0.223 3.7E-3	0.227 5.7E-3	17.1 0.3
2011-04-17.10	J1033+609	1.29	1.9	0.376	0.0212 101	36.9	2.1	-38 45	10.6 61	46.2	-2.1 -1.7	-24.5 -84.8	0.823 5.6E-3	0.879 8.3E-3	17.7 0.1
2011-04-17.11	J1033+609	1.33	9.6	0.353	0.0183 101	76.4	2.1	-38 45	10.6 61	45.9	-1.8 -1.9	-24.3 -85.2	0.848 3.5E-3	0.984 6.1E-3	18.2 0.1
2011-04-17.12	J1033+609	1.50	9.6	0.370	0.0212 101	75.9	2.0	-38 44	10.6 61	44.8	-1.8 -2.3	-24.7 -87.0	0.844 3.7E-3	0.944 5.8E-3	17.7 0.1
2011-04-17.13	J1033+609	1.67	9.6	0.285	0.0206 97	76.2	2.2	-38 42	10.6 61	43.7	-1.4 -2.2	-24.7 -88.3	0.818 3.5E-3	0.930 5.5E-3	18.0 0.1
2011-04-17.14	J1033+609	2.01	1.9	0.244	0.0241 100	37.1	2.3	-37 40	10.6 61	41.5	-1.6 -2.2	-25.8 -90.8	0.780 5.3E-3	0.815 6.7E-3	17.4 0.1
2011-04-17.15	1418+546	2.06	1.9	0.270	0.0197 100	36.2	2.2	-29 69	14.3 54	69.0	-0.3 -2.4	-16.0 -55.5	0.219 3.6E-3	0.245 6.2E-3	17.8 0.3
2011-04-17.19	J1033+609	2.63	1.9	0.281	0.0257 99	37.1	2.7	-36 35	10.6 61	37.8	-2.3 -0.4	-28.2 -93.5	0.770 7.5E-3	0.819 9.3E-3	17.1 0.2
2011-04-17.20	1418+546	2.69	1.9	0.284	0.0218 94	37.3	2.7	-38 65	14.3 54	61.0	-0.8 -2.6	-15.3 -61.4	0.199 4.7E-3	0.200 5.4E-3	16.8 0.4
2011-04-17.24	J1033+609	3.26	1.9	0.262	0.0182 95	36.7	2.2	-35 31	10.6 61	34.1	-2.3 -0.5	-29.7 -97.6	0.794 4.6E-3	0.856 6.8E-3	17.7 0.1
2011-04-17.25	1418+546	3.32	1.7	0.267	0.0212 100	35.5	2.2	-43 60	14.3 54	-0.2	3.0 -3.8	-12.0 -68.8	0.225 4.4E-3	0.240 6.9E-3	17.6 0.3
2011-04-17.29	1418+546	3.97	1.9	0.202	0.0335 92	37.2	2.1	-46 54	14.3 54	49.8	-2.0 -3.9	-18.6 -75.7	0.206 6.5E-3	0.197 6.7E-3	16.7 0.5
2011-04-17.30	J1033+609	4.03	1.7	0.226	0.0232 86	35.7	2.1	-32 26	10.6 61	-0.2	-2.1 -1.4	-31.2 -102.5	0.689 6.1E-3	0.734 8.9E-3	17.0 0.1
2011-04-17.34	1418+546	4.64	1.9	0.214	0.0235 99	36.6	2.0	-47 48	14.3 54	45.3	-0.4 -2.8	-19.1 -81.6	0.234 5.0E-3	0.249 6.2E-3	17.6 0.4
2011-04-17.38	1418+546	5.21	1.9	0.257	0.0304 90	36.2	1.7	-47 44	14.3 54	42.0	-2.9 -3.0	-23.6 -87.4	0.225 6.2E-3	0.237 7.7E-3	16.9 0.5
2011-04-17.42	MWC349	5.83	1.9	0.240	0.0206 101	37.0	1.0	70 75	20.5 41	-48.8	-3.3 3.4	-33.9 -17.0	1.01 4.2E-3	1.14 7.0E-3	18.0 0.1
2011-04-17.43	MWC349	5.87	1.9	0.269	0.0202 100	36.8	1.0	70 75	20.5 41	-49.1	-3.1 3.1	-33.5 -16.8	1.02 4.8E-3	1.14 8.4E-3	18.0 0.1
2011-04-17.44	3C454.3	5.93	1.9	0.247	0.0318 65	36.7	0.9	99 39	22.9 16	-27.6	-0.8 -2.3	-35.8 -58.4	1.66 0.018	4.38 0.038	24.6 0.2
2011-04-17.45	2134+004	6.19	1.9	0.245	0.0214 101	36.7	1.0	136 44	21.6 1	-17.0	-2.1 1.1	-28.4 -43.2	0.878 4.2E-3	0.978 7.2E-3	18.0 0.1
2011-04-17.46	2131-021	6.26	1.9	0.228	0.0213 101	36.8	1.1	140 43	21.6 -2	-15.6	-1.8 1.5	-27.6 -44.0	0.663 4.4E-3	0.758 8.0E-3	18.1 0.1
2011-04-17.50	2131-021	6.82	1.9	0.274	0.0200 100	37.0	2.0	150 47	21.6 -2	-11.7	-2.5 3.3	-24.2 -37.9	0.712 4.9E-3	0.781 7.1E-3	17.8 0.1
# GISMO warming up -- ran out of He4...
# OK after refill...
2011-04-17.53	1749+096	7.39	1.9	0.232	0.0249 101	37.5	2.9	-113 41	17.9 10	24.0	-4.3 -1.7	-15.7 -72.8	3.05 6.1E-3	3.59 0.011	18.3 0.0
2011-04-17.57	1749+096	7.98	1.9	0.272	0.0243 92	36.6	3.9	-106 35	17.9 10	25.5	-5.1 -0.6	-20.7 -80.8	3.04 6.8E-3	3.51 0.011	17.6 0.0
2011-04-17.61	1749+096	8.55	1.9	0.331	0.0243 94	36.8	4.1	-99 28	17.9 10	26.4	-5.7 0.6	-25.3 -87.5	2.98 6.7E-3	3.50 0.012	17.9 0.0
2011-04-17.65	Uranus	9.25	1.9	0.358	0.0249 100	36.8	4.3	147 48	0.1 0	-13.0	-5.2 3.8	-27.5 -36.1	10.1 0.020	12.6 0.020	19.0 0.0
2011-04-17.66	Uranus	9.30	1.7	0.439	0.0226 101	35.6	4.2	148 48	0.1 0	-0.0	-3.4 5.2	-25.4 -34.3	10.6 0.024	13.5 0.022	19.2 0.0
2011-04-17.67	Uranus	9.34	1.9	0.394	0.0242 101	36.4	4.1	148 49	0.1 0	-12.4	-5.8 2.8	-27.5 -36.5	10.2 0.016	13.2 0.019	19.4 0.0
2011-04-17.68	Uranus	9.39	1.9	0.423	0.0214 101	36.5	4.2	149 49	0.1 0	-12.0	-5.5 1.1	-26.8 -37.8	10.4 0.019	13.4 0.018	19.5 0.0
# Sun Apr 17 09:41:23 UTC 2011 - For focus on Uranus: CRUSH set to bright
2011-04-17.69	Uranus	9.67	1.9	0.437	0.0210 100	37.4	3.8	155 50	0.1 0	-9.7	-5.1 2.1	-24.1 -35.3	10.8 0.014	13.6 0.019	19.3 0.0
2011-04-17.70	Uranus	9.77	1.9	0.463	0.0202 100	37.1	3.7	158 51	0.1 0	-8.8	-4.3 1.4	-22.6 -35.5	10.7 0.017	13.6 0.018	19.3 0.0
2011-04-17.71	Uranus	9.83	1.9	0.522	0.0216 101	36.7	3.8	159 51	0.1 0	-8.3	-3.9 1.8	-21.7 -34.9	10.8 0.018	14.2 0.020	19.7 0.0
2011-04-17.72	Uranus	9.94	1.9	0.477	0.0196 100	37.1	3.8	162 52	0.1 0	-7.3	-3.9 0.4	-20.8 -36.0	9.58 0.021	13.3 0.016	20.1 0.0
# Sun Apr 17 10:36:07 UTC 2011 - OTF Mars scan 2011-04-17.74 did not get seen/started by IRC; restarting as 75
2011-04-17.75	Mars	10.58	9.6	0.668	0.0185 100	76.2	4.2	161 55	0.7 4	-7.5	-3.9 0.7	-19.3 -31.0	31.0 0.027	49.1 0.031	21.2 0.0
2011-04-17.76	Mars	10.76	15.8	0.716	0.0419 98	31.4	4.5	166 56	0.7 4	-5.7	-3.9 0.6	-17.8 -30.8	28.8 0.034	64.2 0.72	25.2 0.0
2011-04-17.78	J0237+288	11.40	1.9	0.564	0.0551 86	36.8	4.7	102 66	2.6 29	-31.5	-1.2 2.2	-29.4 -20.3	0.706 0.015	0.881 0.020	19.1 0.4
# Sun Apr 17 11:28:44 UTC 2011 - Helium4 ran out before scan 79
# Sun Apr 17 12:54:15 UTC 2011 - Scan 74 possibly stored in scan 73 data file! (due to strange IRAM messaging with IMBFitsStart)
2011-04-17.82	J0005+383	14.34	1.9	-0.032	0.1077 61	36.5	5.7	-71 47	0.1 38	36.8	0.2 -4.6	-13.7 -81.9	0.0980 0.015	0.00E0 0.0E0	� �
# Sun Apr 17 14:52:07 UTC 2011 - Took calibration file: 2011-04-14_45_08- shutter closed, 30min 50Hz
# Sun Apr 17 15:27:35 UTC 2011 - Took calibration file: 2011-04-15_25_24- shutter closed, 30min 50Hz, tscope moving (scan .86)
2011-04-17.87	J0237+288	16.17	1.9	0.881	0.0202 97	36.9	5.5	-89 52	2.6 29	32.7	-0.9 -3.0	-8.9 -69.9	1.22 6.0E-3	1.43 0.011	18.6 0.1
2011-04-17.88	J0230+405	16.34	1.9	0.863	0.0183 97	36.4	6.4	-69 52	2.5 41	39.3	-1.6 -4.8	-13.3 -76.4	0.235 5.3E-3	0.259 6.8E-3	17.8 0.4
# Sun Apr 17 16:23:46 UTC 2011 - tau sucks - Elmer
2011-04-17.91	J0230+405	16.77	1.9	0.790	0.0184 96	36.7	9.4	-67 47	2.5 41	37.9	0.5 -4.3	-13.9 -81.8	0.219 5.5E-3	0.249 8.5E-3	17.8 0.4
