# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-14.156	J0909+014	22.60	1.9	0.364	0.0249 97	37.6	5.2	-124 38	9.2 1	20.7	0.3 -2.1	-12.9 -72.9	1.16 5.7E-3	1.24 8.7E-3	17.4 0.1
2011-04-14.160	J0948+004	23.16	1.9	0.367	0.0193 100	37.3	4.9	-126 38	9.8 0	20.0	-0.6 -1.2	-13.6 -71.0	0.343 4.1E-3	0.333 5.4E-3	16.6 0.2
2011-04-14.161	J0909+014	23.21	1.9	0.340	0.0205 96	37.2	4.9	-116 32	9.2 1	22.9	-0.3 -2.2	-17.1 -81.8	1.10 4.7E-3	1.19 9.1E-3	17.4 0.1
2011-04-14.165	J0948+004	23.77	1.9	0.344	0.0185 100	36.6	4.8	-118 32	9.8 0	22.4	-1.4 -1.5	-17.9 -80.0	0.358 4.1E-3	0.351 6.2E-3	16.5 0.2
2011-04-14.166	J0909+014	23.81	1.9	0.295	0.0257 94	37.2	4.7	-109 25	9.2 1	24.5	-0.6 -2.2	-21.3 -89.7	1.06 6.8E-3	1.18 0.011	17.6 0.1
2011-04-15.3	1418+546	0.44	1.9	0.339	0.0214 100	37.4	4.4	17 72	14.3 54	-78.4	-1.1 1.2	-28.9 -40.9	0.249 4.8E-3	0.238 4.8E-3	16.5 0.3
2011-04-15.4	J0958+656	0.51	1.9	0.308	0.0215 98	37.5	4.5	-31 47	10.0 66	51.0	0.9 -1.8	-22.7 -83.0	1.50 5.5E-3	1.66 8.2E-3	17.8 0.1
2011-04-15.8	1418+546	1.08	1.9	0.313	0.0181 100	37.8	4.3	-1 73	14.3 54	89.1	0.1 -0.1	-22.9 -45.0	0.246 3.8E-3	0.248 5.8E-3	16.8 0.3
2011-04-15.9	J0958+656	1.14	1.9	0.278	0.0196 97	37.2	4.3	-31 43	10.0 66	46.4	1.1 -2.1	-23.6 -87.7	1.52 5.6E-3	1.71 8.3E-3	17.8 0.1
2011-04-15.13	1418+546	1.71	1.9	0.216	0.0186 102	37.3	4.1	-19 71	14.3 54	76.9	1.0 -1.2	-17.1 -50.4	0.239 3.9E-3	0.237 4.9E-3	16.7 0.3
2011-04-15.14	1418+546	1.75	1.9	0.244	0.0183 102	37.2	4.1	-20 71	14.3 54	76.3	0.7 -1.6	-17.2 -51.1	0.247 4.1E-3	0.261 6.0E-3	17.2 0.3
