# Time[CET]   Date          Tau         TauERR
  09:24:11    2014-10-20    0.1063      0.0234
  09:28:26    2014-10-20    0.1345      0.0170
  09:32:41    2014-10-20    0.1397      0.0187
  09:36:56    2014-10-20    0.1141      0.0154
  09:41:11    2014-10-20    0.1366      0.0133
  09:45:26    2014-10-20    0.1269      0.0221
  09:49:40    2014-10-20    0.1504      0.0379
  09:53:55    2014-10-20    0.2055      0.0273
  09:58:10    2014-10-20    0.1578      0.0410
  10:02:25    2014-10-20    0.2037      0.0230
  10:06:40    2014-10-20    0.1804      0.0358
  10:10:55    2014-10-20    0.2150      0.0321
  10:15:10    2014-10-20    0.2350      0.0407
  10:19:25    2014-10-20    0.2687      0.0424
  10:23:40    2014-10-20    0.2523      0.0240
  10:27:55    2014-10-20    0.2769      0.0284
  10:32:09    2014-10-20    0.2860      0.0252
  10:36:24    2014-10-20    0.2700      0.0231
  10:40:39    2014-10-20    0.2588      0.0164
  10:44:54    2014-10-20    0.2697      0.0251
  10:49:09    2014-10-20    0.2833      0.0188
  10:53:24    2014-10-20    0.2684      0.0201
  10:57:39    2014-10-20    0.2633      0.0206
  11:01:54    2014-10-20    0.2883      0.0147
  11:06:08    2014-10-20    0.2914      0.0161
  11:10:23    2014-10-20    0.2929      0.0135
  11:14:38    2014-10-20    0.2816      0.0117
  11:18:53    2014-10-20    0.3081      0.0125
  11:23:08    2014-10-20    0.3416      0.0145
  11:27:23    2014-10-20    0.3082      0.0119
  11:31:38    2014-10-20    0.3268      0.0259
  11:35:52    2014-10-20    0.3110      0.0069
  11:40:07    2014-10-20    0.2826      0.0123
  11:44:22    2014-10-20    0.2734      0.0053
  11:48:37    2014-10-20    0.2755      0.0177
  11:52:52    2014-10-20    0.2744      0.0064
  11:57:06    2014-10-20    0.2702      0.0114
  12:01:21    2014-10-20    0.2927      0.0703
  12:05:36    2014-10-20    0.2494      0.0121
  12:09:51    2014-10-20    0.2494      0.0114
  12:14:05    2014-10-20    0.2643      0.0084
  12:18:20    2014-10-20    0.2720      0.0086
  12:22:35    2014-10-20    0.2827      0.0096
  12:26:49    2014-10-20    0.2797      0.0138
  12:31:04    2014-10-20    0.2813      0.0147
  12:35:18    2014-10-20    0.2611      0.0107
  12:39:33    2014-10-20    0.2452      0.0112
  12:43:48    2014-10-20    0.2455      0.0103
  12:48:02    2014-10-20    0.2501      0.0164
  12:52:17    2014-10-20    0.2689      0.0123
  12:56:31    2014-10-20    0.2763      0.0210
  13:00:45    2014-10-20    0.2876      0.0076
  13:05:00    2014-10-20    0.3150      0.0181
  13:09:14    2014-10-20    0.3084      0.0102
  13:13:29    2014-10-20    0.3201      0.0088
  13:17:43    2014-10-20    0.3066      0.0091
  13:21:57    2014-10-20    0.2709      0.0109
  13:26:12    2014-10-20    0.2957      0.0151
  13:30:26    2014-10-20    0.3263      0.0099
  13:34:41    2014-10-20    0.3003      0.0086
  13:38:55    2014-10-20    0.3092      0.0104
  13:43:09    2014-10-20    0.3472      0.0216
  13:47:24    2014-10-20    0.3214      0.0076
  13:51:38    2014-10-20    0.3014      0.0098
  13:55:53    2014-10-20    0.3191      0.0140
  14:00:07    2014-10-20    0.2960      0.0080
  14:04:21    2014-10-20    0.3076      0.0098
  14:08:36    2014-10-20    0.2720      0.0104
  14:12:50    2014-10-20    0.2833      0.0150
  14:17:04    2014-10-20    0.2628      0.0116
  14:21:19    2014-10-20    0.2831      0.0156
  14:25:33    2014-10-20    0.2748      0.0123
  14:29:47    2014-10-20    0.3145      0.0107
  14:34:02    2014-10-20    0.2905      0.0123
  14:38:16    2014-10-20    0.2863      0.0071
  14:42:30    2014-10-20    0.3260      0.0178
  14:46:45    2014-10-20    0.2542      0.0089
  14:50:59    2014-10-20    0.2805      0.0124
  14:55:13    2014-10-20    0.3142      0.0066
  14:59:28    2014-10-20    0.2998      0.0095
  15:03:42    2014-10-20    0.2976      0.0128
  15:07:57    2014-10-20    0.3217      0.0089
  15:12:11    2014-10-20    0.3247      0.0090
  15:16:25    2014-10-20    0.3653      0.0097
  15:20:40    2014-10-20    0.3459      0.0123
  15:24:54    2014-10-20    0.3702      0.0084
  15:29:08    2014-10-20    0.3888      0.0089
  15:33:23    2014-10-20    0.3961      0.0170
  15:37:37    2014-10-20    0.3858      0.0130
  15:41:51    2014-10-20    0.3968      0.0157
  15:46:06    2014-10-20    0.3684      0.0375
  15:50:20    2014-10-20    0.4321      0.0538
  15:54:34    2014-10-20    0.4278      0.0333
  15:58:49    2014-10-20    0.4117      0.0645
  16:03:03    2014-10-20    0.4358      0.0478
  16:07:17    2014-10-20    0.4429      0.0413
  16:11:32    2014-10-20    0.4004      0.0258
  16:15:46    2014-10-20    0.4668      0.0154
  16:20:00    2014-10-20    0.4278      0.0150
  16:24:15    2014-10-20    0.3885      0.0110
  16:28:29    2014-10-20    0.3780      0.0082
  16:32:43    2014-10-20    0.3870      0.0125
  16:36:58    2014-10-20    0.4184      0.0139
  16:41:12    2014-10-20    0.4064      0.0153
  16:45:26    2014-10-20    0.4358      0.0110
  16:49:41    2014-10-20    0.4041      0.0086
  16:53:55    2014-10-20    0.4106      0.0229
  16:58:09    2014-10-20    0.4359      0.0186
  17:02:24    2014-10-20    0.4157      0.0285
  17:06:38    2014-10-20    0.4501      0.0150
  17:10:52    2014-10-20    0.4964      0.0097
  17:15:06    2014-10-20    0.4759      0.0210
  17:19:21    2014-10-20    0.4308      0.0136
  17:23:35    2014-10-20    0.4022      0.0310
  17:27:50    2014-10-20    0.3867      0.0204
  17:32:04    2014-10-20    0.3786      0.0284
  17:36:18    2014-10-20    0.4002      0.0180
  17:40:32    2014-10-20    0.3522      0.0302
  17:44:47    2014-10-20    0.3457      0.0199
  17:49:01    2014-10-20    0.3523      0.0196
  17:53:15    2014-10-20    0.4004      0.0159
  17:57:30    2014-10-20    0.4101      0.0139
  18:01:44    2014-10-20    0.4176      0.0114
  18:05:58    2014-10-20    0.4144      0.0113
  18:10:12    2014-10-20    0.4060      0.0087
  18:14:26    2014-10-20    0.3486      0.0877
  18:18:41    2014-10-20    0.4265      0.0115
  18:22:55    2014-10-20    0.4137      0.0083
  18:27:09    2014-10-20    0.4156      0.0127
  18:31:23    2014-10-20    0.4006      0.0131
  18:35:38    2014-10-20    0.4271      0.0247
  18:39:52    2014-10-20    0.3920      0.0078
  18:44:06    2014-10-20    0.4109      0.0095
  18:48:20    2014-10-20    0.4048      0.0149
  18:52:35    2014-10-20    0.4368      0.0115
  18:56:49    2014-10-20    0.3991      0.0099
  19:01:03    2014-10-20    0.3816      0.0122
  19:05:17    2014-10-20    0.3787      0.0099
  19:09:32    2014-10-20    0.3742      0.0104
  19:13:46    2014-10-20    0.3965      0.0125
  19:18:00    2014-10-20    0.3944      0.0131
  19:22:15    2014-10-20    0.3918      0.0126
  19:26:29    2014-10-20    0.3770      0.0115
  19:30:43    2014-10-20    0.3857      0.0079
  19:34:58    2014-10-20    0.3711      0.0071
  19:39:12    2014-10-20    0.3481      0.0132
  19:43:26    2014-10-20    0.3735      0.0115
  19:47:41    2014-10-20    0.3486      0.0121
  19:51:55    2014-10-20    0.3518      0.0111
  19:56:10    2014-10-20    0.3586      0.0121
  20:00:24    2014-10-20    0.3462      0.0203
  20:04:38    2014-10-20    0.3408      0.0087
  20:08:53    2014-10-20    0.3375      0.0074
  20:13:07    2014-10-20    0.7372      0.2573
  20:17:22    2014-10-20    0.1674      0.0491
  20:21:36    2014-10-20    0.3223      0.0226
  20:25:50    2014-10-20    0.3696      0.0101
  20:30:05    2014-10-20    0.3669      0.0196
  20:34:19    2014-10-20    0.3750      0.0094
  20:38:34    2014-10-20    0.3838      0.0110
  20:42:48    2014-10-20    0.3897      0.0181
  20:47:02    2014-10-20    0.3695      0.1915
  20:51:17    2014-10-20    0.2959      0.0394
  20:55:31    2014-10-20    0.3944      0.0210
  20:59:46    2014-10-20    0.3425      0.0107
  21:04:00    2014-10-20    0.3344      0.0109
  21:08:15    2014-10-20    0.2861      0.0187
  21:12:29    2014-10-20    0.3442      0.0079
  21:16:44    2014-10-20    0.3309      0.0092
  21:20:58    2014-10-20    0.3473      0.0120
  21:25:13    2014-10-20    0.3425      0.0058
  21:29:27    2014-10-20    0.3581      0.0110
  21:33:42    2014-10-20    0.3498      0.0133
  21:37:56    2014-10-20    0.3640      0.0102
  21:42:11    2014-10-20    0.3739      0.0092
  21:46:25    2014-10-20    0.3302      0.0101
  21:50:40    2014-10-20    0.2751      0.0446
  21:54:54    2014-10-20    0.3538      0.0100
  21:59:09    2014-10-20    0.3472      0.0078
  22:03:23    2014-10-20    0.3625      0.0172
  22:07:37    2014-10-20    0.3620      0.0166
  22:11:52    2014-10-20    0.3368      0.0177
  22:16:06    2014-10-20    0.3494      0.0120
  22:20:21    2014-10-20    0.3370      0.0089
  22:24:35    2014-10-20    0.3656      0.0177
  22:28:50    2014-10-20    0.3295      0.0093
  22:33:04    2014-10-20    0.3355      0.0159
  22:37:19    2014-10-20    0.3135      0.0116
  22:41:33    2014-10-20    0.3245      0.0268
  22:45:48    2014-10-20    0.3277      0.0213
  22:50:02    2014-10-20    0.3460      0.0069
  22:54:17    2014-10-20    0.2961      0.0111
