# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-10-20.31	Mars	gismos-14	17.64	1.0	0.380	0.0178 70	25.7	8.8	0.00 4.00 -1.70	-155 24	17.7 -25	21.7	-8.1 -2.8	21.8 -93.4	14.4 0.15	44.6 0.20	25.1 0.2	1.7 0.7
2014-10-20.32	1749+096	gismos-14	17.68	2.0	0.376	0.0127 104	25.9	8.7	0.00 0.00 -1.70	-137 56	17.9 10	33.6	-0.3 0.4	34.1 -80.2	1.66 8.0E-3	1.84 6.0E-3	15.5 0.1	-1.4 3.6
2014-10-20.33	1749+096	gismos-14	17.74	2.0	0.375	0.0119 105	25.7	8.6	0.00 0.00 -1.70	-136 55	17.9 10	34.4	0.1 0.4	34.5 -81.0	1.63 6.6E-3	1.80 5.4E-3	15.6 0.1	-0.4 3.8
2014-10-20.34	1749+096	gismos-14	17.77	2.1	0.374	0.0115 105	25.7	8.6	0.00 0.00 -1.70	-135 55	17.9 10	35.0	0.5 0.3	34.9 -81.7	1.57 6.2E-3	1.77 5.4E-3	15.8 0.1	-0.7 2.9
2014-10-20.35	1749+096	gismos-14	17.81	2.1	0.374	0.0125 105	25.8	8.6	0.00 0.00 -1.70	-134 55	17.9 10	35.5	0.2 -0.9	34.7 -83.5	1.54 7.2E-3	1.73 5.6E-3	15.7 0.1	-0.1 2.9
2014-10-20.40	Neptune	gismos-14	18.06	2.1	0.359	0.0166 97	25.8	8.5	0.00 0.00 -1.70	133 29	22.5 -10	-36.2	-0.4 -0.1	18.7 -75.0	2.79 0.016	3.80 0.012	15.8 0.1	-2.9 -3.9
# Mon Oct 20 18:06:35 UTC 2014 - scans 36 and 37 intentionally observed with 10',10' offset
2014-10-20.41	Neptune	gismos-14	18.10	2.1	0.353	0.0162 96	25.8	8.5	0.00 0.00 -1.70	133 30	22.5 -10	-35.9	0.2 0.3	19.3 -74.5	2.36 0.017	3.33 0.013	15.9 0.1	-1.3 -3.2
# Tue Oct 21 10:08:43 UTC 2014 - DJ,SN,JL,. cycle was done with zero bias,crate off and cap on    
2014-10-21.94	Mars	test	16.50	2.0	0.438	0.0190 70	26.5	9.0	0.00 0.00 -1.80	-172 28	17.7 -25	7.4	0.1 1.9	11.2 -84.4	38.7 0.094	56.2 0.18	18.5 0.0	5.0 -4.6
2014-10-21.95	Mars	test	16.58	1.0	0.436	0.0314 58	25.8	8.9	0.00 0.00 -1.80	-171 27	17.7 -25	8.3	-1.1 -2.4	10.5 -89.1	8.08 0.18	27.7 0.43	25.4 0.5	-0.2 -5.4
2014-10-21.96	Mars	test	16.60	1.0	0.427	0.0205 66	25.9	8.9	0.00 0.00 -2.40	-170 27	17.7 -25	8.6	8.2 1.9	19.1 -84.9	14.4 0.084	50.7 0.23	26.7 0.1	15.3 6.5
# Tue Oct 21 16:37:36 UTC 2014 - Alex Karim: Starting GISMO S-14 pool. Want to prepare for a beammap but do pointing/focus first. Mars at low elevation though. First scan had been wrongly assigned to 111-14.
2014-10-21.97	Mars	test	16.62	1.0	0.427	0.0202 65	25.9	8.9	0.00 0.00 -1.20	-170 27	17.7 -25	8.9	-0.1 -0.3	11.4 -87.2	16.9 0.11	42.8 0.24	21.7 0.1	11.1 9.6
2014-10-21.98	Mars	test	16.64	1.0	0.426	0.0194 65	25.7	8.9	0.00 0.00 -3.00	-170 27	17.7 -25	9.2	9.0 2.3	20.4 -84.8	15.4 0.076	49.2 0.29	26.9 0.1	13.7 -0.1
2014-10-21.99	Mars	test	16.66	1.1	0.427	0.0258 67	25.8	8.9	0.00 0.00 -0.60	-169 27	17.7 -25	9.5	-0.5 -1.4	10.9 -88.6	22.7 0.17	48.9 0.44	22.4 0.1	8.7 1.6
2014-10-21.100	1655+077	test	16.82	2.1	0.425	0.0123 101	25.7	8.7	0.00 0.00 -1.80	-137 53	17.0 8	33.5	1.2 0.1	18.9 -80.8	0.341 2.8E-3	0.361 3.1E-3	16.3 0.1	3.3 0.5
2014-10-21.101	1655+077	test	16.88	1.1	0.428	0.0098 100	25.3	8.7	0.00 0.00 -1.80	-136 53	17.0 8	34.3	0.0 0.6	18.2 -81.3	0.363 3.3E-3	0.358 3.8E-3	15.6 0.1	0.5 1.7
2014-10-21.102	1655+077	test	16.90	1.1	0.428	0.0100 101	25.4	8.7	0.00 0.00 -2.40	-135 53	17.0 8	34.6	2.0 -1.0	20.1 -83.2	0.292 4.8E-3	0.294 4.7E-3	15.9 0.3	-2.4 2.9
2014-10-21.103	1655+077	test	16.93	1.1	0.428	0.0104 100	25.3	8.7	0.00 0.00 -1.20	-135 52	17.0 8	34.9	-0.3 0.4	17.9 -82.1	0.351 4.2E-3	0.348 3.8E-3	15.6 0.2	-1.0 4.3
2014-10-21.104	1655+077	test	16.95	1.0	0.434	0.0105 101	25.3	8.7	0.00 0.00 -3.00	-135 52	17.0 8	35.2	2.2 -0.7	20.4 -83.6	0.177 3.9E-3	0.187 5.9E-3	16.2 0.4	-2.7 2.6
2014-10-21.105	1655+077	test	16.97	1.1	0.435	0.0102 100	25.0	8.7	0.00 0.00 -0.60	-134 52	17.0 8	35.5	-1.9 0.4	16.3 -82.8	0.280 3.4E-3	0.270 3.9E-3	15.6 0.2	-1.1 3.1
2014-10-21.106	1655+077	test	17.03	2.0	0.443	0.0113 100	25.8	8.7	0.00 0.00 -0.30	-133 51	17.0 8	36.4	-2.7 1.3	15.4 -82.8	0.250 3.1E-3	0.273 4.2E-3	16.5 0.2	1.5 0.5
2014-10-21.107	G34.3	test	17.20	2.0	0.445	0.0172 99	26.4	8.4	0.00 0.00 -1.50	-178 54	18.9 1	2.0	-0.5 -0.1	5.8 -67.3	1.37 0.045	4.10 0.080	27.1 0.7	-9.6 -0.4
# Tue Oct 21 17:17:19 UTC 2014 - Alex Karim: Tried to find something brighter to attempt a beammap. However, last focus didn't come out too bad despite strongly changing atmosphere. Will move close to project 111 target and check.
2014-10-21.108	3C345	test	17.32	2.0	0.458	0.0118 102	25.3	8.4	0.00 0.00 -1.50	-73 62	16.7 40	84.0	-0.2 -1.4	12.9 -94.7	0.968 5.7E-3	1.04 4.9E-3	15.7 0.1	0.7 3.5
# Tue Oct 21 17:56:24 UTC 2014 - Jens Erler: started observations of 111-14. Calibrations looked good but tau is still high (>0.4).  
2014-10-21.113	3C345	test	18.27	2.0	0.449	0.0116 101	25.3	8.2	0.00 0.00 -1.50	-70 51	16.7 40	77.5	-0.1 0.1	12.3 -102.8	0.983 5.5E-3	1.05 4.8E-3	15.7 0.1	-0.0 -0.0
# Tue Oct 21 18:21:00 UTC 2014 - Jens Erler: After first otf run switched back to project test to make calibrations. Tau still as high.
2014-10-21.114	3C345	test	18.33	1.1	0.447	0.0106 101	24.8	8.1	0.00 0.00 -1.70	-70 51	16.7 40	77.1	-0.7 0.2	11.7 -103.3	0.900 6.2E-3	0.971 6.3E-3	15.3 0.1	-1.3 1.1
2014-10-21.115	3C345	test	18.36	1.1	0.447	0.0099 101	24.8	8.1	0.00 0.00 -2.30	-70 50	16.7 40	77.0	2.1 0.5	14.5 -103.3	0.740 7.6E-3	0.846 6.9E-3	16.1 0.2	-1.3 -0.5
2014-10-21.116	3C345	test	18.38	1.1	0.447	0.0104 101	24.8	8.2	0.00 0.00 -1.10	-70 50	16.7 40	76.8	-1.1 0.6	11.3 -103.3	0.905 6.6E-3	0.969 6.4E-3	15.3 0.1	1.0 -0.5
2014-10-21.117	3C345	test	18.40	1.1	0.447	0.0103 101	24.8	8.2	0.00 0.00 -2.90	-70 50	16.7 40	76.7	2.8 0.7	15.1 -103.5	0.494 6.4E-3	0.636 6.6E-3	17.6 0.2	-1.6 1.1
2014-10-21.118	3C345	test	18.42	1.1	0.447	0.0101 100	24.9	8.2	0.00 0.00 -0.50	-70 50	16.7 40	76.5	-3.2 0.8	9.2 -103.6	0.772 7.1E-3	0.886 6.5E-3	16.0 0.1	-1.4 1.5
2014-10-21.119	1800+440	111-14	18.49	2.0	0.447	0.0114 103	25.3	8.1	0.00 0.00 -1.40	-64 64	18.0 44	93.6	0.2 -1.4	10.7 -95.0	0.382 3.7E-3	0.398 3.9E-3	16.1 0.2	0.3 2.4
# Tue Oct 21 19:01:58 UTC 2014 - Jens Erler: First four runs of otf observations completed. Tau stays constant. Swiched to project test for pointing check.
2014-10-21.124	1800+440	test	19.00	2.0	0.447	0.0101 102	25.4	8.1	0.00 0.00 -1.40	-64 58	18.0 44	88.1	0.3 -0.1	11.2 -98.7	0.385 2.6E-3	0.378 3.2E-3	15.5 0.1	1.3 -0.6
2014-10-21.129	3C345	test	19.55	1.1	0.450	0.0117 97	25.0	7.3	0.00 0.00 -1.40	-64 37	16.7 40	69.2	-0.2 0.8	11.1 -112.0	0.868 5.7E-3	0.918 6.9E-3	15.5 0.1	-2.0 1.4
2014-10-21.130	3C345	test	19.58	1.1	0.451	0.0100 97	25.0	7.3	0.00 0.00 -2.00	-64 37	16.7 40	69.1	0.9 -0.2	12.1 -113.2	0.771 5.6E-3	0.834 7.1E-3	15.7 0.1	-1.7 -1.3
2014-10-21.131	3C345	test	19.60	1.1	0.451	0.0116 97	25.0	7.3	0.00 0.00 -0.80	-64 37	16.7 40	68.9	-2.1 -1.0	9.1 -114.0	0.773 7.4E-3	0.833 8.8E-3	15.8 0.2	-0.8 0.1
2014-10-21.132	3C345	test	19.62	1.1	0.452	0.0110 97	25.0	7.3	0.00 0.00 -2.60	-64 36	16.7 40	68.8	1.4 0.4	12.6 -112.8	0.607 7.1E-3	0.740 8.2E-3	17.0 0.2	-3.7 -0.2
2014-10-21.133	3C345	test	19.64	1.1	0.452	0.0108 97	24.9	7.4	0.00 0.00 -0.20	-64 36	16.7 40	68.7	-3.5 -0.7	7.7 -114.0	0.556 6.6E-3	0.673 8.0E-3	16.9 0.2	-3.0 1.4
2014-10-21.134	1800+440	111-14	19.76	2.1	0.452	0.0111 100	25.2	7.3	0.00 0.00 -1.50	-63 50	18.0 44	81.2	0.1 -1.8	10.9 -107.5	0.397 2.8E-3	0.412 4.1E-3	16.1 0.1	-1.5 2.9
# Tue Oct 21 20:42:57 UTC 2014 - Jens Erler: Completed a nother 8 scans. Tau stable around 0.4. Swiching source because MACS goes below 30 degree elevation.
2014-10-21.147	2037+511	094-14	21.30	2.1	0.454	0.0118 102	25.6	7.2	0.00 0.00 -1.50	-49 61	20.6 51	104.4	0.0 -0.2	7.6 -101.6	0.673 5.1E-3	0.693 4.5E-3	15.8 0.1	-0.1 2.4
# Tue Oct 21 21:34:46 UTC 2014 - Jens Erler: Conditions allowed for four more scans of MACSJ1952.0+4440. Started observations for project 094-14 afterwards. Weather continous to be stable with tau~0.45. 
# Tue Oct 21 23:02:24 UTC 2014 - Jens Erler: Completed 2 runs of the project 094-14 observation script. Each run took ~40 min instead of 80 min as seen in the readme file.
2014-10-21.164	2037+511	094-14	23.05	2.0	0.490	0.0108 61	25.5	8.0	0.00 0.00 -1.50	-51 44	20.6 51	82.4	-1.7 0.4	9.3 -110.9	0.562 4.3E-3	0.606 5.0E-3	15.7 0.1	-2.3 0.1
2014-10-21.165	2037+511	094-14	23.14	1.0	0.504	0.0097 49	25.6	7.7	0.00 0.00 -1.50	-51 43	20.6 51	81.6	-0.2 0.5	10.7 -111.4	0.489 4.4E-3	0.490 6.1E-3	15.2 0.1	-0.6 2.4
2014-10-21.166	2037+511	094-14	23.16	1.1	0.513	0.0103 49	24.9	7.7	0.00 0.00 -2.10	-51 43	20.6 51	81.3	0.2 0.3	11.2 -111.7	0.412 5.4E-3	0.444 6.7E-3	15.7 0.2	-2.2 0.0
2014-10-21.167	2037+511	094-14	23.18	1.0	0.516	0.0101 52	25.1	7.7	0.00 0.00 -0.90	-51 43	20.6 51	81.1	-1.0 -0.4	10.0 -112.5	0.499 5.8E-3	0.512 7.5E-3	15.4 0.2	-0.8 0.1
2014-10-21.168	2037+511	094-14	23.21	1.0	0.519	0.0106 53	25.7	7.8	0.00 0.00 -2.70	-51 43	20.6 51	80.9	2.6 -0.1	13.6 -112.4	0.330 5.5E-3	0.368 0.015	16.8 0.3	-1.3 -0.3
2014-10-21.169	2037+511	094-14	23.23	1.1	0.518	0.0105 53	25.5	7.8	0.00 0.00 -0.30	-51 43	20.6 51	80.6	-3.2 -0.0	7.8 -112.5	0.370 6.2E-3	0.425 8.0E-3	16.4 0.3	-2.7 6.3
# Tue Oct 21 23:52:15 UTC 2014 - Scan 175 was done under poor tracking conditions due to increasing wind. Scan was however finished.
2014-10-22.1	Uranus	109-14	2.50	2.1	0.537	0.0147 66	25.6	7.1	0.00 0.00 -1.37	-111 33	0.9 5	48.3	-3.0 1.0	14.7 -102.9	8.57 0.16	21.2 0.86	25.0 0.4	-2.4 -2.6
2014-10-22.2	Uranus	109-14	2.59	1.1	0.524	0.0195 64	25.1	7.1	0.00 0.00 -1.37	-110 32	0.9 5	48.7	-1.9 1.7	15.7 -103.0	6.91 0.057	11.6 0.077	17.3 0.1	6.7 5.0
