# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-10-22.56	1055+018	117-14	7.90	1.1	0.370	0.0141 104	25.7	6.0	0.00 0.00 -1.00	149 50	11.0 2	-24.0	-1.5 1.7	-0.2 -61.9	1.90 0.013	2.29 0.012	15.1 0.1	-3.6 3.8
2014-10-22.57	1055+018	117-14	7.92	1.1	0.369	0.0141 102	25.5	5.9	0.00 0.00 -2.80	150 50	11.0 2	-23.6	2.7 -1.8	4.1 -65.3	1.43 0.013	1.79 0.014	16.1 0.1	-6.6 3.7
2014-10-22.58	1055+018	117-14	7.94	1.1	0.368	0.0144 104	25.4	5.9	0.00 0.00 -0.40	150 51	11.0 2	-23.2	-3.2 1.9	-1.7 -61.6	1.52 0.014	1.96 0.012	16.5 0.2	-4.6 5.4
# Wed Oct 22 08:00:59 UTC 2014 - Alex Karim: Tau still falling, now below 0.3, cirrus still around. New focus -1.6, was -1.4.
# Wed Oct 22 08:52:40 UTC 2014 - Alex Karim: Had to abort the scan, GISMO started heating up around 8:40am. UT
# Wed Oct 22 09:46:09 UTC 2014 - JLS; Recycling , Zero bias, Crate and Tower off. Cap in place.
2014-10-22.66	1800+440	111-14	11.79	2.1	0.208	0.0210 97	25.5	8.2	0.00 0.00 -1.60	60 41	18.0 44	-74.2	-0.5 0.4	-10.6 -91.9	0.395 5.1E-3	0.385 5.4E-3	15.9 0.2	-1.1 0.8
2014-10-22.73	1800+440	111-14	12.91	2.0	0.154	0.0182 98	25.2	9.9	0.00 0.00 -1.60	63 52	18.0 44	-83.4	-0.2 -0.2	-15.1 -81.7	0.368 3.4E-3	0.379 4.6E-3	16.3 0.1	-4.0 1.5
2014-10-22.83	1800+440	111-14	13.91	2.0	0.201	0.0195 98	25.4	9.5	0.00 0.00 -1.60	64 63	18.0 44	-93.4	2.2 -0.4	-16.9 -71.1	0.365 4.7E-3	0.388 5.5E-3	16.3 0.2	-3.5 2.6
2014-10-22.84	1800+440	111-14	14.01	1.1	0.218	0.0172 98	24.7	9.5	0.00 0.00 -1.60	64 64	18.0 44	-94.5	1.1 0.4	-18.4 -69.2	0.328 6.8E-3	0.326 5.8E-3	15.5 0.3	-1.5 2.1
2014-10-22.85	1800+440	111-14	14.03	1.1	0.224	0.0156 98	24.7	9.5	0.00 0.00 -2.20	64 64	18.0 44	-94.7	-1.0 -0.2	-21.1 -69.6	0.300 5.2E-3	0.318 5.5E-3	15.9 0.3	-2.5 0.0
2014-10-22.86	1800+440	111-14	14.05	1.1	0.197	0.0142 98	24.7	9.5	0.00 0.00 -1.00	64 65	18.0 44	-95.0	-1.2 0.8	-21.0 -68.9	0.269 4.5E-3	0.265 5.0E-3	15.5 0.3	-2.1 1.5
2014-10-22.87	1800+440	111-14	14.07	1.1	0.190	0.0162 98	24.8	9.5	0.00 0.00 -2.80	64 65	18.0 44	-95.3	0.3 -1.0	-19.6 -69.2	0.201 5.5E-3	0.241 7.3E-3	17.1 0.5	-6.6 -1.7
2014-10-22.88	1800+440	111-14	14.09	1.1	0.191	0.0160 98	24.7	9.5	0.00 0.00 -0.40	64 65	18.0 44	-95.6	-2.9 2.8	-22.8 -65.8	0.193 4.7E-3	0.222 7.6E-3	16.8 0.4	-2.3 2.3
2014-10-22.92	Mars	111-14	15.10	2.0	0.332	0.0355 95	26.2	9.0	0.00 0.00 -1.60	167 27	17.8 -25	-11.3	-0.9 2.3	5.8 -72.0	25.1 0.13	50.7 0.16	22.5 0.1	-3.7 -2.9
2014-10-22.93	Mars	111-14	15.19	1.1	0.330	0.0349 92	25.7	9.0	0.00 0.00 -1.60	168 27	17.8 -25	-10.2	-2.4 -0.5	4.6 -75.0	28.5 0.22	57.5 0.30	20.9 0.1	-3.9 1.0
2014-10-22.94	Mars	111-14	15.21	1.0	0.330	0.0491 97	25.5	8.9	0.00 0.00 -2.20	169 27	17.8 -25	-9.9	-0.2 3.5	6.8 -71.1	29.7 0.29	55.9 0.65	20.6 0.2	1.8 -0.1
2014-10-22.95	Mars	111-14	15.23	1.0	0.330	0.0281 99	25.7	8.9	0.00 0.00 -1.00	169 27	17.8 -25	-9.6	2.4 1.7	9.5 -72.9	28.3 0.081	55.9 0.093	22.4 0.1	1.9 7.5
2014-10-22.96	Mars	111-14	15.25	1.0	0.330	0.0399 98	25.9	8.9	0.00 0.00 -2.80	169 27	17.8 -25	-9.3	3.9 2.2	11.4 -72.5	26.5 0.13	58.1 0.90	23.9 0.1	-6.6 -3.8
2014-10-22.97	Mars	111-14	15.28	1.0	0.329	0.0340 100	25.8	9.0	0.00 0.00 -0.40	170 27	17.8 -25	-9.0	0.9 -0.3	8.1 -75.1	18.2 0.14	55.9 0.55	27.4 0.2	3.0 8.8
2014-10-22.98	Mars	111-14	15.34	1.0	0.327	0.0257 99	25.7	9.0	0.00 0.00 -1.85	171 27	17.8 -25	-8.2	-1.0 -0.8	6.4 -75.7	30.4 0.074	57.0 0.27	22.2 0.0	-3.3 0.7
2014-10-22.99	Mars	111-14	15.36	1.0	0.326	0.0395 99	25.8	9.0	-2.00 0.00 -1.85	171 27	17.8 -25	-7.9	-2.4 1.2	4.9 -73.7	34.0 0.15	61.4 0.17	22.0 0.1	-2.3 1.7
2014-10-22.100	Mars	111-14	15.38	1.0	0.323	0.0323 97	26.1	9.0	2.00 0.00 -1.85	171 27	17.8 -25	-7.6	1.8 -3.4	9.2 -78.4	25.5 0.21	56.8 0.47	23.2 0.2	-1.7 2.3
2014-10-22.101	Mars	111-14	15.41	1.0	0.323	0.0332 100	26.0	9.0	-4.00 0.00 -1.85	172 28	17.8 -25	-7.3	-0.9 6.7	6.6 -68.4	23.5 0.12	55.5 0.17	24.4 0.1	-1.1 4.0
2014-10-22.102	Mars	111-14	15.43	1.0	0.322	0.0310 97	25.7	9.0	4.00 0.00 -1.85	172 28	17.8 -25	-7.0	5.5 -2.1	13.2 -77.2	18.5 0.093	52.0 0.35	26.6 0.1	6.1 7.3
2014-10-22.103	Mars	111-14	15.48	1.0	0.321	0.0206 99	25.7	9.0	-0.75 0.00 -1.85	173 28	17.8 -25	-6.3	0.7 -5.9	8.3 -81.2	36.8 0.060	57.7 0.074	20.4 0.0	-0.4 5.7
2014-10-22.104	Mars	111-14	15.50	1.0	0.320	0.0275 99	25.7	9.1	-0.75 -2.00 -1.85	173 28	17.8 -25	-6.0	3.4 -1.5	11.1 -76.8	30.9 0.078	58.3 0.087	22.4 0.0	-0.5 4.8
2014-10-22.105	Mars	111-14	15.53	1.0	0.335	0.0327 97	25.9	9.2	-0.75 2.00 -1.85	173 28	17.8 -25	-5.7	-1.0 1.7	6.9 -73.7	30.6 0.12	59.2 0.26	22.0 0.1	2.1 5.5
2014-10-22.106	Mars	111-14	15.55	1.0	0.335	0.0326 97	25.8	9.2	-0.75 -4.00 -1.85	174 28	17.8 -25	-5.4	9.3 -0.9	17.1 -76.3	21.5 0.13	57.4 0.38	26.0 0.1	12.5 12.5
2014-10-22.107	Mars	111-14	15.57	1.0	0.335	0.0228 99	25.8	9.2	-0.75 4.00 -1.85	174 28	17.8 -25	-5.1	-5.5 0.1	2.3 -75.5	26.3 0.065	54.2 0.081	23.6 0.0	-3.9 5.1
2014-10-22.108	Mars	111-14	15.63	2.0	0.327	0.0258 97	26.1	9.2	-0.75 0.39 -1.85	175 28	17.8 -25	-4.1	1.2 1.4	9.2 -74.4	31.6 0.061	56.7 0.071	21.8 0.0	-2.5 2.1
2014-10-22.111	1800+440	111-14	16.38	2.0	0.284	0.0149 96	26.1	9.3	-0.75 0.39 -1.85	-16 83	18.0 44	160.5	0.3 -0.2	-8.2 -72.3	0.394 3.8E-3	0.363 4.1E-3	15.4 0.1	-1.5 0.9
2014-10-22.112	1800+440	111-14	16.49	2.0	0.282	0.0137 96	26.1	9.4	-0.75 0.39 -1.85	-25 82	18.0 44	150.9	0.3 -0.0	-4.9 -73.6	0.425 3.6E-3	0.448 3.8E-3	16.0 0.1	-1.2 2.2
2014-10-22.113	1800+440	111-14	18.66	2.0	0.239	0.0178 98	25.4	7.4	-0.75 0.39 -1.85	-64 61	18.0 44	90.9	0.4 0.4	8.9 -90.1	0.470 4.2E-3	0.450 4.9E-3	16.1 0.1	-1.9 1.6
2014-10-22.114	1800+440	111-14	18.74	1.1	0.239	0.0150 97	25.0	7.4	-0.75 0.39 -1.85	-64 60	18.0 44	90.2	0.1 0.1	8.7 -91.2	0.444 5.8E-3	0.443 5.9E-3	15.8 0.2	-1.0 1.4
2014-10-22.115	1800+440	111-14	18.76	1.1	0.239	0.0154 96	25.0	7.4	-0.75 0.39 -2.45	-64 60	18.0 44	90.0	1.1 -0.5	9.6 -92.0	0.422 5.4E-3	0.417 6.7E-3	16.1 0.2	-1.5 0.6
2014-10-22.116	1800+440	111-14	18.78	1.1	0.239	0.0214 95	24.9	7.4	-0.75 0.39 -1.25	-64 60	18.0 44	89.7	-2.2 0.6	6.3 -91.2	0.432 5.7E-3	0.407 6.4E-3	15.4 0.2	-1.5 3.8
2014-10-22.117	1800+440	111-14	18.80	1.0	0.240	0.0162 96	25.0	7.4	-0.75 0.39 -3.05	-64 60	18.0 44	89.5	1.9 -0.6	9.8 -92.7	0.305 6.0E-3	0.344 8.6E-3	17.0 0.3	-2.0 0.6
2014-10-22.118	1800+440	111-14	18.83	1.1	0.240	0.0151 96	24.9	7.4	-0.75 0.39 -0.65	-64 59	18.0 44	89.3	-2.5 3.2	6.1 -89.1	0.339 4.8E-3	0.358 7.4E-3	16.5 0.2	-2.7 3.0
# Wed Oct 22 19:35:15 UTC 2014 - Jens Erler: Continued observations for project 111-14 after second recycling for today. Focus was calibrated in all 3 directions. Weather looks good, Tau is stable at ~0.25.
# Wed Oct 22 20:04:51 UTC 2014 - Scan 131 might be corrupted due to the operator walking into the beam. Crush might be able to handle this problem.
2014-10-22.135	1800+440	111-14	20.36	2.1	0.207	0.0151 90	25.4	7.7	-0.75 0.39 -1.70	-61 43	18.0 44	75.7	-0.3 0.1	9.3 -105.3	0.431 3.9E-3	0.430 6.0E-3	15.6 0.1	-2.5 2.8
2014-10-22.152	2037+511	094-14	21.99	2.0	0.266	0.0162 101	25.5	7.9	-0.75 0.39 -1.70	-51 54	20.6 51	93.8	-0.0 -0.1	6.4 -102.4	0.805 4.7E-3	0.828 6.4E-3	15.7 0.1	-0.8 4.5
# Wed Oct 22 23:25:23 UTC 2014 - Jens Erler: Observations paused for ~30 min to refill GISMO coolants.
2014-10-22.161	W3OH	050-14	23.50	2.0	0.279	0.0184 101	26.1	7.8	-0.75 0.39 -1.70	17 63	2.5 62	-150.3	0.8 -0.8	-15.4 -85.5	2.88 0.019	3.83 0.012	16.6 0.1	-4.2 5.0
2014-10-22.162	W3OH	050-14	23.58	1.1	0.279	0.0175 100	25.5	7.9	-0.75 0.39 -1.70	16 63	2.5 62	-152.0	0.3 0.4	-15.8 -84.3	2.79 0.026	3.83 0.022	16.6 0.1	-8.1 9.2
# Wed Oct 22 23:36:25 UTC 2014 - Jens Erler: Alarm mode changed from recycling to normal bz the operator.
2014-10-22.163	W3OH	050-14	23.60	1.1	0.281	0.0235 105	25.6	7.9	-0.75 0.39 -2.30	16 63	2.5 62	-152.6	2.6 -1.3	-13.4 -86.0	1.71 0.017	2.27 0.016	17.1 0.2	1.6 2.3
2014-10-22.164	W3OH	050-14	23.63	1.1	0.281	0.0159 96	25.6	7.9	-0.75 0.39 -1.10	16 63	2.5 62	-153.2	-2.0 2.6	-17.8 -82.2	2.16 0.026	3.57 0.023	17.1 0.2	-8.9 11.4
2014-10-22.165	W3OH	050-14	23.65	1.0	0.281	0.0183 97	25.6	7.9	-0.75 0.39 -2.90	15 64	2.5 62	-153.7	3.1 -1.7	-12.8 -86.5	1.86 0.020	2.78 0.020	18.1 0.2	-4.5 4.3
2014-10-22.166	W3OH	050-14	23.67	1.1	0.283	0.0175 100	25.7	7.9	-0.75 0.39 -0.50	15 64	2.5 62	-154.3	-2.6 1.7	-18.5 -83.1	2.20 0.019	3.11 0.017	17.9 0.1	-6.1 8.9
2014-10-23.5	0059+581	050-14	0.81	2.1	0.287	0.0199 101	25.9	7.5	-0.75 0.39 -1.70	-29 63	1.0 58	132.6	-0.2 -0.3	-0.8 -92.8	1.77 0.010	1.91 6.4E-3	15.2 0.1	-1.5 2.8
2014-10-23.9	W3OH	050-14	1.51	2.0	0.266	0.0184 99	26.2	7.1	-0.75 0.39 -1.70	-14 64	2.5 62	154.4	-0.0 1.4	-5.8 -89.6	2.49 0.022	3.67 0.015	17.3 0.1	-3.8 5.8
2014-10-23.15	0528+134	050-14	2.66	2.0	0.240	0.0165 99	26.0	6.8	-0.75 0.39 -1.70	146 63	5.5 14	-26.6	-0.0 -1.2	2.2 -51.0	0.295 3.4E-3	0.283 3.9E-3	15.6 0.2	-0.2 4.1
2014-10-23.21	W3OH	050-14	3.88	2.0	0.201	0.0192 99	25.8	6.6	-0.75 0.39 -1.70	-34 51	2.5 62	106.0	-0.5 1.2	2.1 -99.5	2.74 0.020	3.80 0.013	17.0 0.1	-5.7 3.9
2014-10-23.22	0439+360	test	4.01	2.0	0.198	0.0188 96	25.2	6.6	-0.75 0.39 -1.70	-89 76	4.7 36	81.0	0.0 0.1	15.1 -68.2	1.76 9.0E-3	1.94 6.7E-3	15.4 0.1	-2.5 5.5
# Thu Oct 23 05:23:45 UTC 2014 - Alex Karim: Tau is slightly below 0.3 and quite stable. Moving now to project 117-14.
2014-10-23.31	0851+202	117-14	5.44	2.1	0.252	0.0182 94	25.4	8.3	-0.75 0.39 -1.70	122 63	8.9 20	-45.7	-0.4 0.2	-7.0 -51.6	2.22 0.013	2.79 0.012	15.4 0.1	-6.6 7.3
# Thu Oct 23 05:32:15 UTC 2014 - Alex Karim: Seems number of good pixels was consistently low throughout the last hours, below 100 and later below 95. Re-biased to 10000 and check if it improves.
# Thu Oct 23 05:42:27 UTC 2014 - Alex Karim: Number of good pixels improved with bias 10000.
# Thu Oct 23 07:26:11 UTC 2014 - Alex Karim: Skies after sunrise not as clear as before but tau still stable below 0.3. Time for the after-sunrise focus.
2014-10-23.44	1055+018	117-14	7.43	2.0	0.274	0.0186 103	25.8	7.3	-0.75 0.39 -1.70	141 48	11.0 2	-29.9	0.3 0.1	0.4 -61.8	2.72 0.010	2.97 9.5E-3	15.7 0.1	-3.0 3.1
2014-10-23.45	1055+018	117-14	7.49	1.1	0.276	0.0172 103	25.4	7.4	-0.75 0.39 -1.50	142 48	11.0 2	-29.2	-0.4 0.4	0.0 -61.1	2.47 0.016	2.97 0.014	14.1 0.1	-2.7 7.9
2014-10-23.46	1055+018	117-14	7.51	1.1	0.276	0.0191 99	25.4	7.4	-0.75 0.39 -2.10	143 48	11.0 2	-28.9	1.4 0.3	1.9 -61.1	2.19 0.013	2.56 0.013	15.0 0.1	-2.2 3.4
2014-10-23.47	1055+018	117-14	7.53	1.1	0.276	0.0167 103	25.5	7.4	-0.75 0.39 -0.90	143 48	11.0 2	-28.6	-1.5 0.6	-1.0 -60.6	2.14 0.014	2.60 0.014	15.4 0.1	-2.4 7.3
2014-10-23.48	1055+018	117-14	7.55	1.1	0.276	0.0176 103	25.2	7.3	-0.75 0.39 -2.70	143 48	11.0 2	-28.2	4.0 -1.0	4.7 -62.1	1.66 0.015	2.13 0.015	16.5 0.1	2.8 4.0
2014-10-23.49	1055+018	117-14	7.58	1.1	0.276	0.0160 103	25.3	7.4	-0.75 0.39 -0.30	144 49	11.0 2	-27.9	-3.1 0.6	-2.3 -60.4	1.69 0.014	2.14 0.012	16.9 0.1	-4.4 7.0
# Thu Oct 23 07:37:58 UTC 2014 - Alex Karim: Sun now above summit, focus changed from -1.7 to -1.5. Similar to yesterday.
# Thu Oct 23 09:19:59 UTC 2014 - JLS; Recycling , Zero bias, Crate and Tower off. Cap in place.
# Thu Oct 23 10:19:38 UTC 2014 - Alex Karim: will proceed after Helium refill. Might squeeze out another hour of 117-14.
# Thu Oct 23 10:33:20 UTC 2014 - Alex Karim: We start with standard 8000 bias after refill. Tau still low but slightly increased to 0.3. Will have an eye on the ok channels.
2014-10-23.55	0851+202	117-14	10.56	2.1	0.337	0.0140 101	25.3	9.7	-0.75 0.39 -1.50	-95 41	8.9 20	57.8	-0.0 -0.1	14.3 -100.4	2.54 9.7E-3	2.92 9.0E-3	15.5 0.1	-3.4 0.8
2014-10-23.56	0823+033	117-14	10.64	2.0	0.338	0.0123 100	25.2	9.6	-0.75 0.39 -1.50	-106 24	8.4 3	50.4	-0.3 -0.2	12.1 -102.2	0.561 4.2E-3	0.592 4.0E-3	16.2 0.1	-3.0 -1.7
# Thu Oct 23 10:43:19 UTC 2014 - Alex Karim: PaKo didn't seem to recognize the set pointing so that I did another one. Pako worked now. Array looks good even at low elevation.
# Thu Oct 23 12:23:23 UTC 2014 - Alex Karim: COSMOS was setting. However, GISMO started heating up unexpectedly so that we had to abort the last scan. Will need another recycle and proceed later.
2014-10-23.69	Mars	050-14	15.20	2.0	0.269	0.0245 99	26.2	8.9	0.00 0.00 0.00	169 27	17.8 -25	-9.7	-2.6 -2.8	2.7 -82.9	27.1 0.085	59.2 0.083	23.9 0.1	-3.7 -6.7
2014-10-23.70	Mars	test	15.57	1.0	0.266	0.0220 98	25.7	8.9	-0.75 0.39 -1.50	174 28	17.8 -25	-5.0	0.9 -1.2	7.4 -81.8	37.0 0.066	61.1 0.080	20.9 0.0	-3.0 1.0
2014-10-23.71	Mars	test	15.59	1.0	0.267	0.0200 98	25.7	8.8	-0.75 0.39 -2.10	175 28	17.8 -25	-4.7	3.6 0.1	10.1 -80.5	30.9 0.066	62.0 0.088	22.8 0.0	-4.3 -1.5
2014-10-23.72	Mars	test	15.61	1.0	0.267	0.0249 98	25.7	8.9	-0.75 0.39 -0.90	175 28	17.8 -25	-4.4	0.1 4.2	6.7 -76.5	37.2 0.078	60.9 0.087	20.4 0.0	-2.4 -0.3
#.2014-10-23.73	Mars	test	15.63	1.0	0.267	0.0972 91	25.6	8.9	-0.75 0.39 -2.70	175 28	17.8 -25	-4.1	12.4 10.1	19.6 -70.6	20.6 0.16	54.3 0.20	26.5 0.2	1.3 -1.6
2014-10-23.74	Mars	test	15.66	1.0	0.258	0.0329 97	25.9	8.8	-0.75 0.39 -0.30	176 28	17.8 -25	-3.8	-2.4 0.5	4.3 -80.3	33.1 0.11	58.7 1.5	21.3 0.1	-1.4 -1.6
2014-10-23.75	Mars	050-14	15.72	2.0	0.257	0.0235 96	26.3	8.8	-0.75 0.39 -1.20	177 28	17.8 -25	-2.8	1.0 -1.1	7.9 -82.1	36.0 0.054	61.2 0.064	21.2 0.0	-1.5 0.2
2014-10-23.76	Mars	test	15.82	2.0	0.256	0.0280 97	26.2	8.7	-0.75 0.39 -1.20	178 28	17.8 -25	-1.4	-0.1 -0.9	7.1 -82.2	40.3 0.10	62.4 0.090	19.9 0.0	-6.3 -1.8
2014-10-23.88	Mars	050-14	16.75	2.0	0.285	0.0182 97	26.1	8.3	-0.75 0.39 -1.20	-168 27	17.8 -25	11.0	0.6 -0.1	10.6 -85.6	43.3 0.055	64.9 0.075	19.9 0.0	-1.5 0.9
2014-10-23.101	1800+440	111-14	17.92	2.0	0.239	0.0152 99	25.4	7.8	-0.75 0.39 -1.20	-63 68	18.0 44	99.4	-0.2 -2.8	10.4 -93.2	0.387 3.8E-3	0.391 3.8E-3	15.5 0.2	0.3 1.4
2014-10-23.102	1800+440	111-14	18.06	1.0	0.226	0.0152 101	24.8	7.7	-0.75 0.39 -1.20	-63 67	18.0 44	97.5	0.2 -0.0	11.1 -92.0	0.435 5.9E-3	0.440 4.8E-3	15.9 0.2	0.7 1.3
2014-10-23.103	1800+440	111-14	18.08	1.1	0.225	0.0166 101	24.7	7.7	-0.75 0.39 -1.80	-63 67	18.0 44	97.2	1.5 -1.6	12.5 -93.8	0.379 6.2E-3	0.419 7.4E-3	16.4 0.3	-1.9 3.3
2014-10-23.104	1800+440	111-14	18.10	1.1	0.224	0.0170 101	24.9	7.6	-0.75 0.39 -0.60	-63 67	18.0 44	96.9	-0.7 0.1	10.3 -92.3	0.436 6.5E-3	0.462 6.9E-3	16.1 0.2	-1.5 4.5
2014-10-23.105	1800+440	111-14	18.13	1.1	0.224	0.0165 101	24.8	7.6	-0.75 0.39 -2.40	-63 66	18.0 44	96.6	2.3 -2.0	13.4 -94.6	0.253 7.5E-3	0.312 7.2E-3	17.3 0.5	-2.3 -1.7
2014-10-23.106	1800+440	111-14	18.15	1.0	0.219	0.0154 101	25.1	7.6	-0.75 0.39 -1.00	-63 66	18.0 44	96.3	-0.2 0.6	10.8 -92.3	0.464 5.3E-3	0.483 5.3E-3	16.0 0.2	-1.5 1.6
2014-10-23.107	1800+440	111-14	18.19	1.1	0.218	0.0158 101	24.9	7.7	-0.75 0.39 -1.20	-64 66	18.0 44	95.7	-1.5 0.1	9.6 -93.3	0.401 5.8E-3	0.407 5.3E-3	15.7 0.2	-2.9 5.6
# Thu Oct 23 18:14:08 UTC 2014 - Jens Erler: Trying to optimize the number of channels by increasing the bias. First tried a bias of 9000 for which no calibration exists. Affected scans are 102-106. Now bias is 10000.
2014-10-23.108	1800+440	111-14	18.21	1.1	0.220	0.0141 101	24.8	7.7	-0.75 0.39 -1.80	-64 65	18.0 44	95.5	0.7 -0.2	11.9 -93.8	0.356 4.7E-3	0.374 6.7E-3	16.1 0.2	-3.0 1.5
2014-10-23.109	1800+440	111-14	18.24	1.1	0.220	0.0137 101	24.9	7.7	-0.75 0.39 -0.60	-64 65	18.0 44	95.2	-1.5 1.8	9.7 -92.1	0.413 4.1E-3	0.444 6.1E-3	16.4 0.2	-0.2 3.4
2014-10-23.110	1800+440	111-14	18.26	1.1	0.220	0.0142 101	24.9	7.7	-0.75 0.39 -2.40	-64 65	18.0 44	94.9	2.0 -1.3	13.3 -95.5	0.221 5.6E-3	0.266 5.8E-3	16.9 0.4	0.9 3.2
2014-10-23.111	1800+440	111-14	18.28	1.1	0.220	0.0145 101	24.9	7.7	-0.75 0.39 -1.00	-64 65	18.0 44	94.6	-2.4 0.9	8.9 -93.5	0.425 3.8E-3	0.421 5.8E-3	15.7 0.1	-3.4 2.1
2014-10-23.112	1800+440	111-14	18.36	2.0	0.223	0.0179 101	25.4	7.8	-0.75 0.39 -1.00	-64 64	18.0 44	93.6	-2.6 2.6	8.8 -92.7	0.449 4.5E-3	0.430 3.8E-3	15.5 0.2	-3.2 1.3
2014-10-23.129	1800+440	111-14	19.96	2.0	0.212	0.0133 101	25.2	8.2	-0.75 0.39 -1.00	-62 47	18.0 44	78.5	-0.2 0.7	8.9 -108.4	0.469 3.0E-3	0.467 3.7E-3	16.0 0.1	-2.1 2.4
2014-10-23.146	2037+511	094-14	21.68	2.0	0.261	0.0173 101	25.4	7.3	-0.75 0.39 -1.00	-51 56	20.6 51	96.9	-0.1 0.7	4.4 -103.6	0.768 5.3E-3	0.808 6.0E-3	16.0 0.1	-3.5 3.8
2014-10-23.163	Uranus	test	23.35	2.0	0.284	0.0146 103	26.3	6.4	-0.75 0.39 -1.00	-169 57	0.9 5	9.5	-0.6 0.0	11.7 -62.8	12.7 0.017	18.2 0.021	19.2 0.0	-5.9 3.0
2014-10-23.164	Uranus	test	23.41	1.1	0.274	0.0144 104	25.6	6.4	-0.75 0.39 -1.00	-167 57	0.9 5	10.6	-0.2 -0.2	12.4 -63.6	12.7 0.017	17.6 0.017	19.1 0.0	-4.4 2.3
2014-10-23.165	Uranus	test	23.43	1.1	0.271	0.0132 104	25.7	6.3	-0.75 0.39 -1.60	-166 57	0.9 5	11.0	1.0 -0.8	13.8 -64.5	13.5 0.015	18.0 0.019	18.6 0.0	-4.3 3.0
2014-10-23.166	Uranus	test	23.46	1.1	0.271	0.0137 103	25.7	6.3	-0.75 0.39 -0.40	-166 57	0.9 5	11.5	-1.7 0.9	11.2 -63.0	10.1 0.016	17.7 0.14	21.1 0.0	-6.3 4.0
2014-10-23.167	Uranus	test	23.48	1.1	0.270	0.0128 103	25.5	6.3	-0.75 0.39 -2.20	-165 57	0.9 5	12.0	2.7 -1.0	15.8 -65.2	12.5 0.017	17.7 0.16	19.1 0.0	-3.4 1.6
2014-10-23.168	Uranus	test	23.50	1.1	0.270	0.0130 104	25.4	6.3	-0.75 0.39 0.20	-165 57	0.9 5	12.5	-2.8 2.1	10.4 -62.3	6.52 0.014	17.2 0.022	26.0 0.0	-4.2 4.1
2014-10-23.169	0439+360	050-14	23.64	2.0	0.250	0.0120 108	25.2	6.1	-0.75 0.39 -1.55	77 52	4.7 36	-74.1	-0.5 -0.3	-16.5 -76.0	1.17 8.2E-3	1.40 6.5E-3	15.5 0.1	-2.1 7.3
2014-10-24.5	0439+360	050-14	0.75	2.0	0.288	0.0171 103	25.2	5.3	-0.75 0.39 -1.55	83 65	4.7 36	-78.6	0.1 -0.3	-19.5 -62.8	1.73 9.0E-3	2.01 7.2E-3	15.9 0.1	-3.5 3.1
2014-10-24.12	0439+360	050-14	1.86	2.1	0.284	0.0155 103	25.3	5.1	-0.75 0.39 -1.55	90 79	4.7 36	-81.1	0.2 -0.2	-21.7 -45.2	1.54 7.3E-3	1.81 6.1E-3	16.0 0.1	-0.9 3.1
2014-10-24.25	0851+202	117-14	4.36	2.1	0.324	0.0145 106	25.2	6.3	-0.75 0.39 -1.55	105 52	8.9 20	-54.9	-0.2 -1.2	-10.9 -63.5	2.58 0.010	2.91 7.5E-3	15.3 0.1	-2.1 2.6
2014-10-24.26	0851+202	117-14	4.41	1.1	0.315	0.0140 102	24.7	6.4	-0.75 0.39 -1.55	106 52	8.9 20	-54.7	-0.7 1.0	-11.4 -60.5	1.79 0.016	2.58 0.015	14.5 0.1	-3.3 6.8
2014-10-24.27	0851+202	117-14	4.43	1.1	0.315	0.0145 101	24.8	6.4	-0.75 0.39 -2.15	106 53	8.9 20	-54.5	1.7 -0.2	-9.2 -61.5	1.77 0.013	2.32 0.014	15.3 0.1	-4.6 2.5
2014-10-24.28	0851+202	117-14	4.46	1.1	0.311	0.0146 104	24.7	6.5	-0.75 0.39 -0.95	107 53	8.9 20	-54.4	-1.6 1.0	-12.3 -59.9	1.96 0.016	2.57 0.014	15.6 0.1	-4.0 5.8
2014-10-24.29	0851+202	117-14	4.48	1.1	0.311	0.0137 104	24.8	6.5	-0.75 0.39 -2.75	107 53	8.9 20	-54.3	4.2 -1.5	-6.4 -62.1	1.90 0.018	2.39 0.013	15.4 0.1	1.2 5.3
2014-10-24.30	0851+202	117-14	4.50	1.1	0.311	0.0144 104	24.9	6.5	-0.75 0.39 -0.35	107 53	8.9 20	-54.1	-3.6 1.1	-14.3 -59.2	1.49 0.016	2.20 0.012	17.5 0.2	-4.6 4.2
# Fri Oct 24 05:27:20 UTC 2014 - Alex Karim: Stable tau at 0.3. Last focus changed quite a bit compared to the previous value. Will monitor again after sunset on project test.
2014-10-24.47	1055+018	test	7.11	2.1	0.301	0.0142 104	25.8	6.8	-0.75 0.39 -1.90	136 46	11.0 2	-33.3	0.6 0.4	-0.2 -64.0	2.47 0.013	3.08 8.8E-3	14.7 0.1	-1.0 3.8
