0	0.139	0.022	-7.161E-5	0.025	0
1	0.193	0.029	-9.373E-5	0.029	1
2	-0.065	0.087	1.927E-4	0.011	1
3	-0.009	-0.009	1.494E-4	0.018	1
5	0.457	0.272	-1.906E-4	0.034	0
6	0.543	0.233	-2.483E-4	0.031	0
7	0.452	0.158	-2.097E-4	0.028	0
8	-0.054	0.039	1.389E-4	0.011	0
9	-0.042	0.057	1.419E-4	0.012	0
10	-0.027	0.071	1.432E-4	0.010	0
12	0.666	0.054	-3.084E-4	0.028	0
13	0.679	0.109	-3.224E-4	0.028	0
14	0.721	0.099	-3.477E-4	0.048	0
15	0.614	0.051	-2.929E-4	0.034	0
17	-0.060	0.113	1.559E-4	0.017	0
18	-0.022	0.117	1.580E-4	0.014	0
19	-0.026	0.080	1.426E-4	0.012	0
21	0.545	0.144	-2.813E-4	0.021	0
22	0.638	0.218	-3.078E-4	0.023	0
23	0.608	0.177	-2.839E-4	0.021	0
24	-0.014	0.012	7.298E-5	0.009	0
25	-0.021	0.077	1.262E-4	0.009	0
26	0.010	0.090	1.070E-4	0.011	1
27	0.014	0.100	1.228E-4	0.013	0
28	0.616	0.172	-3.161E-4	0.025	0
29	0.855	-0.202	-4.106E-4	0.052	0
30	0.704	-0.038	-3.667E-4	0.049	0
31	0.568	0.164	-2.354E-4	0.022	0
32	-0.018	0.026	8.006E-5	0.011	0
33	-0.023	0.023	1.094E-4	0.010	0
34	-0.000	0.034	1.325E-4	0.013	0
35	-0.021	0.086	1.097E-4	0.011	0
36	0.857	0.346	-4.938E-4	0.029	0
37	0.787	0.017	-4.179E-4	0.047	0
38	0.892	-0.141	-4.129E-4	0.064	0
39	0.683	0.043	-3.556E-4	0.030	0
40	-0.029	0.035	1.248E-4	0.011	0
41	-0.030	0.058	1.195E-4	0.009	0
42	-0.032	0.045	1.302E-4	0.009	0
43	0.007	0.096	9.837E-5	0.014	0
44	0.782	0.421	-4.036E-4	0.037	0
45	0.587	0.325	-3.442E-4	0.032	0
46	0.562	0.166	-2.998E-4	0.030	0
48	-0.032	0.059	1.071E-4	0.010	0
49	-0.003	0.050	8.508E-5	0.010	0
51	0.017	0.108	9.220E-5	0.024	0
52	0.817	0.394	-4.409E-4	0.024	0
53	0.682	0.144	-3.731E-4	0.034	0
55	0.610	0.009	-3.105E-4	0.028	0
56	-0.036	0.022	1.216E-4	0.011	0
57	0.004	0.073	1.127E-4	0.012	0
58	0.071	0.100	8.052E-5	0.011	0
59	0.034	0.181	7.149E-5	0.012	0
60	0.555	0.141	-2.306E-4	0.026	0
61	0.526	0.113	-2.483E-4	0.021	0
62	0.413	0.309	-1.482E-4	0.035	0
63	0.516	0.175	-2.561E-4	0.034	0
64	0.233	-0.037	-7.214E-5	0.025	0
65	0.339	0.012	-8.849E-5	0.023	0
67	0.221	0.056	-4.167E-5	0.025	1
68	0.026	0.045	1.970E-5	0.008	0
71	0.006	0.026	3.924E-5	0.007	0
72	0.132	0.019	-2.199E-5	0.011	0
74	0.139	0.072	-1.254E-5	0.010	0
76	0.003	-0.015	5.666E-5	0.018	1
77	0.987	-0.533	-3.327E-4	0.115	0
82	0.176	0.008	-3.504E-5	0.023	0
83	0.274	0.011	-5.738E-5	0.019	0
85	0.014	0.050	1.808E-5	0.008	0
87	0.007	0.033	3.311E-5	0.013	1
90	0.142	0.013	-5.346E-6	0.015	0
91	0.097	0.045	4.656E-5	0.013	0
92	-0.000	0.036	4.743E-5	0.005	1
93	0.005	0.033	4.136E-5	0.007	1
94	0.010	-0.005	3.026E-5	0.010	0
95	0.006	0.007	3.249E-5	0.007	0
96	0.238	-0.040	-5.554E-5	0.024	0
97	0.205	-0.013	-1.882E-5	0.026	0
98	0.213	0.050	-3.510E-5	0.011	0
99	0.173	-0.008	-2.207E-5	0.020	0
100	0.002	0.071	6.114E-5	0.008	0
101	0.024	0.076	3.007E-5	0.023	0
102	0.163	-0.441	6.405E-5	0.001	0
103	-0.043	0.147	3.286E-5	0.025	0
104	0.239	-0.054	-5.908E-5	0.021	0
105	0.216	-0.017	-3.261E-5	0.021	0
106	0.167	-0.013	-3.641E-5	0.016	0
108	-0.002	0.043	5.484E-5	0.007	0
109	0.009	0.018	2.757E-5	0.010	0
110	0.023	0.102	1.472E-6	0.017	0
111	0.508	-0.052	-8.475E-5	0.040	0
112	0.220	-0.008	-5.035E-5	0.016	0
113	0.226	0.013	-4.258E-5	0.025	0
114	0.167	0.032	-4.415E-6	0.015	0
115	0.225	-0.014	-2.663E-5	0.016	0
116	-0.011	0.036	7.665E-5	0.006	0
117	0.007	0.008	3.471E-5	0.006	0
118	0.012	0.013	2.380E-5	0.007	0
119	0.006	0.003	3.734E-5	0.007	0
120	0.140	-0.045	-2.234E-5	0.019	0
121	0.239	0.015	-5.139E-5	0.014	0
122	0.295	-0.014	-8.796E-5	0.020	0
123	0.151	0.049	-2.531E-5	0.047	1
124	-0.015	0.054	7.052E-5	0.011	1
125	-0.060	-0.011	1.870E-4	0.012	2
126	0.002	0.016	4.607E-5	0.006	0
127	0.011	0.009	2.022E-5	0.006	1
