# SHARC2 Non-linearity Coefficients 
#
# row	col	G(eps=0)	I0(Vb=1V)	T0 (K))
# ----- ------- --------------  --------------- ----------
5	28	1.026687	1.0429E-2	700.614441
5	29	1.035440	1.0346E-2	693.117798
5	30	1.028158	1.0182E-2	686.402771
5	31	1.039558	9.7410E-3	656.826782
5	32	1.003009	8.9326E-3	622.633789
6	1	1.091220	1.0254E-2	657.838684
6	2	1.068217	1.0699E-2	690.773926
6	3	1.079733	1.0706E-2	685.029968
6	4	1.102657	1.0791E-2	679.612305
6	5	1.078620	1.1422E-2	720.873291
6	6	1.111186	1.1812E-2	732.165833
6	7	1.109285	1.1653E-2	725.374268
6	8	1.139007	1.2214E-2	740.867676
6	9	1.132460	1.2346E-2	751.254883
6	10	1.130547	1.2530E-2	763.114136
6	11	1.147639	1.2539E-2	755.565857
6	12	1.119737	1.2387E-2	755.196106
6	13	1.122061	1.2255E-2	743.771790
6	14	1.127258	1.2302E-2	746.017883
6	15	1.124041	1.2258E-2	746.069519
6	16	1.127522	1.2206E-2	742.111755
6	17	1.119095	1.2151E-2	747.927612
6	18	1.102482	1.2272E-2	760.514832
6	19	1.126673	1.2196E-2	747.381653
6	21	1.114198	1.2118E-2	749.995239
6	22	1.124665	1.1860E-2	730.303589
6	23	1.114850	1.1780E-2	731.378174
6	24	1.096831	1.1642E-2	730.474792
6	25	1.115697	1.2069E-2	746.220032
6	26	1.079985	1.1666E-2	732.095093
6	27	1.117825	1.2285E-2	757.403503
6	28	1.092240	1.2221E-2	764.402954
6	29	1.078299	1.2028E-2	763.658752
6	30	1.095050	1.1243E-2	713.015503
6	31	1.080705	1.0420E-2	671.163269
6	32	1.027341	9.6162E-3	646.089294
7	1	0.531122	5.7492E-3	720.022949
7	2	0.855782	1.0263E-2	793.081970
7	3	0.879188	1.0119E-2	768.273193
7	4	0.932003	1.0011E-2	726.001465
7	5	0.970174	9.7342E-3	687.374329
7	6	1.002199	9.7201E-3	670.160217
7	7	1.006133	9.8635E-3	675.104492
7	8	1.021518	9.9715E-3	671.732178
7	9	1.023052	1.0216E-2	681.985962
7	10	1.031700	1.0383E-2	684.845215
7	11	1.099311	1.0253E-2	660.416687
7	12	1.095550	1.0554E-2	671.744568
7	13	1.101285	1.0767E-2	680.394409
7	14	1.095477	1.0826E-2	686.111450
7	15	1.105165	1.1105E-2	693.933838
7	16	1.120955	1.1330E-2	703.869629
7	17	1.154874	1.1118E-2	680.638306
7	18	1.165378	1.1123E-2	674.522827
7	19	1.151788	1.1401E-2	694.652771
7	20	1.162689	1.1160E-2	692.670410
7	21	1.159229	1.1261E-2	697.829529
7	22	1.154030	1.1514E-2	696.820984
7	23	1.146383	1.1629E-2	702.630981
7	24	1.147981	1.1506E-2	698.366150
7	25	1.146427	1.1419E-2	694.774536
7	26	1.146425	1.1350E-2	692.651062
7	27	1.138786	1.1225E-2	689.060059
7	28	1.100538	1.1066E-2	692.638123
