# Efficiency factors for sampling the intrinsic PSF through a column 
# of 1.18 mm pixels (corresponding to the low res array)
# This is applicable to simulated data sets.
# Real data efficiencies will depend on slit size.
#     Wave[um]     Eff.
      56.6433     0.814507
      56.7892     0.814226
      56.9350     0.813305
      57.0806     0.812806
      57.2261     0.812269
      57.3716     0.811709
      57.5689     0.811517
      57.7141     0.810508
      57.8591     0.809955
      58.0040     0.809461
      58.1488     0.808772
      58.2934     0.807775
      58.4380     0.807348
      58.5824     0.806814
      58.7268     0.806071
      58.8710     0.805878
      59.0150     0.805169
      59.1590     0.804696
      59.3028     0.804005
      59.4466     0.803436
      59.5902     0.802666
      59.7337     0.802493
      59.8770     0.801812
      60.0203     0.801334
      60.1634     0.800683
      60.3064     0.799997
      60.4493     0.799307
      60.5921     0.798627
      60.7347     0.797860
      60.8772     0.797288
      61.0196     0.796843
      61.1619     0.796294
      61.3041     0.795214
      61.4461     0.795219
      61.5880     0.795294
      61.7298     0.794702
      61.8715     0.793793
      62.0130     0.793111
      63.0133     0.788549
      63.1563     0.788258
      63.2992     0.787573
      63.4420     0.786858
      63.5846     0.785982
      63.7271     0.785257
      63.8695     0.785163
      64.0117     0.784405
      64.1538     0.783359
      64.2957     0.782628
      64.4375     0.782085
      64.5792     0.781697
      64.7207     0.781304
      64.8621     0.780126
      65.0034     0.779633
      65.1445     0.778768
      65.2855     0.778158
      65.4263     0.777382
      65.5670     0.777024
      65.7076     0.776502
      65.8480     0.775574
      65.9883     0.775391
      66.1284     0.774739
      66.2684     0.774187
      66.4083     0.774201
      66.5480     0.773313
      66.6876     0.772926
      66.8270     0.772454
      66.9663     0.771454
      67.1055     0.770848
      67.2445     0.770115
      67.3834     0.769379
      67.5718     0.768140
      67.7103     0.767865
      67.8487     0.767133
      67.9870     0.766113
      68.1251     0.765250
      68.2630     0.764383
      68.4009     0.764927
      68.5385     0.763882
      68.6761     0.763313
      68.8135     0.762712
      68.9507     0.761996
      69.0878     0.761111
      69.2248     0.760596
      69.3616     0.760044
      69.4982     0.759231
      69.6348     0.758588
      69.7711     0.757458
      69.9074     0.756679
      70.0434     0.756473
      70.1794     0.756366
      70.3152     0.755791
      70.4508     0.754537
      70.5863     0.753903
      70.7216     0.753811
      70.8568     0.753055
      70.9919     0.752443
      71.1268     0.751571
      71.2615     0.750959
      71.3961     0.750089
      71.5306     0.750218
      71.6648     0.749423
      71.7990     0.748725
      71.8010     0.748725
      72.0619     0.747844
      72.3225     0.745965
      72.5831     0.744738
      72.8435     0.744428
      73.1038     0.742569
      73.3639     0.741248
      73.6238     0.739822
      73.8837     0.738701
      74.1433     0.737883
      74.4029     0.736279
      74.6622     0.735280
      74.9215     0.734066
      75.1805     0.732276
      75.4395     0.731559
      75.6982     0.730528
      75.9569     0.729021
      76.2153     0.727593
      76.4737     0.725924
      76.7318     0.725423
      76.9899     0.723736
      77.2478     0.722378
      77.5055     0.721207
      77.7631     0.720759
      78.0205     0.718656
      78.2778     0.717691
      78.5349     0.716732
      78.7919     0.714956
      79.0487     0.713919
      79.3054     0.713067
      79.5619     0.711554
      79.8183     0.710388
      80.1663     0.709542
      80.4223     0.707936
      80.6781     0.706691
      80.9338     0.705294
      81.1894     0.704929
      81.4448     0.703563
      81.7000     0.702370
      81.9551     0.700176
      82.2100     0.699602
      82.4648     0.698269
      82.7194     0.697103
      82.9739     0.695397
      83.2282     0.694127
      83.4823     0.693573
      83.7363     0.691788
      83.9901     0.690368
      84.2438     0.688894
      84.4973     0.688058
      84.7507     0.687407
      85.0039     0.686514
      85.2570     0.684784
      85.5098     0.683495
      85.7626     0.682008
      86.0151     0.681138
      86.2675     0.680316
      86.5198     0.678466
      86.7719     0.678410
      87.0238     0.677083
      87.2756     0.675768
      87.5272     0.674523
      87.7786     0.673702
      88.0299     0.672250
      89.6182     0.665663
      89.8705     0.664543
      90.1227     0.663125
      90.3746     0.662065
      90.6263     0.661021
      90.8779     0.659474
      91.1293     0.658364
      91.3804     0.656470
      91.6314     0.655841
      91.8822     0.654748
      92.1328     0.653499
      92.3832     0.651888
      92.6334     0.650836
      92.8835     0.649866
      93.1333     0.649512
      93.3829     0.647512
      93.6324     0.647228
      93.8816     0.646399
      94.1307     0.644819
      94.3796     0.643699
      94.6282     0.642753
      94.8767     0.641697
      95.1250     0.641024
      95.3731     0.639307
      95.6210     0.637442
      95.8687     0.636999
      96.1162     0.635952
      96.3635     0.635009
      96.6106     0.633464
      96.8575     0.632232
      97.1042     0.631470
      97.3507     0.631064
      97.6853     0.628711
      97.9314     0.627581
      98.1772     0.627001
      98.4229     0.625555
      98.6683     0.624576
      98.9136     0.623584
      99.1586     0.621713
      99.4035     0.622064
      99.6482     0.621594
      99.8926     0.620246
      100.137     0.619554
      100.381     0.617754
      100.625     0.617162
      100.868     0.615591
      101.112     0.615288
      101.355     0.614132
      101.598     0.612588
      101.841     0.611532
      102.084     0.611020
      102.326     0.610016
      102.568     0.609156
      102.810     0.608667
      103.052     0.606976
      103.294     0.605775
      103.535     0.605373
      103.776     0.604588
      104.017     0.602879
      104.258     0.601810
      104.499     0.600292
      104.739     0.600059
      104.979     0.599341
      105.219     0.598738
      107.114     0.590322
      107.356     0.589435
      107.598     0.587762
