# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.63184 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,9]	0.001 	7.153E-3 	gn	-9.007	1.000	1.000	73	0	2	9
R0[2,10]	0.001 	8.893E-3 	gn	-5.022	1.000	1.000	74	0	2	10
R0[2,11]	0.002 	1.068E-2 	gn	-4.229	1.000	1.000	75	0	2	11
R0[2,12]	0.002 	9.397E-3 	gn	-1.398	1.000	1.000	76	0	2	12
R0[2,13]	0.003 	1.110E-2 	gn	-1.118	1.000	1.000	77	0	2	13
R0[2,14]	0.003 	1.209E-2 	gn	10.532	1.000	1.000	78	0	2	14
R0[2,15]	0.002 	9.014E-3 	gn	12.661	1.000	1.000	79	0	2	15
R0[2,16]	0.003 	9.965E-3 	gn	0.217	1.000	1.000	80	0	2	16
R0[2,17]	0.002 	1.012E-2 	gn	0.606	1.000	1.000	81	0	2	17
R0[2,18]	0.002 	7.879E-3 	gn	-3.694	1.000	1.000	82	0	2	18
R0[2,19]	0.003 	9.071E-3 	gn	-2.795	1.000	1.000	83	0	2	19
R0[2,21]	0.003 	4.965E-3 	gn	-3.566	1.000	1.000	85	0	2	21
R0[2,22]	0.000 	4.957E-3 	gn	-14.429	1.000	1.000	86	0	2	22
R0[2,23]	-0.000 	4.694E-3 	gn	74.832	1.000	1.000	87	0	2	23
R0[2,24]	0.001 	4.910E-3 	gn	-9.610	1.000	1.000	88	0	2	24
R0[2,25]	0.001 	4.824E-3 	gn	-7.013	1.000	1.000	89	0	2	25
R0[2,26]	0.000 	4.705E-3 	gn	-13.004	1.000	1.000	90	0	2	26
R0[3,0]	0.649 	1.222E-3 	-	0.496	1.000	1.000	96	0	3	0
R0[3,1]	0.711 	1.597E-3 	-	0.556	1.000	1.000	97	0	3	1
R0[3,2]	0.731 	1.283E-3 	-	0.626	1.000	1.000	98	0	3	2
R0[3,3]	0.821 	1.022E-3 	-	0.664	1.000	1.000	99	0	3	3
R0[3,4]	0.003 	8.588E-3 	gn	2.468	1.000	1.000	100	0	3	4
R0[3,5]	0.922 	6.725E-4 	-	0.700	1.000	1.000	101	0	3	5
R0[3,7]	0.957 	7.808E-4 	-	0.734	1.000	1.000	103	0	3	7
R0[3,8]	0.975 	9.300E-4 	-	0.717	1.000	1.000	104	0	3	8
R0[3,9]	1.023 	5.908E-4 	-	0.724	1.000	1.000	105	0	3	9
R0[3,10]	1.570 	4.463E-4 	-	0.613	1.000	1.000	106	0	3	10
R0[3,11]	1.044 	7.655E-4 	-	0.722	1.000	1.000	107	0	3	11
R0[3,12]	1.032 	8.466E-4 	-	0.706	1.000	1.000	108	0	3	12
R0[3,13]	1.020 	8.967E-4 	-	0.722	1.000	1.000	109	0	3	13
R0[3,14]	1.068 	7.201E-4 	-	0.686	1.000	1.000	110	0	3	14
R0[3,15]	1.083 	7.725E-4 	-	0.695	1.000	1.000	111	0	3	15
R0[3,16]	0.003 	9.713E-3 	gn	3.759	1.000	1.000	112	0	3	16
R0[3,17]	0.004 	9.389E-3 	gn	0.459	1.000	1.000	113	0	3	17
R0[3,18]	1.106 	4.231E-4 	-	0.622	1.000	1.000	114	0	3	18
R0[3,19]	1.113 	6.187E-4 	-	0.618	1.000	1.000	115	0	3	19
R0[3,21]	1.075 	6.319E-4 	-	0.599	1.000	1.000	117	0	3	21
R0[3,22]	0.005 	5.760E-3 	gn	-1.297	1.000	1.000	118	0	3	22
R0[3,23]	1.075 	8.437E-4 	-	0.600	1.000	1.000	119	0	3	23
R0[3,24]	0.002 	4.518E-3 	gn	-3.095	1.000	1.000	120	0	3	24
R0[3,25]	1.080 	5.519E-4 	-	0.600	1.000	1.000	121	0	3	25
R0[3,26]	1.027 	6.653E-4 	-	0.613	1.000	1.000	122	0	3	26
R0[4,0]	0.620 	1.750E-3 	-	0.508	1.000	1.000	128	0	4	0
R0[4,1]	0.609 	2.113E-3 	-	0.642	1.000	1.000	129	0	4	1
R0[4,2]	0.600 	1.969E-3 	-	0.686	1.000	1.000	130	0	4	2
R0[4,3]	0.624 	2.052E-3 	-	0.731	1.000	1.000	131	0	4	3
R0[4,4]	0.736 	1.600E-3 	-	0.751	1.000	1.000	132	0	4	4
R0[4,5]	0.745 	1.281E-3 	-	0.752	1.000	1.000	133	0	4	5
R0[4,7]	1.066 	8.701E-4 	-	0.594	1.000	1.000	135	0	4	7
R0[4,8]	0.006 	9.257E-3 	gn	-1.005	1.000	1.000	136	0	4	8
R0[4,9]	0.845 	1.040E-3 	-	0.686	1.000	1.000	137	0	4	9
R0[4,10]	0.833 	1.353E-3 	-	0.673	1.000	1.000	138	0	4	10
R0[4,11]	0.002 	1.053E-2 	gn	-4.300	1.000	1.000	139	0	4	11
R0[4,12]	0.882 	9.204E-4 	-	0.681	1.000	1.000	140	0	4	12
R0[4,13]	0.875 	1.177E-3 	-	0.675	1.000	1.000	141	0	4	13
R0[4,14]	0.868 	1.392E-3 	-	0.661	1.000	1.000	142	0	4	14
R0[4,15]	1.139 	1.063E-3 	-	0.579	1.000	1.000	143	0	4	15
R0[4,16]	0.946 	1.283E-3 	-	0.641	1.000	1.000	144	0	4	16
R0[4,17]	0.924 	1.247E-3 	-	0.631	1.000	1.000	145	0	4	17
R0[4,18]	0.960 	1.057E-3 	-	0.580	1.000	1.000	146	0	4	18
R0[4,19]	0.006 	5.096E-3 	gn	-1.243	1.000	1.000	147	0	4	19
R0[4,21]	0.057 	5.315E-3 	gn	0.414	1.000	1.000	149	0	4	21
R0[4,22]	0.845 	1.134E-3 	-	0.573	1.000	1.000	150	0	4	22
R0[4,23]	0.874 	1.335E-3 	-	0.567	1.000	1.000	151	0	4	23
R0[4,24]	0.003 	4.866E-3 	gn	-1.677	1.000	1.000	152	0	4	24
R0[4,25]	0.871 	9.509E-4 	-	0.578	1.000	1.000	153	0	4	25
R0[4,26]	0.826 	1.150E-3 	-	0.576	1.000	1.000	154	0	4	26
R0[5,0]	0.737 	1.477E-3 	-	0.513	1.000	1.000	160	0	5	0
R0[5,1]	0.777 	1.652E-3 	-	0.603	1.000	1.000	161	0	5	1
R0[5,2]	0.611 	1.696E-3 	-	0.800	1.000	1.000	162	0	5	2
R0[5,3]	0.679 	1.713E-3 	-	0.767	1.000	1.000	163	0	5	3
R0[5,4]	0.804 	1.450E-3 	-	0.753	1.000	1.000	164	0	5	4
R0[5,5]	0.798 	1.183E-3 	-	0.744	1.000	1.000	165	0	5	5
R0[5,7]	0.806 	1.413E-3 	-	0.739	1.000	1.000	167	0	5	7
R0[5,8]	0.031 	8.829E-3 	gn	0.291	1.000	1.000	168	0	5	8
R0[5,9]	0.842 	1.627E-3 	-	0.663	1.000	1.000	169	0	5	9
R0[5,10]	0.885 	1.316E-3 	-	0.637	1.000	1.000	170	0	5	10
R0[5,11]	0.906 	6.148E-4 	-	0.630	1.000	1.000	171	0	5	11
R0[5,12]	0.003 	9.626E-3 	gn	-1.916	1.000	1.000	172	0	5	12
R0[5,13]	0.889 	6.419E-4 	-	0.630	1.000	1.000	173	0	5	13
R0[5,14]	0.971 	8.729E-4 	-	0.631	1.000	1.000	174	0	5	14
R0[5,15]	1.016 	1.253E-3 	-	0.627	1.000	1.000	175	0	5	15
R0[5,16]	1.227 	9.401E-4 	-	0.552	1.000	1.000	176	0	5	16
