# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.667599999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,9]	0.000 	2.119E-2 	gn	-381.309	1.000	1.000	73	0	2	9
R0[2,10]	-0.000 	2.501E-2 	gn	300.172	1.000	1.000	74	0	2	10
R0[2,11]	-0.000 	2.414E-2 	gn	128.111	1.000	1.000	75	0	2	11
R0[2,12]	-0.001 	2.131E-2 	gn	54.346	1.000	1.000	76	0	2	12
R0[2,13]	-0.000 	2.440E-2 	gn	81.747	1.000	1.000	77	0	2	13
R0[2,14]	-0.000 	2.541E-2 	gn	108.404	1.000	1.000	78	0	2	14
R0[2,15]	-0.000 	1.972E-2 	gn	67.699	1.000	1.000	79	0	2	15
R0[2,16]	-0.001 	2.460E-2 	gn	38.325	1.000	1.000	80	0	2	16
R0[2,17]	-0.001 	2.414E-2 	gn	30.427	1.000	1.000	81	0	2	17
R0[2,18]	-0.001 	2.380E-2 	gn	37.835	1.000	1.000	82	0	2	18
R0[2,19]	-0.000 	2.532E-2 	gn	44.635	1.000	1.000	83	0	2	19
R0[2,21]	-0.001 	1.359E-2 	gn	10.852	1.000	1.000	85	0	2	21
R0[2,22]	-0.001 	1.394E-2 	gn	9.545	1.000	1.000	86	0	2	22
R0[2,23]	-0.001 	1.411E-2 	gn	8.982	1.000	1.000	87	0	2	23
R0[2,24]	-0.001 	1.081E-2 	gn	10.035	1.000	1.000	88	0	2	24
R0[2,25]	-0.001 	1.033E-2 	gn	11.435	1.000	1.000	89	0	2	25
R0[2,26]	-0.001 	9.276E-3 	gn	13.902	1.000	1.000	90	0	2	26
R0[3,0]	0.675 	3.241E-3 	-	0.330	1.000	1.000	96	0	3	0
R0[3,1]	0.710 	4.109E-3 	-	0.262	1.000	1.000	97	0	3	1
R0[3,2]	0.718 	3.185E-3 	-	0.354	1.000	1.000	98	0	3	2
R0[3,3]	0.774 	1.518E-3 	B	0.033	1.000	1.000	99	0	3	3
R0[3,4]	0.002 	6.997E-3 	gn	-15.399	1.000	1.000	100	0	3	4
R0[3,5]	0.915 	1.964E-3 	-	0.789	1.000	1.000	101	0	3	5
R0[3,7]	1.011 	1.842E-3 	-	1.334	1.000	1.000	103	0	3	7
R0[3,8]	1.047 	2.316E-3 	-	1.427	1.000	1.000	104	0	3	8
R0[3,9]	1.083 	2.506E-3 	-	1.576	1.000	1.000	105	0	3	9
R0[3,10]	1.667 	1.296E-3 	-	1.565	1.000	1.000	106	0	3	10
R0[3,11]	1.126 	2.459E-3 	-	1.701	1.000	1.000	107	0	3	11
R0[3,12]	1.146 	1.769E-3 	-	1.738	1.000	1.000	108	0	3	12
R0[3,13]	1.119 	1.616E-3 	-	1.802	1.000	1.000	109	0	3	13
R0[3,14]	1.159 	1.477E-3 	-	1.733	1.000	1.000	110	0	3	14
R0[3,15]	1.205 	1.493E-3 	-	1.642	1.000	1.000	111	0	3	15
R0[3,16]	-0.001 	2.913E-2 	gn	44.068	1.000	1.000	112	0	3	16
R0[3,17]	0.000 	3.463E-2 	gn	-173.561	1.000	1.000	113	0	3	17
R0[3,18]	1.201 	7.091E-4 	-	1.704	1.000	1.000	114	0	3	18
R0[3,19]	1.214 	1.811E-3 	-	1.667	1.000	1.000	115	0	3	19
R0[3,21]	1.146 	2.254E-3 	-	1.733	1.000	1.000	117	0	3	21
R0[3,22]	0.001 	1.766E-2 	gn	1.485	1.000	1.000	118	0	3	22
R0[3,23]	1.168 	1.657E-3 	-	1.830	1.000	1.000	119	0	3	23
R0[3,24]	-0.001 	1.084E-2 	gn	10.303	1.000	1.000	120	0	3	24
R0[3,25]	1.171 	1.648E-3 	-	1.631	1.000	1.000	121	0	3	25
R0[3,26]	1.115 	2.446E-3 	-	1.709	1.000	1.000	122	0	3	26
R0[4,0]	0.705 	4.412E-3 	-	0.279	1.000	1.000	128	0	4	0
R0[4,1]	0.682 	4.972E-3 	-	0.284	1.000	1.000	129	0	4	1
R0[4,2]	0.674 	1.834E-3 	B	0.029	1.000	1.000	130	0	4	2
R0[4,3]	0.669 	1.856E-3 	B	0.036	1.000	1.000	131	0	4	3
R0[4,4]	0.765 	1.102E-3 	B	0.086	1.000	1.000	132	0	4	4
R0[4,5]	0.844 	3.232E-3 	-	0.861	1.000	1.000	133	0	4	5
R0[4,7]	1.262 	1.412E-3 	-	1.193	1.000	1.000	135	0	4	7
R0[4,8]	0.002 	2.416E-2 	gn	-11.655	1.000	1.000	136	0	4	8
R0[4,9]	1.025 	1.753E-3 	-	1.649	1.000	1.000	137	0	4	9
R0[4,10]	1.011 	1.508E-3 	-	1.703	1.000	1.000	138	0	4	10
R0[4,11]	-0.000 	2.528E-2 	gn	48.226	1.000	1.000	139	0	4	11
R0[4,12]	1.076 	1.215E-3 	-	1.826	1.000	1.000	140	0	4	12
R0[4,13]	1.043 	1.462E-3 	-	1.796	1.000	1.000	141	0	4	13
R0[4,14]	1.072 	2.117E-3 	-	1.762	1.000	1.000	142	0	4	14
R0[4,15]	1.417 	1.796E-3 	-	1.443	1.000	1.000	143	0	4	15
R0[4,16]	1.174 	2.693E-3 	-	1.649	1.000	1.000	144	0	4	16
R0[4,17]	1.121 	2.738E-3 	-	1.642	1.000	1.000	145	0	4	17
R0[4,18]	1.179 	2.618E-3 	-	1.592	1.000	1.000	146	0	4	18
R0[4,19]	0.002 	8.051E-3 	gn	-4.640	1.000	1.000	147	0	4	19
R0[4,21]	0.231 	1.155E-2 	g	1.770	1.000	1.000	149	0	4	21
R0[4,22]	1.049 	1.897E-3 	-	1.582	1.000	1.000	150	0	4	22
R0[4,23]	1.078 	1.808E-3 	-	1.590	1.000	1.000	151	0	4	23
R0[4,24]	-0.001 	1.442E-2 	gn	10.849	1.000	1.000	152	0	4	24
R0[4,25]	1.071 	2.212E-3 	-	1.599	1.000	1.000	153	0	4	25
R0[4,26]	1.016 	3.444E-3 	-	1.641	1.000	1.000	154	0	4	26
R0[5,0]	0.833 	3.548E-3 	-	0.251	1.000	1.000	160	0	5	0
R0[5,1]	0.880 	1.348E-3 	B	0.045	1.000	1.000	161	0	5	1
R0[5,2]	0.676 	1.791E-3 	B	0.042	1.000	1.000	162	0	5	2
R0[5,3]	0.755 	1.679E-3 	B	0.040	1.000	1.000	163	0	5	3
R0[5,4]	0.854 	7.606E-4 	B	0.077	1.000	1.000	164	0	5	4
R0[5,5]	0.917 	3.026E-3 	-	0.842	1.000	1.000	165	0	5	5
R0[5,7]	0.948 	2.592E-3 	-	1.446	1.000	1.000	167	0	5	7
R0[5,8]	0.028 	1.342E-2 	gn	0.640	1.000	1.000	168	0	5	8
R0[5,9]	1.021 	3.035E-3 	-	1.714	1.000	1.000	169	0	5	9
R0[5,10]	1.072 	2.983E-3 	-	1.735	1.000	1.000	170	0	5	10
R0[5,11]	1.083 	8.800E-4 	-	1.715	1.000	1.000	171	0	5	11
R0[5,12]	-0.001 	2.968E-2 	gn	39.477	1.000	1.000	172	0	5	12
R0[5,13]	1.089 	2.548E-3 	-	1.739	1.000	1.000	173	0	5	13
R0[5,14]	1.204 	9.646E-4 	-	1.655	1.000	1.000	174	0	5	14
R0[5,15]	1.276 	1.938E-3 	-	1.590	1.000	1.000	175	0	5	15
R0[5,16]	1.562 	2.064E-3 	-	1.490	1.000	1.000	176	0	5	16
R0[5,17]	1.288 	2.554E-3 	-	1.550	1.000	1.000	177	0	5	17
R0[5,18]	1.218 	2.389E-3 	-	1.634	1.000	1.000	178	0	5	18
R0[5,19]	1.142 	2.190E-3 	-	1.610	1.000	1.000	179	0	5	19
R0[5,21]	1.076 	2.917E-3 	-	1.679	1.000	1.000	181	0	5	21
R0[5,22]	1.090 	2.843E-3 	-	1.690	1.000	1.000	182	0	5	22
R0[5,23]	1.105 	2.645E-3 	-	1.563	1.000	1.000	183	0	5	23
R0[5,24]	-0.001 	1.724E-2 	gn	9.523	1.000	1.000	184	0	5	24
R0[5,25]	1.083 	4.000E-3 	-	1.599	1.000	1.000	185	0	5	25
R0[5,26]	0.736 	4.295E-3 	-	1.656	1.000	1.000	186	0	5	26
R0[6,0]	0.748 	1.355E-3 	B	0.089	1.000	1.000	192	0	6	0
R0[6,1]	0.745 	1.612E-3 	B	0.058	1.000	1.000	193	0	6	1
R0[6,2]	0.672 	1.430E-3 	B	0.050	1.000	1.000	194	0	6	2
R0[6,3]	1.095 	3.738E-4 	B	0.061	1.000	1.000	195	0	6	3
R0[6,4]	1.032 	2.000E-3 	-	0.432	1.000	1.000	196	0	6	4
R0[6,5]	1.312 	1.298E-3 	-	0.790	1.000	1.000	197	0	6	5
R0[6,7]	0.987 	3.331E-3 	-	1.496	1.000	1.000	199	0	6	7
R0[6,8]	1.038 	2.748E-3 	-	1.666	1.000	1.000	200	0	6	8
R0[6,9]	1.103 	3.016E-3 	-	1.713	1.000	1.000	201	0	6	9
R0[6,10]	1.224 	7.648E-4 	-	1.741	1.000	1.000	202	0	6	10
R0[6,11]	0.002 	4.014E-2 	gn	-9.843	1.000	1.000	203	0	6	11
R0[6,12]	1.088 	9.733E-4 	-	1.723	1.000	1.000	204	0	6	12
R0[6,13]	1.121 	2.252E-3 	-	1.710	1.000	1.000	205	0	6	13
R0[6,14]	1.193 	1.381E-3 	-	1.594	1.000	1.000	206	0	6	14
R0[6,15]	1.238 	1.618E-3 	-	1.556	1.000	1.000	207	0	6	15
R0[6,16]	1.354 	1.975E-3 	-	1.523	1.000	1.000	208	0	6	16
R0[6,17]	0.001 	4.070E-2 	gn	-22.384	1.000	1.000	209	0	6	17
R0[6,18]	-0.002 	2.315E-3 	gn	12.212	1.000	1.000	210	0	6	18
R0[6,19]	1.096 	2.041E-3 	-	1.662	1.000	1.000	211	0	6	19
R0[6,21]	1.203 	2.355E-3 	-	1.575	1.000	1.000	213	0	6	21
R0[6,22]	1.173 	2.194E-3 	-	1.619	1.000	1.000	214	0	6	22
