# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 211.23036 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,9]	0.000 	8.720E-3 	gn	-453.929	1.000	1.000	73	0	2	9
R0[2,10]	0.000 	9.085E-3 	gn	-279.684	1.000	1.000	74	0	2	10
R0[2,11]	0.000 	9.079E-3 	gn	-183.156	1.000	1.000	75	0	2	11
R0[2,12]	0.000 	8.949E-3 	gn	-139.441	1.000	1.000	76	0	2	12
R0[2,13]	0.000 	9.009E-3 	gn	-256.969	1.000	1.000	77	0	2	13
R0[2,14]	-0.000 	8.774E-3 	gn	3711.661	1.000	1.000	78	0	2	14
R0[2,15]	0.000 	8.871E-3 	gn	-1791.580	1.000	1.000	79	0	2	15
R0[2,16]	0.000 	8.491E-3 	gn	-208.872	1.000	1.000	80	0	2	16
R0[2,17]	0.000 	8.702E-3 	gn	-249.987	1.000	1.000	81	0	2	17
R0[2,18]	0.000 	8.945E-3 	gn	-374.838	1.000	1.000	82	0	2	18
R0[2,19]	0.000 	7.904E-3 	gn	-304.945	1.000	1.000	83	0	2	19
R0[2,21]	0.000 	6.366E-3 	gn	-324.269	1.000	1.000	85	0	2	21
R0[2,22]	0.000 	6.783E-3 	gn	-3889.222	1.000	1.000	86	0	2	22
R0[2,23]	-0.000 	6.874E-3 	gn	598.359	1.000	1.000	87	0	2	23
R0[2,24]	-0.000 	5.852E-3 	gn	202.565	1.000	1.000	88	0	2	24
R0[2,25]	-0.000 	5.900E-3 	gn	172.298	1.000	1.000	89	0	2	25
R0[2,26]	-0.000 	5.981E-3 	gn	68.659	1.000	1.000	90	0	2	26
R0[3,0]	0.542 	6.781E-4 	-	2.868	1.000	1.000	96	0	3	0
R0[3,1]	0.631 	5.743E-4 	-	2.654	1.000	1.000	97	0	3	1
