10923   2007-05-15T04:49:51   54235.2012859491      1.019      4.260
10935   2007-05-15T05:20:06   54235.2222986227      1.035      1.989
10936   2007-05-15T05:21:06   54235.2229930324      1.026      1.758
10938   2007-05-15T05:50:06   54235.2431291898      1.010      1.839
10943   2007-05-15T07:15:56   54235.3027360532      0.969      1.826
10944   2007-05-15T07:19:31   54235.3052243634      0.926      2.129
10945   2007-05-15T07:21:38   54235.3066942130      0.960      2.993
10946   2007-05-15T07:23:05   54235.3077011111      0.931     99.999
10953   2007-05-15T08:06:24   54235.3377817940      0.997      2.311
10954   2007-05-15T08:08:41   54235.3393673727      0.982      2.023
10955   2007-05-15T08:12:03   54235.3417052315      0.959      1.942
10962   2007-05-15T08:22:41   54235.3490904977      0.968      2.791
10964   2007-05-15T08:27:07   54235.3521690741      0.975      1.987
10965   2007-05-15T08:29:12   54235.3536157755      0.972      1.848
10979   2007-05-15T09:05:48   54235.3790429398      0.973      3.113
10980   2007-05-15T09:08:56   54235.3812071991      0.994      5.499
10985   2007-05-15T09:26:01   54235.3930684375      1.043     13.384
10997   2007-05-15T13:16:41   54235.5532587269      0.891      1.724
10998   2007-05-15T13:27:38   54235.5608625694      0.848      1.827
10999   2007-05-15T13:32:23   54235.5641726157      0.846      1.727
11003   2007-05-15T13:40:36   54235.5698768750      0.995      1.728
11009   2007-05-15T13:56:25   54235.5808470023      0.991      1.930
11016   2007-05-15T14:38:15   54235.6099030208      1.022      1.920
11018   2007-05-15T14:41:10   54235.6119262500      0.930      2.252
11019   2007-05-15T14:48:29   54235.6170186343      0.853      1.926
11020   2007-05-15T14:49:54   54235.6179908102      0.879      2.284
11021   2007-05-15T14:54:07   54235.6209305093      0.933      2.796
11023   2007-05-15T14:56:44   54235.6227359838      0.977      2.962
11025   2007-05-15T15:20:21   54235.6391452778      0.861      1.932
11026   2007-05-15T15:21:57   54235.6402563426      0.996      1.938
11027   2007-05-15T15:23:58   54235.6416567477      0.998      2.138
11028   2007-05-15T15:25:46   54235.6428951157      0.844      2.394
11030   2007-05-15T15:30:16   54235.6460199884      0.969      4.631
11037   2007-05-15T15:53:53   54235.6624313310      0.869      2.116
11038   2007-05-15T15:54:55   54235.6631489005      0.906      2.123
11042   2007-05-15T16:43:59   54235.6972179282      0.907      1.975
11043   2007-05-15T16:45:45   54235.6984562963      0.957      1.930
11046   2007-05-15T17:08:52   54235.7144972917      0.931      1.877
11049   2007-05-15T17:32:54   54235.7311864005      1.013      1.839
11050   2007-05-15T17:34:23   54235.7322164583      0.911      1.837
11051   2007-05-15T17:35:46   54235.7331770602      0.768      1.772
11077   2007-05-15T22:36:09   54235.9417740046      1.045      3.725
11078   2007-05-15T22:38:19   54235.9432785648      0.979      2.181
11122   2007-05-16T00:50:37   54236.0351655671      1.188      3.743
11153   2007-05-16T01:46:45   54236.0741452315      1.040      2.891
 1159   2007-05-16T02:08:13   54236.0890382407      1.509      5.742
 1163   2007-05-16T02:12:10   54236.0917811806      1.504      4.766
 1165   2007-05-16T02:14:10   54236.0931815856      1.509      2.917
11208   2007-05-16T04:27:12   54236.1855773727      0.981      1.958
 1208   2007-05-16T04:27:12   54236.1855773727      0.981      1.958
11209   2007-05-16T04:28:07   54236.1862023495      1.005      2.265
11210   2007-05-16T04:33:39   54236.1900447801      1.059      3.015
11214   2007-05-16T04:41:13   54236.1952907523      0.979      2.327
11235   2007-05-16T06:12:12   54236.2584803472      0.871      2.176
11242   2007-05-16T06:32:05   54236.2723025810      0.758      2.357
11253   2007-05-16T07:12:59   54236.3007173495      0.751      2.599
11284   2007-05-16T08:04:11   54236.3362400000      0.667      2.040
11292   2007-05-16T08:28:38   54236.3532219444      0.841      2.301
11293   2007-05-16T08:38:38   54236.3601660995      1.117      0.000
11294   2007-05-16T08:43:18   54236.3634182755      0.820      4.726
11402   2007-05-17T01:59:38   54237.0830801273      1.010      2.976
 1402   2007-05-17T01:59:38   54237.0830801273      1.010      2.976
11404   2007-05-17T02:03:37   54237.0858546181      0.947      2.127
11405   2007-05-17T02:05:10   54237.0869310069      1.017      2.117
11406   2007-05-17T02:06:37   54237.0879379630      1.003      2.127
11413   2007-05-17T02:25:43   54237.1011985648      1.064      3.302
11418   2007-05-17T02:40:31   54237.1114773380      0.974      1.928
11420   2007-05-17T02:44:33   54237.1142782870      1.012      2.991
11424   2007-05-17T02:54:00   54237.1208408333      0.993      2.651
11450   2007-05-17T04:13:41   54237.1761694444      0.972      1.743
11451   2007-05-17T04:15:42   54237.1775814931      1.006      1.957
11458   2007-05-17T04:29:44   54237.1873310417      0.961      3.145
11462   2007-05-17T04:36:28   54237.1919997106      0.660     99.999
11471   2007-05-17T04:51:55   54237.2027256134      0.940      1.694
11472   2007-05-17T04:53:59   54237.2041608102      0.941      1.903
11476   2007-05-17T05:03:06   54237.2104918750      1.371     10.353
11479   2007-05-17T05:08:02   54237.2139104745      0.872      2.706
11490   2007-05-17T05:28:56   54237.2284329745      0.954      1.760
11491   2007-05-17T05:30:38   54237.2296019676      0.917      2.092
 1491   2007-05-17T05:30:38   54237.2296019676      0.917      2.092
11504   2007-05-17T06:14:38   54237.2601702546      0.842      3.109
11522   2007-05-17T07:52:22   54237.3280419213      0.930      1.838
11528   2007-05-17T10:14:28   54237.4267208681      0.985      1.982
11532   2007-05-17T10:25:53   54237.4346459838      1.020      2.580
11539   2007-05-17T10:38:06   54237.4431311458      1.023      1.880
11541   2007-05-17T11:02:43   54237.4602344560      1.003      1.766
 1541   2007-05-17T11:02:43   54237.4602344560      1.003      1.766
11549   2007-05-17T12:04:25   54237.5030796759      0.954      1.642
11550   2007-05-17T12:05:48   54237.5040403241      0.941      1.641
 1550   2007-05-17T12:05:48   54237.5040403241      0.941      1.641
11552   2007-05-17T12:46:03   54237.5319884375      0.924      1.650
11553   2007-05-17T12:47:09   54237.5327523380      0.920      1.650
 1553   2007-05-17T12:47:09   54237.5327523380      0.920      1.650
11559   2007-05-17T13:04:34   54237.5448557407      1.050      1.666
11561   2007-05-17T13:11:21   54237.5495516782      0.920      1.671
11562   2007-05-17T13:12:59   54237.5506975116      0.973      1.671
11564   2007-05-17T13:17:06   54237.5535490046      0.993      1.776
11565   2007-05-17T13:18:59   54237.5548453125      1.001      2.520
11575   2007-05-17T13:40:17   54237.5696453125      0.928      1.759
11576   2007-05-17T13:42:15   54237.5710226389      0.970      2.021
11577   2007-05-17T13:43:25   54237.5718212500      0.945      2.038
11581   2007-05-17T14:41:36   54237.6122309607      0.887      1.876
11583   2007-05-17T14:43:18   54237.6134042245      0.892      1.905
11584   2007-05-17T14:44:17   54237.6140986690      0.895      1.857
11585   2007-05-17T14:48:22   54237.6169343403      0.808      2.475
11586   2007-05-17T14:53:29   54237.6204876042      0.743      2.759
11589   2007-05-17T15:47:04   54237.6576869792      0.740      2.356
11590   2007-05-17T15:48:39   54237.6587865162      0.785      2.732
11591   2007-05-17T15:50:04   54237.6597703241      0.838      2.278
11592   2007-05-17T15:53:11   54237.6619346875      0.804      2.935
11593   2007-05-17T15:57:03   54237.6646198958      0.915      2.290
11594   2007-05-17T16:01:24   54237.6676407523      0.702      2.025
11600   2007-05-17T16:42:28   54237.6961607292      0.881      2.042
11602   2007-05-17T17:18:34   54237.7212344792      0.903      1.993
 1602   2007-05-17T17:18:34   54237.7212344792      0.903      1.993
11719   2007-05-18T23:23:02   54238.9743346296      0.927      2.616
11727   2007-05-18T23:40:32   54238.9864882639      0.933      2.347
11728   2007-05-18T23:46:21   54238.9905276505      0.946      2.259
11746   2007-05-19T01:15:40   54239.0525466898      0.966      2.391
11747   2007-05-19T01:17:13   54239.0536230903      1.031      6.004
