# SHARC2 Non-linearity Coefficients 
#
# row	col	G(eps=0)	I0(Vb=1V)	T0 (K))
# ----- ------- --------------  --------------- ----------
5	27	1.024336	8.9336E-3	605.327393
5	28	1.054316	8.7903E-3	583.985962
5	29	1.056576	8.7280E-3	576.489319
5	30	1.048818	8.6024E-3	569.774292
5	31	1.048419	8.2344E-3	540.198303
5	32	0.997620	7.5682E-3	506.005310
6	1	1.115230	8.7026E-3	541.210205
6	2	1.105286	9.0912E-3	574.145447
6	3	1.110013	9.0473E-3	568.401489
6	4	1.112851	9.0572E-3	562.983826
6	5	1.109843	9.6393E-3	604.244812
6	6	1.154953	9.9717E-3	615.537354
6	7	1.148393	9.8441E-3	608.745789
6	8	1.185661	1.0314E-2	624.239197
6	9	1.184680	1.0429E-2	634.626404
6	10	1.185127	1.0585E-2	646.485657
6	11	1.201630	1.0596E-2	638.937378
6	12	1.170574	1.0482E-2	638.567627
6	13	1.168980	1.0363E-2	627.143311
6	14	1.174684	1.0395E-2	629.389404
6	15	1.164703	1.0333E-2	629.441040
6	16	1.168076	1.0302E-2	625.483276
6	17	1.161083	1.0269E-2	631.299133
6	18	1.148923	1.0392E-2	643.886353
6	19	1.172359	1.0337E-2	630.753174
6	21	1.160990	1.0228E-2	633.366760
6	22	1.158321	9.9917E-3	613.675110
6	23	1.147436	9.9112E-3	614.749695
6	24	1.128572	9.8104E-3	613.846313
6	25	1.159786	1.0206E-2	629.591553
6	26	1.118353	9.9073E-3	615.466614
6	27	1.174820	1.0469E-2	640.775024
6	28	1.158388	1.0413E-2	647.774475
6	29	1.140641	1.0233E-2	647.030273
6	30	1.133286	9.5309E-3	596.387024
6	31	1.100377	8.8494E-3	554.534790
6	32	1.037234	8.1847E-3	529.460815
7	1	0.531379	4.7772E-3	603.394470
7	2	0.872324	8.5632E-3	676.453491
7	3	0.892394	8.4355E-3	651.644714
7	4	0.928853	8.3183E-3	609.372986
7	5	0.961010	8.1240E-3	570.745850
7	6	0.993889	8.1262E-3	553.531738
7	7	1.002455	8.2534E-3	558.476013
7	8	1.015535	8.3699E-3	555.103699
7	9	1.026951	8.6014E-3	565.357483
7	10	1.034895	8.7441E-3	568.216736
7	11	1.085945	8.5902E-3	543.788208
7	12	1.087638	8.8497E-3	555.116089
7	13	1.100311	9.0380E-3	563.765930
7	14	1.097209	9.0920E-3	569.482971
7	15	1.114707	9.3376E-3	577.305359
7	16	1.131093	9.5283E-3	587.241150
7	17	1.150278	9.3142E-3	564.009827
7	18	1.158868	9.3176E-3	557.894348
7	19	1.158405	9.5682E-3	578.024292
7	20	1.159503	9.5400E-3	576.041931
7	21	1.158132	9.3882E-3	581.201050
7	22	1.163362	9.6454E-3	580.192505
7	23	1.156253	9.7499E-3	586.002502
7	24	1.156161	9.6483E-3	581.737671
7	25	1.151113	9.5689E-3	578.146057
7	26	1.151382	9.5263E-3	576.022583
7	27	1.146159	9.4361E-3	572.431580
7	28	1.117773	9.3082E-3	576.009644
7	29	1.062864	9.4020E-3	618.926270
7	30	1.003063	9.4359E-3	661.184387
7	31	1.055185	1.2483E-2	844.605591
8	1	0.997553	7.7307E-3	539.470093
8	2	0.957138	8.2934E-3	605.512939
8	3	0.942464	8.5189E-3	639.340271
8	4	1.019821	8.4322E-3	572.066223
8	5	1.082304	8.5405E-3	551.917480
8	6	1.123855	8.6628E-3	544.789062
8	7	1.135478	8.7786E-3	540.028992
8	8	1.145600	8.9578E-3	549.330627
8	9	1.174562	9.0362E-3	537.716919
8	10	1.191237	9.2957E-3	542.905579
8	11	1.218134	9.6408E-3	557.863098
8	12	1.210682	9.8262E-3	571.718567
8	13	1.241641	9.5505E-3	544.543762
8	14	1.242981	9.6839E-3	552.931030
8	15	1.229265	9.6314E-3	559.147583
8	16	1.243120	9.7471E-3	556.690247
8	17	1.240990	9.9445E-3	577.401001
8	18	1.269963	9.7024E-3	549.880737
8	19	1.266094	9.5394E-3	536.473328
8	20	1.254697	9.7491E-3	556.963684
8	21	1.241666	9.6856E-3	557.398071
8	22	1.232155	9.5094E-3	548.032898
8	23	1.218112	9.5525E-3	557.340881
8	24	1.201928	9.4299E-3	555.781372
8	25	1.215963	9.5616E-3	558.677551
8	26	1.219354	9.3393E-3	544.016907
8	27	1.201215	9.2620E-3	553.880249
8	28	1.155728	9.0020E-3	551.850159
8	29	1.135051	9.0208E-3	564.124695
8	30	1.121867	8.8573E-3	562.539551
8	31	1.053528	9.0232E-3	608.010315
8	32	0.997297	9.4701E-3	688.777527
9	1	0.834501	6.2876E-3	521.675171
9	2	0.907776	7.0205E-3	539.728516
9	3	0.952333	7.5674E-3	563.887756
9	4	0.970842	7.9553E-3	582.385193
9	5	1.002874	8.2149E-3	587.639587
9	6	1.024608	8.4389E-3	590.759216
9	7	1.052317	8.6634E-3	605.844910
9	8	1.027915	8.7858E-3	622.789551
9	9	1.033164	8.7912E-3	610.586731
9	10	1.038923	8.8088E-3	609.611084
9	11	1.034452	8.8931E-3	615.184937
9	12	1.015642	8.9032E-3	625.063232
9	13	1.020853	8.8270E-3	617.630676
9	14	1.020342	8.8238E-3	615.679260
9	15	1.014204	8.7082E-3	610.435669
9	16	1.022082	8.5325E-3	592.313538
9	17	0.992872	8.4194E-3	608.177429
9	18	0.984966	8.3584E-3	614.038574
9	19	0.964316	8.3283E-3	613.465210
9	21	0.945551	8.0657E-3	606.429321
9	22	0.937538	7.8543E-3	608.944641
9	23	0.953133	8.0114E-3	611.950195
9	24	0.956646	8.1177E-3	610.920654
9	25	0.965658	8.0921E-3	603.887207
9	26	0.988655	7.9780E-3	582.484131
9	27	0.986277	7.9664E-3	582.317017
9	28	0.964635	7.9914E-3	598.714539
9	29	0.940594	7.8137E-3	600.767273
9	30	0.936624	7.4755E-3	574.108765
9	31	0.930159	7.4093E-3	570.404480
9	32	0.905921	6.9577E-3	545.178955
10	1	0.886928	6.6598E-3	533.378601
10	2	0.956447	7.2494E-3	543.633301
10	3	0.972278	7.5101E-3	554.709595
10	4	1.005781	7.9528E-3	575.054382
10	5	1.024853	8.2140E-3	584.607056
10	6	1.031298	8.4531E-3	596.695740
10	7	1.050303	8.5330E-3	590.284729
10	8	1.055362	8.7191E-3	601.715698
10	9	1.062329	8.8338E-3	605.889648
10	10	1.053583	8.8591E-3	615.916016
10	11	1.056389	8.8318E-3	611.944092
10	12	1.055771	8.8778E-3	612.478760
10	13	1.062407	9.0416E-3	623.881226
10	14	1.046024	8.9452E-3	623.880371
10	15	1.026215	8.8111E-3	631.850342
10	16	1.046384	8.6110E-3	598.243652
10	17	1.029716	8.4425E-3	605.581482
10	18	1.019378	8.4177E-3	611.971741
10	19	1.003091	8.3481E-3	608.917358
10	20	0.979414	8.1567E-3	605.425476
10	21	0.970608	8.0473E-3	609.031128
10	22	0.949294	7.9718E-3	615.451477
10	23	0.953826	7.8126E-3	595.776367
10	24	0.934640	7.8640E-3	609.709656
10	25	0.900993	7.6346E-3	609.134094
10	26	0.912614	7.6934E-3	602.947327
10	27	0.918832	7.5775E-3	586.492676
10	28	0.903879	7.6764E-3	605.411621
10	29	0.880078	7.6293E-3	632.128174
10	30	0.871123	7.7117E-3	646.662354
10	31	0.904642	7.4733E-3	599.931580
10	32	0.906385	6.9407E-3	551.265747
11	1	0.534218	3.5312E-3	439.428528
11	2	0.562119	3.7599E-3	436.668823
11	3	0.566170	3.8102E-3	443.866028
11	4	0.564627	3.8283E-3	442.991394
11	5	0.585304	3.9519E-3	440.007446
11	6	0.595901	3.9945E-3	430.606323
11	7	0.662635	4.7324E-3	460.691589
11	8	0.664234	4.7691E-3	459.367371
11	9	0.670281	4.7629E-3	453.724121
11	10	0.701170	5.0435E-3	462.674194
11	11	0.705173	5.0165E-3	459.489746
11	12	0.695889	4.9140E-3	452.159058
11	13	0.684655	4.7752E-3	445.641541
11	14	0.684528	4.7512E-3	444.199646
11	15	0.691290	4.7860E-3	442.781250
11	16	0.650495	4.4362E-3	426.115295
11	17	0.694157	4.8644E-3	447.290771
11	18	0.659151	4.3903E-3	424.673157
11	19	0.668142	4.4177E-3	425.494446
11	20	0.736503	5.1298E-3	454.208252
11	21	0.745976	5.1750E-3	454.130371
11	22	0.778208	5.4411E-3	466.159424
11	23	0.784639	5.4000E-3	456.445007
11	24	0.808161	5.6400E-3	468.407471
11	25	0.825202	5.7910E-3	473.875305
11	26	0.842526	5.9045E-3	477.022522
11	27	0.865987	5.9699E-3	467.966736
11	28	0.887265	6.2756E-3	483.523560
11	29	0.904128	6.4533E-3	493.552307
11	30	0.940315	6.6628E-3	496.132874
11	31	0.968405	6.8534E-3	504.073242
11	32	0.933804	6.4182E-3	480.617126
12	1	0.675855	4.5920E-3	443.661926
12	4	0.691407	4.8381E-3	482.214478
12	7	0.725637	5.0276E-3	483.436035
12	9	0.776521	6.0145E-3	526.420776
12	10	0.639258	5.1230E-3	515.757141
12	11	0.671759	5.2148E-3	507.766479
12	12	0.805247	6.4802E-3	546.157776
12	13	0.823476	6.5684E-3	551.445557
12	14	0.831000	6.6637E-3	541.110474
12	15	0.846667	6.6711E-3	539.136414
12	16	0.877333	6.8477E-3	540.358154
12	17	0.892092	7.1162E-3	551.127991
12	18	0.902528	6.9589E-3	526.129150
12	19	0.909564	7.1703E-3	544.967407
12	20	0.926357	6.7487E-3	507.274353
12	22	0.933286	7.8068E-3	590.261841
12	23	0.952531	8.2369E-3	618.580994
12	25	0.983672	8.3723E-3	619.187195
12	27	0.995758	9.0212E-3	678.049744
12	28	1.056834	8.6909E-3	608.207520
12	29	1.112289	8.8610E-3	591.463501
12	30	1.137533	8.9346E-3	588.320374
12	31	1.116138	8.9185E-3	598.533386
