# BEch	gain	weight		flag	Gwafer	Gsquid
100	1.359 	3.880E-1 	0x0 	1.001	1.000
101	1.197 	3.746E-1 	0x0 	0.623	1.000
102	1.217 	3.638E-1 	0x0 	0.289	1.000
103	0.926 	4.346E-1 	0x0 	1.194	1.000
104	0.000 	3.305E0 	0x2 	-0.016	1.000
105	1.677 	2.426E-1 	0x0 	3.246	1.000
106	1.654 	3.434E-1 	0x0 	3.568	1.000
107	1.418 	5.346E-1 	0x0 	1.932	1.000
108	1.453 	3.689E-1 	0x0 	1.474	1.000
109	1.320 	5.143E-1 	0x0 	1.019	1.000
110	1.187 	5.103E-1 	0x0 	0.501	1.000
111	0.759 	7.257E-1 	0x0 	0.312	1.000
112	0.000 	1.993E0 	0x2 	0.017	1.000
113	0.000 	3.101E0 	0x2 	0.010	1.000
114	0.000 	3.683E0 	0x2 	0.005	1.000
115	0.000 	2.940E0 	0x2 	0.005	1.000
116	0.000 	1.042E1 	0x2 	-0.003	1.000
117	0.000 	2.233E0 	0x2 	-0.005	1.000
118	0.000 	4.142E0 	0x2 	-0.009	1.000
119	0.000 	4.553E0 	0x2 	0.007	1.000
120	0.000 	3.355E0 	0x2 	0.006	1.000
121	1.165 	1.188E-1 	0x0 	1.409	1.000
122	1.198 	7.843E-2 	0x0 	1.393	1.000
123	1.521 	1.810E-1 	0x0 	2.140	1.000
124	1.309 	3.118E-1 	0x0 	2.518	1.000
125	1.203 	4.647E-1 	0x0 	2.227	1.000
126	0.704 	4.486E-1 	0x0 	1.101	1.000
127	0.787 	2.474E-1 	0x0 	1.075	1.000
128	0.000 	2.280E2 	0x2 	-0.000	1.000
129	1.153 	3.916E-1 	0x0 	1.288	1.000
130	1.514 	3.374E-1 	0x0 	3.032	1.000
131	1.599 	5.242E-1 	0x0 	3.466	1.000
132	1.244 	3.006E-1 	0x0 	1.991	1.000
133	1.014 	1.463E-1 	0x0 	1.001	1.000
134	1.000 	3.390E-1 	0x0 	0.957	1.000
135	0.768 	3.479E-1 	0x0 	0.024	1.000
136	0.000 	3.342E0 	0x2 	0.009	1.000
137	1.467 	3.984E-1 	0x0 	2.884	1.000
138	1.604 	4.610E-1 	0x0 	3.279	1.000
139	1.240 	2.240E-1 	0x0 	1.547	1.000
140	0.948 	1.288E-1 	0x0 	0.601	1.000
141	0.910 	5.553E-1 	0x0 	0.117	1.000
142	0.090 	1.962E0 	0x100 	0.126	1.000
143	0.816 	4.269E-1 	0x0 	0.422	1.000
144	0.000 	2.202E0 	0x2 	0.002	1.000
145	0.000 	1.279E2 	0x2 	-0.001	1.000
146	0.000 	1.364E2 	0x2 	-0.002	1.000
147	0.000 	1.257E2 	0x2 	-0.001	1.000
148	0.000 	1.309E2 	0x2 	-0.001	1.000
149	0.000 	1.126E2 	0x2 	-0.000	1.000
150	0.000 	2.675E0 	0x2 	-0.015	1.000
151	0.000 	1.375E2 	0x2 	0.001	1.000
152	0.000 	1.763E2 	0x2 	0.000	1.000
153	0.888 	4.487E-1 	0x0 	0.579	1.000
154	1.013 	3.655E-1 	0x0 	1.030	1.000
155	1.317 	1.623E-1 	0x0 	2.272	1.000
156	1.064 	2.950E-1 	0x0 	0.887	1.000
157	0.733 	1.637E-1 	0x0 	-0.152	1.000
158	0.042 	1.230E0 	0x100 	-0.015	1.000
159	0.594 	7.095E-1 	0x0 	0.023	1.000
160	0.000 	1.845E0 	0x2 	-0.026	1.000
161	1.004 	3.771E-1 	0x0 	0.391	1.000
162	1.002 	2.216E-1 	0x0 	1.182	1.000
163	0.927 	3.721E-1 	0x0 	0.527	1.000
164	1.022 	3.145E-1 	0x0 	0.711	1.000
165	1.190 	1.817E-1 	0x0 	1.501	1.000
166	0.846 	3.662E-1 	0x0 	0.520	1.000
167	0.636 	3.466E-1 	0x0 	-0.054	1.000
168	0.000 	3.372E0 	0x2 	-0.027	1.000
169	0.000 	3.104E-2 	0x2 	2.123	1.000
170	0.000 	3.337E-2 	0x2 	0.991	1.000
171	1.281 	4.865E-1 	0x0 	0.454	1.000
172	1.393 	4.558E-1 	0x0 	-0.057	1.000
173	1.248 	5.119E-1 	0x0 	0.082	1.000
174	1.034 	7.139E-1 	0x0 	0.388	1.000
175	0.987 	5.167E-1 	0x0 	0.139	1.000
176	0.000 	2.410E0 	0x2 	0.030	1.000
177	1.339 	5.650E-1 	0x0 	0.544	1.000
178	1.545 	3.744E-1 	0x0 	1.223	1.000
179	1.423 	4.035E-1 	0x0 	0.413	1.000
180	1.372 	4.394E-1 	0x0 	0.531	1.000
181	1.272 	3.699E-1 	0x0 	0.798	1.000
182	0.814 	6.431E-1 	0x0 	0.639	1.000
183	1.001 	3.526E-1 	0x0 	1.599	1.000
184	0.000 	4.205E0 	0x2 	-0.031	1.000
185	1.500 	2.754E-1 	0x0 	1.108	1.000
186	1.455 	2.957E-1 	0x0 	1.341	1.000
187	1.443 	1.578E-1 	0x0 	1.292	1.000
188	1.259 	1.811E-1 	0x0 	1.484	1.000
189	1.182 	2.456E-1 	0x0 	3.128	1.000
190	0.962 	4.850E-1 	0x0 	1.405	1.000
191	-0.128 	8.325E-1 	0x0 	-0.221	1.000
192	0.000 	4.805E0 	0x2 	0.024	1.000
